"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1299","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","13","html-keyboard-response","0","1336","0.0-0.0","ADKI","4","m","rechts","22","","","","","",""
"2203","","","survey-text","1","3540","0.0-1.0","ADKI","4","m","rechts","22","{""Q0"":""ADKI""}","","","","",""
"2088","","","survey-text","2","5629","0.0-2.0","ADKI","4","m","rechts","22","{""Q0"":""4""}","","","","",""
"2064","","","survey-multi-choice","3","7698","0.0-3.0","ADKI","4","m","rechts","22","{""Q0"":""m"",""Q1"":""rechts""}","","","","",""
"2385","","","survey-text","4","10085","0.0-4.0","ADKI","4","m","rechts","22","{""Q0"":""22""}","","","","",""
"20779","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","30871","0.0-5.0","ADKI","4","m","rechts","22","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","32418","0.0-6.0-0.0","ADKI","4","m","rechts","22","","fixation","","","",""
"1957","img/120_90.png","70","image-keyboard-response","7","34399","0.0-6.0-1.0","ADKI","4","m","rechts","22","","","object","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","34815","0.0-6.0-0.1","ADKI","4","m","rechts","22","","fixation","","","",""
"1345","img/150_60.png","70","image-keyboard-response","9","36170","0.0-6.0-1.1","ADKI","4","m","rechts","22","","","object","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","36499","0.0-6.0-0.2","ADKI","4","m","rechts","22","","fixation","","","",""
"833","img/0_120.png","74","image-keyboard-response","11","37352","0.0-6.0-1.2","ADKI","4","m","rechts","22","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","37778","0.0-6.0-0.3","ADKI","4","m","rechts","22","","fixation","","","",""
"719","img/L90_180.png","74","image-keyboard-response","13","38508","0.0-6.0-1.3","ADKI","4","m","rechts","22","","","object","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","38967","0.0-6.0-0.4","ADKI","4","m","rechts","22","","fixation","","","",""
"776","img/60_30.png","70","image-keyboard-response","15","39759","0.0-6.0-1.4","ADKI","4","m","rechts","22","","","object","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","40284","0.0-6.0-0.5","ADKI","4","m","rechts","22","","fixation","","","",""
"742","img/90_60.png","70","image-keyboard-response","17","41053","0.0-6.0-1.5","ADKI","4","m","rechts","22","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","41482","0.0-6.0-0.6","ADKI","4","m","rechts","22","","fixation","","","",""
"688","img/90_30.png","70","image-keyboard-response","19","42188","0.0-6.0-1.6","ADKI","4","m","rechts","22","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","42499","0.0-6.0-0.7","ADKI","4","m","rechts","22","","fixation","","","",""
