"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"5869","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","13","html-keyboard-response","0","5893","0.0-0.0","ADKI","3","m","rechts","22","","","","","",""
"9705","","","survey-text","1","15600","0.0-1.0","ADKI","3","m","rechts","22","{""Q0"":""ADKI""}","","","","",""
"2431","","","survey-text","2","18033","0.0-2.0","ADKI","3","m","rechts","22","{""Q0"":""3""}","","","","",""
"6226","","","survey-multi-choice","3","24264","0.0-3.0","ADKI","3","m","rechts","22","{""Q0"":""m"",""Q1"":""rechts""}","","","","",""
"3457","","","survey-text","4","27723","0.0-4.0","ADKI","3","m","rechts","22","{""Q0"":""22""}","","","","",""
"21693","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","49438","0.0-5.0","ADKI","3","m","rechts","22","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","50980","0.0-6.0-0.0","ADKI","3","m","rechts","22","","fixation","","","",""
"1148","img/0_270.png","70","image-keyboard-response","7","52149","0.0-6.0-1.0","ADKI","3","m","rechts","22","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","52660","0.0-6.0-0.1","ADKI","3","m","rechts","22","","fixation","","","",""
"1149","img/30_240.png","70","image-keyboard-response","9","53829","0.0-6.0-1.1","ADKI","3","m","rechts","22","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","54201","0.0-6.0-0.2","ADKI","3","m","rechts","22","","fixation","","","",""
"859","img/60_330.png","70","image-keyboard-response","11","55078","0.0-6.0-1.2","ADKI","3","m","rechts","22","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","55590","0.0-6.0-0.3","ADKI","3","m","rechts","22","","fixation","","","",""
"1001","img/150_60.png","70","image-keyboard-response","13","56609","0.0-6.0-1.3","ADKI","3","m","rechts","22","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","56934","0.0-6.0-0.4","ADKI","3","m","rechts","22","","fixation","","","",""
"1175","img/90_60.png","74","image-keyboard-response","15","58128","0.0-6.0-1.4","ADKI","3","m","rechts","22","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","58653","0.0-6.0-0.5","ADKI","3","m","rechts","22","","fixation","","","",""
"932","img/150_180.png","74","image-keyboard-response","17","59602","0.0-6.0-1.5","ADKI","3","m","rechts","22","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","59918","0.0-6.0-0.6","ADKI","3","m","rechts","22","","fixation","","","",""
"610","img/0_60.png","74","image-keyboard-response","19","60547","0.0-6.0-1.6","ADKI","3","m","rechts","22","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","60872","0.0-6.0-0.7","ADKI","3","m","rechts","22","","fixation","","","",""
"685","img/90_180.png","74","image-keyboard-response","21","61571","0.0-6.0-1.7","ADKI","3","m","rechts","22","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","62043","0.0-6.0-0.8","ADKI","3","m","rechts","22","","fixation","","","",""
"1050","img/120_330.png","70","image-keyboard-response","23","63113","0.0-6.0-1.8","ADKI","3","m","rechts","22","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","63575","0.0-6.0-0.9","ADKI","3","m","rechts","22","","fixation","","","",""
"825","img/L60_180.png","70","image-keyboard-response","25","64416","0.0-6.0-1.9","ADKI","3","m","rechts","22","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","64920","0.0-6.0-0.10","ADKI","3","m","rechts","22","","fixation","","","",""
"736","img/120_180.png","74","image-keyboard-response","27","65678","0.0-6.0-1.10","ADKI","3","m","rechts","22","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","66186","0.0-6.0-0.11","ADKI","3","m","rechts","22","","fixation","","","",""
"754","img/120_150.png","70","image-keyboard-response","29","66958","0.0-6.0-1.11","ADKI","3","m","rechts","22","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","67482","0.0-6.0-0.12","ADKI","3","m","rechts","22","","fixation","","","",""
"965","img/150_300.png","74","image-keyboard-response","31","68468","0.0-6.0-1.12","ADKI","3","m","rechts","22","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","68826","0.0-6.0-0.13","ADKI","3","m","rechts","22","","fixation","","","",""
"816","img/90_330.png","70","image-keyboard-response","33","69659","0.0-6.0-1.13","ADKI","3","m","rechts","22","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","70013","0.0-6.0-0.14","ADKI","3","m","rechts","22","","fixation","","","",""
"871","img/90_120.png","70","image-keyboard-response","35","70909","0.0-6.0-1.14","ADKI","3","m","rechts","22","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","71419","0.0-6.0-0.15","ADKI","3","m","rechts","22","","fixation","","","",""
"740","img/L90_180.png","70","image-keyboard-response","37","72180","0.0-6.0-1.15","ADKI","3","m","rechts","22","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","72653","0.0-6.0-0.16","ADKI","3","m","rechts","22","","fixation","","","",""
"689","img/0_300.png","70","image-keyboard-response","39","73362","0.0-6.0-1.16","ADKI","3","m","rechts","22","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","73685","0.0-6.0-0.17","ADKI","3","m","rechts","22","","fixation","","","",""
"626","img/0_240.png","70","image-keyboard-response","41","74328","0.0-6.0-1.17","ADKI","3","m","rechts","22","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","74641","0.0-6.0-0.18","ADKI","3","m","rechts","22","","fixation","","","",""
"963","img/120_30.png","74","image-keyboard-response","43","75622","0.0-6.0-1.18","ADKI","3","m","rechts","22","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","76047","0.0-6.0-0.19","ADKI","3","m","rechts","22","","fixation","","","",""
"596","img/30_270.png","70","image-keyboard-response","45","76655","0.0-6.0-1.19","ADKI","3","m","rechts","22","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","77110","0.0-6.0-0.20","ADKI","3","m","rechts","22","","fixation","","","",""
"700","img/90_150.png","70","image-keyboard-response","47","77828","0.0-6.0-1.20","ADKI","3","m","rechts","22","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","78141","0.0-6.0-0.21","ADKI","3","m","rechts","22","","fixation","","","",""
"624","img/0_210.png","70","image-keyboard-response","49","78783","0.0-6.0-1.21","ADKI","3","m","rechts","22","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","79095","0.0-6.0-0.22","ADKI","3","m","rechts","22","","fixation","","","",""
"764","img/L120_180.png","70","image-keyboard-response","51","79876","0.0-6.0-1.22","ADKI","3","m","rechts","22","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","80252","0.0-6.0-0.23","ADKI","3","m","rechts","22","","fixation","","","",""
"998","img/30_120.png","74","image-keyboard-response","53","81257","0.0-6.0-1.23","ADKI","3","m","rechts","22","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","81674","0.0-6.0-0.24","ADKI","3","m","rechts","22","","fixation","","","",""
"589","img/0_30.png","74","image-keyboard-response","55","82281","0.0-6.0-1.24","ADKI","3","m","rechts","22","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","56","82736","0.0-6.0-0.25","ADKI","3","m","rechts","22","","fixation","","","",""
"898","img/150_90.png","70","image-keyboard-response","57","83655","0.0-6.0-1.25","ADKI","3","m","rechts","22","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","83970","0.0-6.0-0.26","ADKI","3","m","rechts","22","","fixation","","","",""
"837","img/60_150.png","70","image-keyboard-response","59","84825","0.0-6.0-1.26","ADKI","3","m","rechts","22","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","60","85284","0.0-6.0-0.27","ADKI","3","m","rechts","22","","fixation","","","",""
"683","img/30_90.png","74","image-keyboard-response","61","85983","0.0-6.0-1.27","ADKI","3","m","rechts","22","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","62","86346","0.0-6.0-0.28","ADKI","3","m","rechts","22","","fixation","","","",""
"757","img/60_270.png","70","image-keyboard-response","63","87121","0.0-6.0-1.28","ADKI","3","m","rechts","22","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","87627","0.0-6.0-0.29","ADKI","3","m","rechts","22","","fixation","","","",""
"632","img/0_150.png","74","image-keyboard-response","65","88276","0.0-6.0-1.29","ADKI","3","m","rechts","22","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","66","88579","0.0-6.0-0.30","ADKI","3","m","rechts","22","","fixation","","","",""
"682","img/L30_180.png","70","image-keyboard-response","67","89267","0.0-6.0-1.30","ADKI","3","m","rechts","22","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","68","89627","0.0-6.0-0.31","ADKI","3","m","rechts","22","","fixation","","","",""
"771","img/150_120.png","70","image-keyboard-response","69","90404","0.0-6.0-1.31","ADKI","3","m","rechts","22","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","70","90784","0.0-6.0-0.32","ADKI","3","m","rechts","22","","fixation","","","",""
"900","img/90_240.png","74","image-keyboard-response","71","91699","0.0-6.0-1.32","ADKI","3","m","rechts","22","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","72","92112","0.0-6.0-0.33","ADKI","3","m","rechts","22","","fixation","","","",""
"681","img/30_300.png","70","image-keyboard-response","73","92801","0.0-6.0-1.33","ADKI","3","m","rechts","22","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","74","93221","0.0-6.0-0.34","ADKI","3","m","rechts","22","","fixation","","","",""
"785","img/60_30.png","74","image-keyboard-response","75","94026","0.0-6.0-1.34","ADKI","3","m","rechts","22","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","76","94487","0.0-6.0-0.35","ADKI","3","m","rechts","22","","fixation","","","",""
"598","img/0_330.png","70","image-keyboard-response","77","95094","0.0-6.0-1.35","ADKI","3","m","rechts","22","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","78","95410","0.0-6.0-0.36","ADKI","3","m","rechts","22","","fixation","","","",""
"645","img/90_30.png","74","image-keyboard-response","79","96073","0.0-6.0-1.36","ADKI","3","m","rechts","22","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","80","96442","0.0-6.0-0.37","ADKI","3","m","rechts","22","","fixation","","","",""
"837","img/L150_180.png","70","image-keyboard-response","81","97299","0.0-6.0-1.37","ADKI","3","m","rechts","22","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","82","97675","0.0-6.0-0.38","ADKI","3","m","rechts","22","","fixation","","","",""
"719","img/90_210.png","74","image-keyboard-response","83","98413","0.0-6.0-1.38","ADKI","3","m","rechts","22","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","84","98816","0.0-6.0-0.39","ADKI","3","m","rechts","22","","fixation","","","",""
"618","img/30_60.png","74","image-keyboard-response","85","99449","0.0-6.0-1.39","ADKI","3","m","rechts","22","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","86","99911","0.0-6.0-0.40","ADKI","3","m","rechts","22","","fixation","","","",""
"610","img/60_90.png","74","image-keyboard-response","87","100539","0.0-6.0-1.40","ADKI","3","m","rechts","22","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","88","100958","0.0-6.0-0.41","ADKI","3","m","rechts","22","","fixation","","","",""
"907","img/30_180.png","74","image-keyboard-response","89","101878","0.0-6.0-1.41","ADKI","3","m","rechts","22","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","90","102286","0.0-6.0-0.42","ADKI","3","m","rechts","22","","fixation","","","",""
"768","img/120_90.png","70","image-keyboard-response","91","103059","0.0-6.0-1.42","ADKI","3","m","rechts","22","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","92","103363","0.0-6.0-0.43","ADKI","3","m","rechts","22","","fixation","","","",""
"611","img/150_240.png","74","image-keyboard-response","93","103980","0.0-6.0-1.43","ADKI","3","m","rechts","22","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","94","104396","0.0-6.0-0.44","ADKI","3","m","rechts","22","","fixation","","","",""
"551","img/0_120.png","74","image-keyboard-response","95","104960","0.0-6.0-1.44","ADKI","3","m","rechts","22","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","96","105412","0.0-6.0-0.45","ADKI","3","m","rechts","22","","fixation","","","",""
"611","img/120_210.png","74","image-keyboard-response","97","106029","0.0-6.0-1.45","ADKI","3","m","rechts","22","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","98","106349","0.0-6.0-0.46","ADKI","3","m","rechts","22","","fixation","","","",""
"495","img/0_90.png","74","image-keyboard-response","99","106860","0.0-6.0-1.46","ADKI","3","m","rechts","22","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","100","107364","0.0-6.0-0.47","ADKI","3","m","rechts","22","","fixation","","","",""
"740","img/60_210.png","74","image-keyboard-response","101","108112","0.0-6.0-1.47","ADKI","3","m","rechts","22","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","102","108474","0.0-6.0-0.48","ADKI","3","m","rechts","22","","fixation","","","",""
"757","img/120_270.png","74","image-keyboard-response","103","109245","0.0-6.0-1.48","ADKI","3","m","rechts","22","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","104","109756","0.0-6.0-0.49","ADKI","3","m","rechts","22","","fixation","","","",""
"993","img/150_270.png","74","image-keyboard-response","105","110757","0.0-6.0-1.49","ADKI","3","m","rechts","22","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","106","111218","0.0-6.0-0.50","ADKI","3","m","rechts","22","","fixation","","","",""
"553","img/60_180.png","74","image-keyboard-response","107","111778","0.0-6.0-1.50","ADKI","3","m","rechts","22","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","108","112233","0.0-6.0-0.51","ADKI","3","m","rechts","22","","fixation","","","",""
"618","img/90_300.png","70","image-keyboard-response","109","112858","0.0-6.0-1.51","ADKI","3","m","rechts","22","","","self","f","90","true"
