"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1009","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","70","html-keyboard-response","0","1010","0.0-0.0","ALGO","4","m","rechts","21","","","","","",""
"30959","","","survey-text","1","31970","0.0-1.0","ALGO","4","m","rechts","21","{""Q0"":""ALGO""}","","","","",""
"1668","","","survey-text","2","33639","0.0-2.0","ALGO","4","m","rechts","21","{""Q0"":""4""}","","","","",""
"5873","","","survey-multi-choice","3","39514","0.0-3.0","ALGO","4","m","rechts","21","{""Q0"":""m"",""Q1"":""rechts""}","","","","",""
"4378","","","survey-text","4","43894","0.0-4.0","ALGO","4","m","rechts","21","{""Q0"":""21""}","","","","",""
"266565","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","310459","0.0-5.0","ALGO","4","m","rechts","21","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","311912","0.0-6.0-0.0","ALGO","4","m","rechts","21","","fixation","","","",""
"767","img/90_60.png","70","image-keyboard-response","7","312681","0.0-6.0-1.0","ALGO","4","m","rechts","21","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","313183","0.0-6.0-0.1","ALGO","4","m","rechts","21","","fixation","","","",""
"854","img/90_180.png","70","image-keyboard-response","9","314038","0.0-6.0-1.1","ALGO","4","m","rechts","21","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","314490","0.0-6.0-0.2","ALGO","4","m","rechts","21","","fixation","","","",""
"1074","img/L30_180.png","74","image-keyboard-response","11","315565","0.0-6.0-1.2","ALGO","4","m","rechts","21","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","315967","0.0-6.0-0.3","ALGO","4","m","rechts","21","","fixation","","","",""
"733","img/0_270.png","70","image-keyboard-response","13","316701","0.0-6.0-1.3","ALGO","4","m","rechts","21","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","317203","0.0-6.0-0.4","ALGO","4","m","rechts","21","","fixation","","","",""
