"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1192","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","72","html-keyboard-response","0","1196","0.0-0.0","ANBL","2","f","rechts","21","","","","","",""
"5964","","","survey-text","1","7162","0.0-1.0","ANBL","2","f","rechts","21","{""Q0"":""ANBL""}","","","","",""
"5924","","","survey-text","2","13086","0.0-2.0","ANBL","2","f","rechts","21","{""Q0"":""2""}","","","","",""
"4581","","","survey-multi-choice","3","17672","0.0-3.0","ANBL","2","f","rechts","21","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"3162","","","survey-text","4","20834","0.0-4.0","ANBL","2","f","rechts","21","{""Q0"":""21""}","","","","",""
"283018","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","303854","0.0-5.0","ANBL","2","f","rechts","21","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","305157","0.0-6.0-0.0","ANBL","2","f","rechts","21","","fixation","","","",""
"1161","img/60_270.png","74","image-keyboard-response","7","306320","0.0-6.0-1.0","ANBL","2","f","rechts","21","","","object","f","60","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","306821","0.0-6.0-0.1","ANBL","2","f","rechts","21","","fixation","","","",""
"1267","img/L60_180.png","74","image-keyboard-response","9","308090","0.0-6.0-1.1","ANBL","2","f","rechts","21","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","308391","0.0-6.0-0.2","ANBL","2","f","rechts","21","","fixation","","","",""
"1569","img/150_240.png","74","image-keyboard-response","11","309962","0.0-6.0-1.2","ANBL","2","f","rechts","21","","","object","j","150","true"
