"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"3494","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","83","html-keyboard-response","0","3498","0.0-0.0","ANBL","1","f","rechts","21","","","","","",""
"4889","","","survey-text","1","8389","0.0-1.0","ANBL","1","f","rechts","21","{""Q0"":""ANBL""}","","","","",""
"3398","","","survey-text","2","11787","0.0-2.0","ANBL","1","f","rechts","21","{""Q0"":""1""}","","","","",""
"3766","","","survey-multi-choice","3","15555","0.0-3.0","ANBL","1","f","rechts","21","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"1948","","","survey-text","4","17504","0.0-4.0","ANBL","1","f","rechts","21","{""Q0"":""21""}","","","","",""
"228243","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","245749","0.0-5.0","ANBL","1","f","rechts","21","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","247052","0.0-6.0-0.0","ANBL","1","f","rechts","21","","fixation","","","",""
"1655","img/90_150.png","70","image-keyboard-response","7","248709","0.0-6.0-1.0","ANBL","1","f","rechts","21","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","249211","0.0-6.0-0.1","ANBL","1","f","rechts","21","","fixation","","","",""
"1208","img/60_180.png","74","image-keyboard-response","9","250421","0.0-6.0-1.1","ANBL","1","f","rechts","21","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","250922","0.0-6.0-0.2","ANBL","1","f","rechts","21","","fixation","","","",""
"753","img/0_30.png","74","image-keyboard-response","11","251677","0.0-6.0-1.2","ANBL","1","f","rechts","21","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","252128","0.0-6.0-0.3","ANBL","1","f","rechts","21","","fixation","","","",""
"1104","img/L150_180.png","70","image-keyboard-response","13","253233","0.0-6.0-1.3","ANBL","1","f","rechts","21","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","253685","0.0-6.0-0.4","ANBL","1","f","rechts","21","","fixation","","","",""
"1010","img/30_180.png","74","image-keyboard-response","15","254696","0.0-6.0-1.4","ANBL","1","f","rechts","21","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","254998","0.0-6.0-0.5","ANBL","1","f","rechts","21","","fixation","","","",""
"2278","img/120_30.png","74","image-keyboard-response","17","257279","0.0-6.0-1.5","ANBL","1","f","rechts","21","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","257580","0.0-6.0-0.6","ANBL","1","f","rechts","21","","fixation","","","",""
"2019","img/150_60.png","74","image-keyboard-response","19","259601","0.0-6.0-1.6","ANBL","1","f","rechts","21","","","self","f","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","259952","0.0-6.0-0.7","ANBL","1","f","rechts","21","","fixation","","","",""
"692","img/0_240.png","70","image-keyboard-response","21","260645","0.0-6.0-1.7","ANBL","1","f","rechts","21","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","260997","0.0-6.0-0.8","ANBL","1","f","rechts","21","","fixation","","","",""
"1813","img/90_60.png","74","image-keyboard-response","23","262812","0.0-6.0-1.8","ANBL","1","f","rechts","21","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","263163","0.0-6.0-0.9","ANBL","1","f","rechts","21","","fixation","","","",""
"1207","img/120_150.png","70","image-keyboard-response","25","264372","0.0-6.0-1.9","ANBL","1","f","rechts","21","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","264874","0.0-6.0-0.10","ANBL","1","f","rechts","21","","fixation","","","",""
"1009","img/L60_180.png","70","image-keyboard-response","27","265884","0.0-6.0-1.10","ANBL","1","f","rechts","21","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","266286","0.0-6.0-0.11","ANBL","1","f","rechts","21","","fixation","","","",""
"2251","img/60_270.png","70","image-keyboard-response","29","268538","0.0-6.0-1.11","ANBL","1","f","rechts","21","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","269040","0.0-6.0-0.12","ANBL","1","f","rechts","21","","fixation","","","",""
"1146","img/90_240.png","74","image-keyboard-response","31","270187","0.0-6.0-1.12","ANBL","1","f","rechts","21","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","270489","0.0-6.0-0.13","ANBL","1","f","rechts","21","","fixation","","","",""
"1269","img/150_120.png","70","image-keyboard-response","33","271759","0.0-6.0-1.13","ANBL","1","f","rechts","21","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","272060","0.0-6.0-0.14","ANBL","1","f","rechts","21","","fixation","","","",""
"700","img/0_300.png","70","image-keyboard-response","35","272761","0.0-6.0-1.14","ANBL","1","f","rechts","21","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","273062","0.0-6.0-0.15","ANBL","1","f","rechts","21","","fixation","","","",""
"1742","img/90_30.png","74","image-keyboard-response","37","274805","0.0-6.0-1.15","ANBL","1","f","rechts","21","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","275157","0.0-6.0-0.16","ANBL","1","f","rechts","21","","fixation","","","",""
"1877","img/150_90.png","70","image-keyboard-response","39","277035","0.0-6.0-1.16","ANBL","1","f","rechts","21","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","277537","0.0-6.0-0.17","ANBL","1","f","rechts","21","","fixation","","","",""
"1328","img/30_270.png","70","image-keyboard-response","41","278866","0.0-6.0-1.17","ANBL","1","f","rechts","21","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","279268","0.0-6.0-0.18","ANBL","1","f","rechts","21","","fixation","","","",""
"709","img/0_270.png","70","image-keyboard-response","43","279978","0.0-6.0-1.18","ANBL","1","f","rechts","21","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","280330","0.0-6.0-0.19","ANBL","1","f","rechts","21","","fixation","","","",""
"1171","img/150_270.png","74","image-keyboard-response","45","281502","0.0-6.0-1.19","ANBL","1","f","rechts","21","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","282004","0.0-6.0-0.20","ANBL","1","f","rechts","21","","fixation","","","",""
"1288","img/60_90.png","74","image-keyboard-response","47","283293","0.0-6.0-1.20","ANBL","1","f","rechts","21","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","283745","0.0-6.0-0.21","ANBL","1","f","rechts","21","","fixation","","","",""
"645","img/0_330.png","70","image-keyboard-response","49","284391","0.0-6.0-1.21","ANBL","1","f","rechts","21","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","284793","0.0-6.0-0.22","ANBL","1","f","rechts","21","","fixation","","","",""
"1507","img/60_30.png","74","image-keyboard-response","51","286301","0.0-6.0-1.22","ANBL","1","f","rechts","21","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","286752","0.0-6.0-0.23","ANBL","1","f","rechts","21","","fixation","","","",""
"1166","img/90_330.png","70","image-keyboard-response","53","287920","0.0-6.0-1.23","ANBL","1","f","rechts","21","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","288221","0.0-6.0-0.24","ANBL","1","f","rechts","21","","fixation","","","",""
"1272","img/120_330.png","70","image-keyboard-response","55","289495","0.0-6.0-1.24","ANBL","1","f","rechts","21","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","56","289947","0.0-6.0-0.25","ANBL","1","f","rechts","21","","fixation","","","",""
"894","img/0_120.png","74","image-keyboard-response","57","290842","0.0-6.0-1.25","ANBL","1","f","rechts","21","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","291244","0.0-6.0-0.26","ANBL","1","f","rechts","21","","fixation","","","",""
"1147","img/0_90.png","74","image-keyboard-response","59","292393","0.0-6.0-1.26","ANBL","1","f","rechts","21","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","60","292844","0.0-6.0-0.27","ANBL","1","f","rechts","21","","fixation","","","",""
"1321","img/30_240.png","70","image-keyboard-response","61","294166","0.0-6.0-1.27","ANBL","1","f","rechts","21","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","62","294568","0.0-6.0-0.28","ANBL","1","f","rechts","21","","fixation","","","",""
"1911","img/L120_180.png","70","image-keyboard-response","63","296481","0.0-6.0-1.28","ANBL","1","f","rechts","21","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","296932","0.0-6.0-0.29","ANBL","1","f","rechts","21","","fixation","","","",""
"1073","img/30_120.png","74","image-keyboard-response","65","298007","0.0-6.0-1.29","ANBL","1","f","rechts","21","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","66","298509","0.0-6.0-0.30","ANBL","1","f","rechts","21","","fixation","","","",""
"1068","img/60_150.png","70","image-keyboard-response","67","299578","0.0-6.0-1.30","ANBL","1","f","rechts","21","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","68","299980","0.0-6.0-0.31","ANBL","1","f","rechts","21","","fixation","","","",""
"829","img/0_60.png","74","image-keyboard-response","69","300811","0.0-6.0-1.31","ANBL","1","f","rechts","21","","","self","j","0","true"
