"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"11668","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","72","html-keyboard-response","0","11671","0.0-0.0","DIGA","3","m","rechts","58","","","","","",""
"7572","","","survey-text","1","19244","0.0-1.0","DIGA","3","m","rechts","58","{""Q0"":""DIGA""}","","","","",""
"2914","","","survey-text","2","22161","0.0-2.0","DIGA","3","m","rechts","58","{""Q0"":""3""}","","","","",""
"3201","","","survey-multi-choice","3","25367","0.0-3.0","DIGA","3","m","rechts","58","{""Q0"":""m"",""Q1"":""rechts""}","","","","",""
"3797","","","survey-text","4","29164","0.0-4.0","DIGA","3","m","rechts","58","{""Q0"":""58""}","","","","",""
"8839","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","70","html-keyboard-response","5","38003","0.0-5.0","DIGA","3","m","rechts","58","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","39458","0.0-6.0-0.0","DIGA","3","m","rechts","58","","fixation","","","",""
"1836","img/L60_180.png","74","image-keyboard-response","7","41295","0.0-6.0-1.0","DIGA","3","m","rechts","58","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","41652","0.0-6.0-0.1","DIGA","3","m","rechts","58","","fixation","","","",""
"1364","img/30_180.png","70","image-keyboard-response","9","43017","0.0-6.0-1.1","DIGA","3","m","rechts","58","","","object","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","43469","0.0-6.0-0.2","DIGA","3","m","rechts","58","","fixation","","","",""
"1444","img/90_60.png","70","image-keyboard-response","11","44913","0.0-6.0-1.2","DIGA","3","m","rechts","58","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","45367","0.0-6.0-0.3","DIGA","3","m","rechts","58","","fixation","","","",""
"1275","img/0_120.png","74","image-keyboard-response","13","46644","0.0-6.0-1.3","DIGA","3","m","rechts","58","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","47097","0.0-6.0-0.4","DIGA","3","m","rechts","58","","fixation","","","",""
"2026","img/90_120.png","70","image-keyboard-response","15","49123","0.0-6.0-1.4","DIGA","3","m","rechts","58","","","object","j","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","49529","0.0-6.0-0.5","DIGA","3","m","rechts","58","","fixation","","","",""
"1722","img/150_180.png","70","image-keyboard-response","17","51252","0.0-6.0-1.5","DIGA","3","m","rechts","58","","","object","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","51757","0.0-6.0-0.6","DIGA","3","m","rechts","58","","fixation","","","",""
"1081","img/0_90.png","74","image-keyboard-response","19","52839","0.0-6.0-1.6","DIGA","3","m","rechts","58","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","53192","0.0-6.0-0.7","DIGA","3","m","rechts","58","","fixation","","","",""
"1500","img/30_300.png","74","image-keyboard-response","21","54693","0.0-6.0-1.7","DIGA","3","m","rechts","58","","","object","f","30","false"
