"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"8316","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","72","html-keyboard-response","0","8321","0.0-0.0","DIGA","2","m","rechts","58","","","","","",""
"4866","","","survey-text","1","13188","0.0-1.0","DIGA","2","m","rechts","58","{""Q0"":""DIGA""}","","","","",""
"3532","","","survey-text","2","16720","0.0-2.0","DIGA","2","m","rechts","58","{""Q0"":""2""}","","","","",""
"4266","","","survey-multi-choice","3","20990","0.0-3.0","DIGA","2","m","rechts","58","{""Q0"":""m"",""Q1"":""rechts""}","","","","",""
"15782","","","survey-text","4","36773","0.0-4.0","DIGA","2","m","rechts","58","{""Q0"":""58""}","","","","",""
"32320","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","69094","0.0-5.0","DIGA","2","m","rechts","58","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","70401","0.0-6.0-0.0","DIGA","2","m","rechts","58","","fixation","","","",""
"1768","img/0_270.png","70","image-keyboard-response","7","72170","0.0-6.0-1.0","DIGA","2","m","rechts","58","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","72525","0.0-6.0-0.1","DIGA","2","m","rechts","58","","fixation","","","",""
"1440","img/150_300.png","74","image-keyboard-response","9","73967","0.0-6.0-1.1","DIGA","2","m","rechts","58","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","74423","0.0-6.0-0.2","DIGA","2","m","rechts","58","","fixation","","","",""
"1540","img/120_180.png","74","image-keyboard-response","11","75964","0.0-6.0-1.2","DIGA","2","m","rechts","58","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","76419","0.0-6.0-0.3","DIGA","2","m","rechts","58","","fixation","","","",""
"1458","img/90_330.png","70","image-keyboard-response","13","77878","0.0-6.0-1.3","DIGA","2","m","rechts","58","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","78284","0.0-6.0-0.4","DIGA","2","m","rechts","58","","fixation","","","",""
"1677","img/120_90.png","70","image-keyboard-response","15","79961","0.0-6.0-1.4","DIGA","2","m","rechts","58","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","80367","0.0-6.0-0.5","DIGA","2","m","rechts","58","","fixation","","","",""
"1538","img/150_180.png","74","image-keyboard-response","17","81905","0.0-6.0-1.5","DIGA","2","m","rechts","58","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","82211","0.0-6.0-0.6","DIGA","2","m","rechts","58","","fixation","","","",""
