"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"2407","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","13","html-keyboard-response","0","2443","0.0-0.0","FAMI","3","m","rechts","22","","","","","",""
"6928","","","survey-text","1","9374","0.0-1.0","FAMI","3","m","rechts","22","{""Q0"":""FAMI""}","","","","",""
"2114","","","survey-text","2","11489","0.0-2.0","FAMI","3","m","rechts","22","{""Q0"":""3""}","","","","",""
"2072","","","survey-multi-choice","3","13568","0.0-3.0","FAMI","3","m","rechts","22","{""Q0"":""m"",""Q1"":""rechts""}","","","","",""
"1980","","","survey-text","4","15550","0.0-4.0","FAMI","3","m","rechts","22","{""Q0"":""22""}","","","","",""
"12587","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","70","html-keyboard-response","5","28145","0.0-5.0","FAMI","3","m","rechts","22","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","29484","0.0-6.0-0.0","FAMI","3","m","rechts","22","","fixation","","","",""
"1151","img/0_30.png","74","image-keyboard-response","7","30656","0.0-6.0-1.0","FAMI","3","m","rechts","22","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","31023","0.0-6.0-0.1","FAMI","3","m","rechts","22","","fixation","","","",""
"996","img/60_210.png","70","image-keyboard-response","9","32043","0.0-6.0-1.1","FAMI","3","m","rechts","22","","","object","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","32501","0.0-6.0-0.2","FAMI","3","m","rechts","22","","fixation","","","",""
