"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1150","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","13","html-keyboard-response","0","1163","0.0-0.0","FAMI","1","m","rechts","22","","","","","",""
"4139","","","survey-text","1","5303","0.0-1.0","FAMI","1","m","rechts","22","{""Q0"":""FAMI""}","","","","",""
"3354","","","survey-text","2","8659","0.0-2.0","FAMI","1","m","rechts","22","{""Q0"":""1""}","","","","",""
"1934","","","survey-multi-choice","3","10605","0.0-3.0","FAMI","1","m","rechts","22","{""Q0"":""m"",""Q1"":""rechts""}","","","","",""
"2107","","","survey-text","4","12716","0.0-4.0","FAMI","1","m","rechts","22","{""Q0"":""22""}","","","","",""
"22924","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","35651","0.0-5.0","FAMI","1","m","rechts","22","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","37125","0.0-6.0-0.0","FAMI","1","m","rechts","22","","fixation","","","",""
"1249","img/60_150.png","70","image-keyboard-response","7","38395","0.0-6.0-1.0","FAMI","1","m","rechts","22","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","38812","0.0-6.0-0.1","FAMI","1","m","rechts","22","","fixation","","","",""
"1013","img/90_120.png","70","image-keyboard-response","9","39842","0.0-6.0-1.1","FAMI","1","m","rechts","22","","","self","f","90","true"
