"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"6108","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","13","html-keyboard-response","0","6145","0.0-0.0","FLSE","2","m","rechts","23","","","","","",""
"11729","","","survey-text","1","17879","0.0-1.0","FLSE","2","m","rechts","23","{""Q0"":""FLSE""}","","","","",""
"13982","","","survey-text","2","31862","0.0-2.0","FLSE","2","m","rechts","23","{""Q0"":""2""}","","","","",""
"44087","","","survey-multi-choice","3","75953","0.0-3.0","FLSE","2","m","rechts","23","{""Q0"":""m"",""Q1"":""rechts""}","","","","",""
"3057","","","survey-text","4","79011","0.0-4.0","FLSE","2","m","rechts","23","{""Q0"":""23""}","","","","",""
"55722","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","70","html-keyboard-response","5","134743","0.0-5.0","FLSE","2","m","rechts","23","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","136159","0.0-6.0-0.0","FLSE","2","m","rechts","23","","fixation","","","",""
"1178","img/0_30.png","70","image-keyboard-response","7","137358","0.0-6.0-1.0","FLSE","2","m","rechts","23","","","object","j","0","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","137885","0.0-6.0-0.1","FLSE","2","m","rechts","23","","fixation","","","",""
"703","img/0_270.png","70","image-keyboard-response","9","138607","0.0-6.0-1.1","FLSE","2","m","rechts","23","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","139072","0.0-6.0-0.2","FLSE","2","m","rechts","23","","fixation","","","",""
"1148","img/30_270.png","74","image-keyboard-response","11","140237","0.0-6.0-1.2","FLSE","2","m","rechts","23","","","object","f","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","140667","0.0-6.0-0.3","FLSE","2","m","rechts","23","","fixation","","","",""
"937","img/90_60.png","70","image-keyboard-response","13","141622","0.0-6.0-1.3","FLSE","2","m","rechts","23","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","142088","0.0-6.0-0.4","FLSE","2","m","rechts","23","","fixation","","","",""
"787","img/0_90.png","74","image-keyboard-response","15","142893","0.0-6.0-1.4","FLSE","2","m","rechts","23","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","143418","0.0-6.0-0.5","FLSE","2","m","rechts","23","","fixation","","","",""
"1040","img/30_60.png","74","image-keyboard-response","17","144478","0.0-6.0-1.5","FLSE","2","m","rechts","23","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","144886","0.0-6.0-0.6","FLSE","2","m","rechts","23","","fixation","","","",""
"970","img/30_120.png","70","image-keyboard-response","19","145873","0.0-6.0-1.6","FLSE","2","m","rechts","23","","","object","j","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","146240","0.0-6.0-0.7","FLSE","2","m","rechts","23","","fixation","","","",""
"870","img/0_150.png","74","image-keyboard-response","21","147123","0.0-6.0-1.7","FLSE","2","m","rechts","23","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","147583","0.0-6.0-0.8","FLSE","2","m","rechts","23","","fixation","","","",""
"945","img/120_210.png","70","image-keyboard-response","23","148541","0.0-6.0-1.8","FLSE","2","m","rechts","23","","","object","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","148944","0.0-6.0-0.9","FLSE","2","m","rechts","23","","fixation","","","",""
"960","img/L60_180.png","74","image-keyboard-response","25","149923","0.0-6.0-1.9","FLSE","2","m","rechts","23","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","150303","0.0-6.0-0.10","FLSE","2","m","rechts","23","","fixation","","","",""
"906","img/60_150.png","74","image-keyboard-response","27","151215","0.0-6.0-1.10","FLSE","2","m","rechts","23","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","151538","0.0-6.0-0.11","FLSE","2","m","rechts","23","","fixation","","","",""
"955","img/90_210.png","70","image-keyboard-response","29","152512","0.0-6.0-1.11","FLSE","2","m","rechts","23","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","152931","0.0-6.0-0.12","FLSE","2","m","rechts","23","","fixation","","","",""
"1745","img/120_330.png","74","image-keyboard-response","31","154694","0.0-6.0-1.12","FLSE","2","m","rechts","23","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","155055","0.0-6.0-0.13","FLSE","2","m","rechts","23","","fixation","","","",""
"983","img/L90_180.png","74","image-keyboard-response","33","156055","0.0-6.0-1.13","FLSE","2","m","rechts","23","","","object","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","156368","0.0-6.0-0.14","FLSE","2","m","rechts","23","","fixation","","","",""
"936","img/90_240.png","70","image-keyboard-response","35","157325","0.0-6.0-1.14","FLSE","2","m","rechts","23","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","157633","0.0-6.0-0.15","FLSE","2","m","rechts","23","","fixation","","","",""
"1101","img/90_180.png","70","image-keyboard-response","37","158765","0.0-6.0-1.15","FLSE","2","m","rechts","23","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","159085","0.0-6.0-0.16","FLSE","2","m","rechts","23","","fixation","","","",""
"967","img/0_210.png","70","image-keyboard-response","39","160072","0.0-6.0-1.16","FLSE","2","m","rechts","23","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","160430","0.0-6.0-0.17","FLSE","2","m","rechts","23","","fixation","","","",""
"941","img/60_210.png","70","image-keyboard-response","41","161388","0.0-6.0-1.17","FLSE","2","m","rechts","23","","","object","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","161804","0.0-6.0-0.18","FLSE","2","m","rechts","23","","fixation","","","",""
"1026","img/L30_180.png","74","image-keyboard-response","43","162849","0.0-6.0-1.18","FLSE","2","m","rechts","23","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","163213","0.0-6.0-0.19","FLSE","2","m","rechts","23","","fixation","","","",""
"1507","img/60_270.png","70","image-keyboard-response","45","164739","0.0-6.0-1.19","FLSE","2","m","rechts","23","","","object","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","165197","0.0-6.0-0.20","FLSE","2","m","rechts","23","","fixation","","","",""
"1774","img/30_90.png","70","image-keyboard-response","47","166989","0.0-6.0-1.20","FLSE","2","m","rechts","23","","","object","j","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","167494","0.0-6.0-0.21","FLSE","2","m","rechts","23","","fixation","","","",""
"972","img/150_120.png","74","image-keyboard-response","49","168487","0.0-6.0-1.21","FLSE","2","m","rechts","23","","","object","f","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","168915","0.0-6.0-0.22","FLSE","2","m","rechts","23","","fixation","","","",""
"1031","img/L120_180.png","74","image-keyboard-response","51","169964","0.0-6.0-1.22","FLSE","2","m","rechts","23","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","170274","0.0-6.0-0.23","FLSE","2","m","rechts","23","","fixation","","","",""
"817","img/30_300.png","70","image-keyboard-response","53","171097","0.0-6.0-1.23","FLSE","2","m","rechts","23","","","object","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","171556","0.0-6.0-0.24","FLSE","2","m","rechts","23","","fixation","","","",""
"680","img/0_330.png","70","image-keyboard-response","55","172254","0.0-6.0-1.24","FLSE","2","m","rechts","23","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","56","172619","0.0-6.0-0.25","FLSE","2","m","rechts","23","","fixation","","","",""
"925","img/90_300.png","74","image-keyboard-response","57","173561","0.0-6.0-1.25","FLSE","2","m","rechts","23","","","object","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","174027","0.0-6.0-0.26","FLSE","2","m","rechts","23","","fixation","","","",""
"854","img/60_330.png","70","image-keyboard-response","59","174901","0.0-6.0-1.26","FLSE","2","m","rechts","23","","","object","j","60","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","60","175433","0.0-6.0-0.27","FLSE","2","m","rechts","23","","fixation","","","",""
"944","img/90_120.png","74","image-keyboard-response","61","176395","0.0-6.0-1.27","FLSE","2","m","rechts","23","","","object","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","62","176808","0.0-6.0-0.28","FLSE","2","m","rechts","23","","fixation","","","",""
"896","img/120_270.png","74","image-keyboard-response","63","177721","0.0-6.0-1.28","FLSE","2","m","rechts","23","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","178198","0.0-6.0-0.29","FLSE","2","m","rechts","23","","fixation","","","",""
"899","img/120_90.png","74","image-keyboard-response","65","179118","0.0-6.0-1.29","FLSE","2","m","rechts","23","","","object","f","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","66","179635","0.0-6.0-0.30","FLSE","2","m","rechts","23","","fixation","","","",""
"963","img/60_180.png","70","image-keyboard-response","67","180615","0.0-6.0-1.30","FLSE","2","m","rechts","23","","","object","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","68","181074","0.0-6.0-0.31","FLSE","2","m","rechts","23","","fixation","","","",""
"1243","img/150_240.png","70","image-keyboard-response","69","182334","0.0-6.0-1.31","FLSE","2","m","rechts","23","","","object","j","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","70","182838","0.0-6.0-0.32","FLSE","2","m","rechts","23","","fixation","","","",""
"726","img/0_240.png","70","image-keyboard-response","71","183585","0.0-6.0-1.32","FLSE","2","m","rechts","23","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","72","183950","0.0-6.0-0.33","FLSE","2","m","rechts","23","","fixation","","","",""
"1215","img/150_300.png","74","image-keyboard-response","73","185182","0.0-6.0-1.33","FLSE","2","m","rechts","23","","","object","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","74","185607","0.0-6.0-0.34","FLSE","2","m","rechts","23","","fixation","","","",""
