"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1339","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","13","html-keyboard-response","0","1382","0.0-0.0","FLSE","1","m","rechts","23","","","","","",""
"6257","","","survey-text","1","7641","0.0-1.0","FLSE","1","m","rechts","23","{""Q0"":""FLSE""}","","","","",""
"2626","","","survey-text","2","10269","0.0-2.0","FLSE","1","m","rechts","23","{""Q0"":""1""}","","","","",""
"9853","","","survey-multi-choice","3","20125","0.0-3.0","FLSE","1","m","rechts","23","{""Q0"":""m"",""Q1"":""rechts""}","","","","",""
"2754","","","survey-text","4","22881","0.0-4.0","FLSE","1","m","rechts","23","{""Q0"":""23""}","","","","",""
"18981","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","41868","0.0-5.0","FLSE","1","m","rechts","23","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","43212","0.0-6.0-0.0","FLSE","1","m","rechts","23","","fixation","","","",""
"798","img/0_150.png","74","image-keyboard-response","7","44028","0.0-6.0-1.0","FLSE","1","m","rechts","23","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","44385","0.0-6.0-0.1","FLSE","1","m","rechts","23","","fixation","","","",""
"787","img/L60_180.png","70","image-keyboard-response","9","45193","0.0-6.0-1.1","FLSE","1","m","rechts","23","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","45571","0.0-6.0-0.2","FLSE","1","m","rechts","23","","fixation","","","",""
"941","img/150_60.png","74","image-keyboard-response","11","46520","0.0-6.0-1.2","FLSE","1","m","rechts","23","","","self","f","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","46946","0.0-6.0-0.3","FLSE","1","m","rechts","23","","fixation","","","",""
"794","img/30_240.png","74","image-keyboard-response","13","47757","0.0-6.0-1.3","FLSE","1","m","rechts","23","","","self","f","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","48167","0.0-6.0-0.4","FLSE","1","m","rechts","23","","fixation","","","",""
"789","img/60_180.png","74","image-keyboard-response","15","48974","0.0-6.0-1.4","FLSE","1","m","rechts","23","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","49400","0.0-6.0-0.5","FLSE","1","m","rechts","23","","fixation","","","",""
"1086","img/90_330.png","70","image-keyboard-response","17","50502","0.0-6.0-1.5","FLSE","1","m","rechts","23","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","51008","0.0-6.0-0.6","FLSE","1","m","rechts","23","","fixation","","","",""
"767","img/90_150.png","70","image-keyboard-response","19","51783","0.0-6.0-1.6","FLSE","1","m","rechts","23","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","52208","0.0-6.0-0.7","FLSE","1","m","rechts","23","","fixation","","","",""
"873","img/150_270.png","74","image-keyboard-response","21","53102","0.0-6.0-1.7","FLSE","1","m","rechts","23","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","53522","0.0-6.0-0.8","FLSE","1","m","rechts","23","","fixation","","","",""
"762","img/L90_180.png","70","image-keyboard-response","23","54306","0.0-6.0-1.8","FLSE","1","m","rechts","23","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","54834","0.0-6.0-0.9","FLSE","1","m","rechts","23","","fixation","","","",""
"1017","img/30_300.png","70","image-keyboard-response","25","55869","0.0-6.0-1.9","FLSE","1","m","rechts","23","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","56350","0.0-6.0-0.10","FLSE","1","m","rechts","23","","fixation","","","",""
"1221","img/30_90.png","74","image-keyboard-response","27","57588","0.0-6.0-1.10","FLSE","1","m","rechts","23","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","58102","0.0-6.0-0.11","FLSE","1","m","rechts","23","","fixation","","","",""
"967","img/150_240.png","74","image-keyboard-response","29","59086","0.0-6.0-1.11","FLSE","1","m","rechts","23","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","59446","0.0-6.0-0.12","FLSE","1","m","rechts","23","","fixation","","","",""
"622","img/0_30.png","74","image-keyboard-response","31","60089","0.0-6.0-1.12","FLSE","1","m","rechts","23","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","60615","0.0-6.0-0.13","FLSE","1","m","rechts","23","","fixation","","","",""
"836","img/60_330.png","70","image-keyboard-response","33","61461","0.0-6.0-1.13","FLSE","1","m","rechts","23","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","61929","0.0-6.0-0.14","FLSE","1","m","rechts","23","","fixation","","","",""
"1139","img/60_210.png","74","image-keyboard-response","35","63091","0.0-6.0-1.14","FLSE","1","m","rechts","23","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","63506","0.0-6.0-0.15","FLSE","1","m","rechts","23","","fixation","","","",""
"1008","img/60_90.png","74","image-keyboard-response","37","64543","0.0-6.0-1.15","FLSE","1","m","rechts","23","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","64852","0.0-6.0-0.16","FLSE","1","m","rechts","23","","fixation","","","",""
"989","img/120_180.png","74","image-keyboard-response","39","65860","0.0-6.0-1.16","FLSE","1","m","rechts","23","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","66384","0.0-6.0-0.17","FLSE","1","m","rechts","23","","fixation","","","",""
"1022","img/150_300.png","74","image-keyboard-response","41","67423","0.0-6.0-1.17","FLSE","1","m","rechts","23","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","67885","0.0-6.0-0.18","FLSE","1","m","rechts","23","","fixation","","","",""
"1129","img/60_30.png","74","image-keyboard-response","43","69032","0.0-6.0-1.18","FLSE","1","m","rechts","23","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","69493","0.0-6.0-0.19","FLSE","1","m","rechts","23","","fixation","","","",""
"849","img/90_210.png","74","image-keyboard-response","45","70359","0.0-6.0-1.19","FLSE","1","m","rechts","23","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","70775","0.0-6.0-0.20","FLSE","1","m","rechts","23","","fixation","","","",""
"1277","img/90_240.png","74","image-keyboard-response","47","72069","0.0-6.0-1.20","FLSE","1","m","rechts","23","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","72478","0.0-6.0-0.21","FLSE","1","m","rechts","23","","fixation","","","",""
"765","img/L30_180.png","70","image-keyboard-response","49","73262","0.0-6.0-1.21","FLSE","1","m","rechts","23","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","73679","0.0-6.0-0.22","FLSE","1","m","rechts","23","","fixation","","","",""
"1013","img/60_150.png","70","image-keyboard-response","51","74700","0.0-6.0-1.22","FLSE","1","m","rechts","23","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","75008","0.0-6.0-0.23","FLSE","1","m","rechts","23","","fixation","","","",""
"1115","img/30_180.png","74","image-keyboard-response","53","76141","0.0-6.0-1.23","FLSE","1","m","rechts","23","","","self","j","30","true"
