"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1915","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","32","html-keyboard-response","0","1918","0.0-0.0","FRKA","3","m","rechts","22","","","","","",""
"13322","","","survey-text","1","15241","0.0-1.0","FRKA","3","m","rechts","22","{""Q0"":""FRKA""}","","","","",""
"3828","","","survey-text","2","19069","0.0-2.0","FRKA","3","m","rechts","22","{""Q0"":""3""}","","","","",""
"6290","","","survey-multi-choice","3","25361","0.0-3.0","FRKA","3","m","rechts","22","{""Q0"":""m"",""Q1"":""rechts""}","","","","",""
"2823","","","survey-text","4","28185","0.0-4.0","FRKA","3","m","rechts","22","{""Q0"":""22""}","","","","",""
"2539","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","32","html-keyboard-response","5","30726","0.0-5.0","FRKA","3","m","rechts","22","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","32229","0.0-6.0-0.0","FRKA","3","m","rechts","22","","fixation","","","",""
"1615","img/30_120.png","74","image-keyboard-response","7","33845","0.0-6.0-1.0","FRKA","3","m","rechts","22","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","34297","0.0-6.0-0.1","FRKA","3","m","rechts","22","","fixation","","","",""
"633","img/0_120.png","74","image-keyboard-response","9","34932","0.0-6.0-1.1","FRKA","3","m","rechts","22","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","35234","0.0-6.0-0.2","FRKA","3","m","rechts","22","","fixation","","","",""
"583","img/60_180.png","74","image-keyboard-response","11","35819","0.0-6.0-1.2","FRKA","3","m","rechts","22","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","36271","0.0-6.0-0.3","FRKA","3","m","rechts","22","","fixation","","","",""
"706","img/150_180.png","74","image-keyboard-response","13","36979","0.0-6.0-1.3","FRKA","3","m","rechts","22","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","37431","0.0-6.0-0.4","FRKA","3","m","rechts","22","","fixation","","","",""
"679","img/0_270.png","70","image-keyboard-response","15","38111","0.0-6.0-1.4","FRKA","3","m","rechts","22","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","38513","0.0-6.0-0.5","FRKA","3","m","rechts","22","","fixation","","","",""
"1226","img/150_60.png","70","image-keyboard-response","17","39739","0.0-6.0-1.5","FRKA","3","m","rechts","22","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","40041","0.0-6.0-0.6","FRKA","3","m","rechts","22","","fixation","","","",""
"1114","img/60_150.png","70","image-keyboard-response","19","41157","0.0-6.0-1.6","FRKA","3","m","rechts","22","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","41558","0.0-6.0-0.7","FRKA","3","m","rechts","22","","fixation","","","",""
"1626","img/120_30.png","74","image-keyboard-response","21","43186","0.0-6.0-1.7","FRKA","3","m","rechts","22","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","43687","0.0-6.0-0.8","FRKA","3","m","rechts","22","","fixation","","","",""
"639","img/0_240.png","70","image-keyboard-response","23","44327","0.0-6.0-1.8","FRKA","3","m","rechts","22","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","44729","0.0-6.0-0.9","FRKA","3","m","rechts","22","","fixation","","","",""
"854","img/150_120.png","70","image-keyboard-response","25","45584","0.0-6.0-1.9","FRKA","3","m","rechts","22","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","46036","0.0-6.0-0.10","FRKA","3","m","rechts","22","","fixation","","","",""
"807","img/60_270.png","70","image-keyboard-response","27","46844","0.0-6.0-1.10","FRKA","3","m","rechts","22","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","47146","0.0-6.0-0.11","FRKA","3","m","rechts","22","","fixation","","","",""
"855","img/L120_180.png","70","image-keyboard-response","29","48002","0.0-6.0-1.11","FRKA","3","m","rechts","22","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","48354","0.0-6.0-0.12","FRKA","3","m","rechts","22","","fixation","","","",""
"694","img/0_60.png","74","image-keyboard-response","31","49049","0.0-6.0-1.12","FRKA","3","m","rechts","22","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","49451","0.0-6.0-0.13","FRKA","3","m","rechts","22","","fixation","","","",""
"580","img/30_300.png","70","image-keyboard-response","33","50032","0.0-6.0-1.13","FRKA","3","m","rechts","22","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","50534","0.0-6.0-0.14","FRKA","3","m","rechts","22","","fixation","","","",""
"1506","img/60_330.png","70","image-keyboard-response","35","52042","0.0-6.0-1.14","FRKA","3","m","rechts","22","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","52344","0.0-6.0-0.15","FRKA","3","m","rechts","22","","fixation","","","",""
"770","img/30_60.png","74","image-keyboard-response","37","53115","0.0-6.0-1.15","FRKA","3","m","rechts","22","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","53467","0.0-6.0-0.16","FRKA","3","m","rechts","22","","fixation","","","",""
"980","img/150_90.png","74","image-keyboard-response","39","54448","0.0-6.0-1.16","FRKA","3","m","rechts","22","","","self","f","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","54800","0.0-6.0-0.17","FRKA","3","m","rechts","22","","fixation","","","",""
"1466","img/90_300.png","70","image-keyboard-response","41","56267","0.0-6.0-1.17","FRKA","3","m","rechts","22","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","56669","0.0-6.0-0.18","FRKA","3","m","rechts","22","","fixation","","","",""
"965","img/120_330.png","70","image-keyboard-response","43","57635","0.0-6.0-1.18","FRKA","3","m","rechts","22","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","58137","0.0-6.0-0.19","FRKA","3","m","rechts","22","","fixation","","","",""
"1153","img/90_180.png","74","image-keyboard-response","45","59291","0.0-6.0-1.19","FRKA","3","m","rechts","22","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","59643","0.0-6.0-0.20","FRKA","3","m","rechts","22","","fixation","","","",""
"726","img/L90_180.png","70","image-keyboard-response","47","60371","0.0-6.0-1.20","FRKA","3","m","rechts","22","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","60823","0.0-6.0-0.21","FRKA","3","m","rechts","22","","fixation","","","",""
"1101","img/150_300.png","70","image-keyboard-response","49","61925","0.0-6.0-1.21","FRKA","3","m","rechts","22","","","self","j","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","62227","0.0-6.0-0.22","FRKA","3","m","rechts","22","","fixation","","","",""
"1093","img/90_120.png","70","image-keyboard-response","51","63321","0.0-6.0-1.22","FRKA","3","m","rechts","22","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","63673","0.0-6.0-0.23","FRKA","3","m","rechts","22","","fixation","","","",""
"1063","img/60_30.png","74","image-keyboard-response","53","64738","0.0-6.0-1.23","FRKA","3","m","rechts","22","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","65039","0.0-6.0-0.24","FRKA","3","m","rechts","22","","fixation","","","",""
"983","img/150_270.png","74","image-keyboard-response","55","66023","0.0-6.0-1.24","FRKA","3","m","rechts","22","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","56","66525","0.0-6.0-0.25","FRKA","3","m","rechts","22","","fixation","","","",""
"855","img/120_150.png","70","image-keyboard-response","57","67381","0.0-6.0-1.25","FRKA","3","m","rechts","22","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","67883","0.0-6.0-0.26","FRKA","3","m","rechts","22","","fixation","","","",""
"1001","img/L30_180.png","70","image-keyboard-response","59","68885","0.0-6.0-1.26","FRKA","3","m","rechts","22","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","60","69387","0.0-6.0-0.27","FRKA","3","m","rechts","22","","fixation","","","",""
"889","img/120_90.png","70","image-keyboard-response","61","70277","0.0-6.0-1.27","FRKA","3","m","rechts","22","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","62","70629","0.0-6.0-0.28","FRKA","3","m","rechts","22","","fixation","","","",""
"1073","img/60_90.png","74","image-keyboard-response","63","71703","0.0-6.0-1.28","FRKA","3","m","rechts","22","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","72204","0.0-6.0-0.29","FRKA","3","m","rechts","22","","fixation","","","",""
"797","img/90_150.png","70","image-keyboard-response","65","73003","0.0-6.0-1.29","FRKA","3","m","rechts","22","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","66","73355","0.0-6.0-0.30","FRKA","3","m","rechts","22","","fixation","","","",""
"723","img/0_210.png","70","image-keyboard-response","67","74080","0.0-6.0-1.30","FRKA","3","m","rechts","22","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","68","74381","0.0-6.0-0.31","FRKA","3","m","rechts","22","","fixation","","","",""
"819","img/150_240.png","74","image-keyboard-response","69","75202","0.0-6.0-1.31","FRKA","3","m","rechts","22","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","70","75604","0.0-6.0-0.32","FRKA","3","m","rechts","22","","fixation","","","",""
"1139","img/30_240.png","70","image-keyboard-response","71","76745","0.0-6.0-1.32","FRKA","3","m","rechts","22","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","72","77196","0.0-6.0-0.33","FRKA","3","m","rechts","22","","fixation","","","",""
"823","img/90_330.png","70","image-keyboard-response","73","78021","0.0-6.0-1.33","FRKA","3","m","rechts","22","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","74","78372","0.0-6.0-0.34","FRKA","3","m","rechts","22","","fixation","","","",""
"1071","img/90_30.png","74","image-keyboard-response","75","79444","0.0-6.0-1.34","FRKA","3","m","rechts","22","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","76","79846","0.0-6.0-0.35","FRKA","3","m","rechts","22","","fixation","","","",""
"616","img/0_300.png","70","image-keyboard-response","77","80463","0.0-6.0-1.35","FRKA","3","m","rechts","22","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","78","80815","0.0-6.0-0.36","FRKA","3","m","rechts","22","","fixation","","","",""
"946","img/90_240.png","74","image-keyboard-response","79","81762","0.0-6.0-1.36","FRKA","3","m","rechts","22","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","80","82264","0.0-6.0-0.37","FRKA","3","m","rechts","22","","fixation","","","",""
"830","img/L60_180.png","70","image-keyboard-response","81","83095","0.0-6.0-1.37","FRKA","3","m","rechts","22","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","82","83597","0.0-6.0-0.38","FRKA","3","m","rechts","22","","fixation","","","",""
"899","img/120_270.png","74","image-keyboard-response","83","84497","0.0-6.0-1.38","FRKA","3","m","rechts","22","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","84","84850","0.0-6.0-0.39","FRKA","3","m","rechts","22","","fixation","","","",""
"651","img/120_180.png","74","image-keyboard-response","85","85501","0.0-6.0-1.39","FRKA","3","m","rechts","22","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","86","85903","0.0-6.0-0.40","FRKA","3","m","rechts","22","","fixation","","","",""
"786","img/30_90.png","74","image-keyboard-response","87","86690","0.0-6.0-1.40","FRKA","3","m","rechts","22","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","88","87142","0.0-6.0-0.41","FRKA","3","m","rechts","22","","fixation","","","",""
"690","img/0_150.png","74","image-keyboard-response","89","87833","0.0-6.0-1.41","FRKA","3","m","rechts","22","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","90","88135","0.0-6.0-0.42","FRKA","3","m","rechts","22","","fixation","","","",""
"541","img/0_90.png","74","image-keyboard-response","91","88677","0.0-6.0-1.42","FRKA","3","m","rechts","22","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","92","89079","0.0-6.0-0.43","FRKA","3","m","rechts","22","","fixation","","","",""
"617","img/0_330.png","70","image-keyboard-response","93","89697","0.0-6.0-1.43","FRKA","3","m","rechts","22","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","94","90199","0.0-6.0-0.44","FRKA","3","m","rechts","22","","fixation","","","",""
"1410","img/90_60.png","74","image-keyboard-response","95","91610","0.0-6.0-1.44","FRKA","3","m","rechts","22","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","96","92012","0.0-6.0-0.45","FRKA","3","m","rechts","22","","fixation","","","",""
"816","img/30_180.png","74","image-keyboard-response","97","92829","0.0-6.0-1.45","FRKA","3","m","rechts","22","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","98","93130","0.0-6.0-0.46","FRKA","3","m","rechts","22","","fixation","","","",""
"549","img/0_30.png","74","image-keyboard-response","99","93680","0.0-6.0-1.46","FRKA","3","m","rechts","22","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","100","93982","0.0-6.0-0.47","FRKA","3","m","rechts","22","","fixation","","","",""
"689","img/30_270.png","70","image-keyboard-response","101","94672","0.0-6.0-1.47","FRKA","3","m","rechts","22","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","102","95074","0.0-6.0-0.48","FRKA","3","m","rechts","22","","fixation","","","",""
"729","img/L150_180.png","70","image-keyboard-response","103","95804","0.0-6.0-1.48","FRKA","3","m","rechts","22","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","104","96206","0.0-6.0-0.49","FRKA","3","m","rechts","22","","fixation","","","",""
"643","img/120_210.png","74","image-keyboard-response","105","96850","0.0-6.0-1.49","FRKA","3","m","rechts","22","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","106","97202","0.0-6.0-0.50","FRKA","3","m","rechts","22","","fixation","","","",""
"733","img/90_210.png","74","image-keyboard-response","107","97936","0.0-6.0-1.50","FRKA","3","m","rechts","22","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","108","98288","0.0-6.0-0.51","FRKA","3","m","rechts","22","","fixation","","","",""
"567","img/60_210.png","74","image-keyboard-response","109","98856","0.0-6.0-1.51","FRKA","3","m","rechts","22","","","self","j","60","true"
