"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"30944","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","32","html-keyboard-response","0","30956","0.0-0.0","FAHU","1","m","rechts","23","","","","","",""
"3606","","","survey-text","1","34565","0.0-1.0","FAHU","1","m","rechts","23","{""Q0"":""FAHU""}","","","","",""
"5035","","","survey-text","2","39602","0.0-2.0","FAHU","1","m","rechts","23","{""Q0"":""1""}","","","","",""
"20224","","","survey-multi-choice","3","59830","0.0-3.0","FAHU","1","m","rechts","23","{""Q0"":""m"",""Q1"":""rechts""}","","","","",""
"5861","","","survey-text","4","65692","0.0-4.0","FAHU","1","m","rechts","23","{""Q0"":""23""}","","","","",""
"382736","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","32","html-keyboard-response","5","448428","0.0-5.0","FAHU","1","m","rechts","23","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","449938","0.0-6.0-0.0","FAHU","1","m","rechts","23","","fixation","","","",""
"1299","img/60_150.png","70","image-keyboard-response","7","451240","0.0-6.0-1.0","FAHU","1","m","rechts","23","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","451594","0.0-6.0-0.1","FAHU","1","m","rechts","23","","fixation","","","",""
"836","img/120_210.png","74","image-keyboard-response","9","452431","0.0-6.0-1.1","FAHU","1","m","rechts","23","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","452883","0.0-6.0-0.2","FAHU","1","m","rechts","23","","fixation","","","",""
"927","img/150_300.png","74","image-keyboard-response","11","453810","0.0-6.0-1.2","FAHU","1","m","rechts","23","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","454264","0.0-6.0-0.3","FAHU","1","m","rechts","23","","fixation","","","",""
"1163","img/120_330.png","70","image-keyboard-response","13","455428","0.0-6.0-1.3","FAHU","1","m","rechts","23","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","455734","0.0-6.0-0.4","FAHU","1","m","rechts","23","","fixation","","","",""
"869","img/120_270.png","74","image-keyboard-response","15","456603","0.0-6.0-1.4","FAHU","1","m","rechts","23","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","457004","0.0-6.0-0.5","FAHU","1","m","rechts","23","","fixation","","","",""
"1516","img/30_90.png","70","image-keyboard-response","17","458521","0.0-6.0-1.5","FAHU","1","m","rechts","23","","","self","j","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","458925","0.0-6.0-0.6","FAHU","1","m","rechts","23","","fixation","","","",""
"898","img/30_120.png","70","image-keyboard-response","19","459825","0.0-6.0-1.6","FAHU","1","m","rechts","23","","","self","j","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","460329","0.0-6.0-0.7","FAHU","1","m","rechts","23","","fixation","","","",""
"1010","img/90_120.png","70","image-keyboard-response","21","461340","0.0-6.0-1.7","FAHU","1","m","rechts","23","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","461793","0.0-6.0-0.8","FAHU","1","m","rechts","23","","fixation","","","",""
"715","img/L120_180.png","70","image-keyboard-response","23","462509","0.0-6.0-1.8","FAHU","1","m","rechts","23","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","462865","0.0-6.0-0.9","FAHU","1","m","rechts","23","","fixation","","","",""
"1269","img/60_270.png","70","image-keyboard-response","25","464134","0.0-6.0-1.9","FAHU","1","m","rechts","23","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","464537","0.0-6.0-0.10","FAHU","1","m","rechts","23","","fixation","","","",""
