"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"941","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","72","html-keyboard-response","0","943","0.0-0.0","HEFI","4","f","rechts","55","","","","","",""
"13549","","","survey-text","1","14495","0.0-1.0","HEFI","4","f","rechts","55","{""Q0"":""HEFI""}","","","","",""
"2076","","","survey-text","2","16571","0.0-2.0","HEFI","4","f","rechts","55","{""Q0"":""4""}","","","","",""
"4609","","","survey-multi-choice","3","21184","0.0-3.0","HEFI","4","f","rechts","55","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"2520","","","survey-text","4","23705","0.0-4.0","HEFI","4","f","rechts","55","{""Q0"":""55""}","","","","",""
"24985","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","16","html-keyboard-response","5","48692","0.0-5.0","HEFI","4","f","rechts","55","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","50195","0.0-6.0-0.0","HEFI","4","f","rechts","55","","fixation","","","",""
"100","img/30_90.png","74","image-keyboard-response","7","50297","0.0-6.0-1.0","HEFI","4","f","rechts","55","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","50698","0.0-6.0-0.1","HEFI","4","f","rechts","55","","fixation","","","",""
"698","img/30_240.png","70","image-keyboard-response","9","51398","0.0-6.0-1.1","HEFI","4","f","rechts","55","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","51899","0.0-6.0-0.2","HEFI","4","f","rechts","55","","fixation","","","",""
"637","img/60_180.png","74","image-keyboard-response","11","52538","0.0-6.0-1.2","HEFI","4","f","rechts","55","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","52989","0.0-6.0-0.3","HEFI","4","f","rechts","55","","fixation","","","",""
"780","img/0_210.png","70","image-keyboard-response","13","53771","0.0-6.0-1.3","HEFI","4","f","rechts","55","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","54072","0.0-6.0-0.4","HEFI","4","f","rechts","55","","fixation","","","",""
"730","img/30_180.png","74","image-keyboard-response","15","54804","0.0-6.0-1.4","HEFI","4","f","rechts","55","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","55305","0.0-6.0-0.5","HEFI","4","f","rechts","55","","fixation","","","",""
"1119","img/L90_180.png","70","image-keyboard-response","17","56426","0.0-6.0-1.5","HEFI","4","f","rechts","55","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","56927","0.0-6.0-0.6","HEFI","4","f","rechts","55","","fixation","","","",""
"971","img/150_180.png","74","image-keyboard-response","19","57899","0.0-6.0-1.6","HEFI","4","f","rechts","55","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","58301","0.0-6.0-0.7","HEFI","4","f","rechts","55","","fixation","","","",""
"1302","img/60_150.png","70","image-keyboard-response","21","59605","0.0-6.0-1.7","HEFI","4","f","rechts","55","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","60005","0.0-6.0-0.8","HEFI","4","f","rechts","55","","fixation","","","",""
"1459","img/60_30.png","70","image-keyboard-response","23","61465","0.0-6.0-1.8","HEFI","4","f","rechts","55","","","self","j","60","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","61767","0.0-6.0-0.9","HEFI","4","f","rechts","55","","fixation","","","",""
"732","img/L150_180.png","74","image-keyboard-response","25","62500","0.0-6.0-1.9","HEFI","4","f","rechts","55","","","self","f","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","63002","0.0-6.0-0.10","HEFI","4","f","rechts","55","","fixation","","","",""
"720","img/0_120.png","74","image-keyboard-response","27","63723","0.0-6.0-1.10","HEFI","4","f","rechts","55","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","64225","0.0-6.0-0.11","HEFI","4","f","rechts","55","","fixation","","","",""
"1312","img/30_300.png","70","image-keyboard-response","29","65538","0.0-6.0-1.11","HEFI","4","f","rechts","55","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","65840","0.0-6.0-0.12","HEFI","4","f","rechts","55","","fixation","","","",""
"982","img/120_150.png","74","image-keyboard-response","31","66823","0.0-6.0-1.12","HEFI","4","f","rechts","55","","","self","f","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","67175","0.0-6.0-0.13","HEFI","4","f","rechts","55","","fixation","","","",""
"1131","img/150_90.png","74","image-keyboard-response","33","68307","0.0-6.0-1.13","HEFI","4","f","rechts","55","","","self","f","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","68659","0.0-6.0-0.14","HEFI","4","f","rechts","55","","fixation","","","",""
"1270","img/90_300.png","70","image-keyboard-response","35","69930","0.0-6.0-1.14","HEFI","4","f","rechts","55","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","70432","0.0-6.0-0.15","HEFI","4","f","rechts","55","","fixation","","","",""
"1257","img/60_270.png","70","image-keyboard-response","37","71690","0.0-6.0-1.15","HEFI","4","f","rechts","55","","","self","f","60","true"
