"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"4525","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","70","html-keyboard-response","0","4531","0.0-0.0","JOSC","1","m","rechts","24","","","","","",""
"18468","","","survey-text","1","23000","0.0-1.0","JOSC","1","m","rechts","24","{""Q0"":""JOSC""}","","","","",""
"2136","","","survey-text","2","25137","0.0-2.0","JOSC","1","m","rechts","24","{""Q0"":""1""}","","","","",""
"5209","","","survey-multi-choice","3","30348","0.0-3.0","JOSC","1","m","rechts","24","{""Q0"":""m"",""Q1"":""rechts""}","","","","",""
"4591","","","survey-text","4","34940","0.0-4.0","JOSC","1","m","rechts","24","{""Q0"":""24""}","","","","",""
"225829","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","260771","0.0-5.0","JOSC","1","m","rechts","24","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","262075","0.0-6.0-0.0","JOSC","1","m","rechts","24","","fixation","","","",""
"1826","img/120_270.png","74","image-keyboard-response","7","263903","0.0-6.0-1.0","JOSC","1","m","rechts","24","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","264353","0.0-6.0-0.1","JOSC","1","m","rechts","24","","fixation","","","",""
"2011","img/60_90.png","74","image-keyboard-response","9","266366","0.0-6.0-1.1","JOSC","1","m","rechts","24","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","266867","0.0-6.0-0.2","JOSC","1","m","rechts","24","","fixation","","","",""
"1087","img/0_30.png","74","image-keyboard-response","11","267956","0.0-6.0-1.2","JOSC","1","m","rechts","24","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","268358","0.0-6.0-0.3","JOSC","1","m","rechts","24","","fixation","","","",""
"2469","img/L150_180.png","70","image-keyboard-response","13","270829","0.0-6.0-1.3","JOSC","1","m","rechts","24","","","object","j","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","271131","0.0-6.0-0.4","JOSC","1","m","rechts","24","","fixation","","","",""
"1992","img/150_180.png","70","image-keyboard-response","15","273125","0.0-6.0-1.4","JOSC","1","m","rechts","24","","","object","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","273476","0.0-6.0-0.5","JOSC","1","m","rechts","24","","fixation","","","",""
"1044","img/0_330.png","70","image-keyboard-response","17","274522","0.0-6.0-1.5","JOSC","1","m","rechts","24","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","275023","0.0-6.0-0.6","JOSC","1","m","rechts","24","","fixation","","","",""
"1181","img/120_150.png","74","image-keyboard-response","19","276205","0.0-6.0-1.6","JOSC","1","m","rechts","24","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","276607","0.0-6.0-0.7","JOSC","1","m","rechts","24","","fixation","","","",""
"954","img/0_300.png","70","image-keyboard-response","21","277562","0.0-6.0-1.7","JOSC","1","m","rechts","24","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","278064","0.0-6.0-0.8","JOSC","1","m","rechts","24","","fixation","","","",""
"1066","img/90_240.png","74","image-keyboard-response","23","279131","0.0-6.0-1.8","JOSC","1","m","rechts","24","","","object","f","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","279483","0.0-6.0-0.9","JOSC","1","m","rechts","24","","fixation","","","",""
"1725","img/30_180.png","70","image-keyboard-response","25","281210","0.0-6.0-1.9","JOSC","1","m","rechts","24","","","object","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","281711","0.0-6.0-0.10","JOSC","1","m","rechts","24","","fixation","","","",""
"1332","img/90_60.png","70","image-keyboard-response","27","283045","0.0-6.0-1.10","JOSC","1","m","rechts","24","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","283446","0.0-6.0-0.11","JOSC","1","m","rechts","24","","fixation","","","",""
"1228","img/0_210.png","70","image-keyboard-response","29","284675","0.0-6.0-1.11","JOSC","1","m","rechts","24","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","284977","0.0-6.0-0.12","JOSC","1","m","rechts","24","","fixation","","","",""
"1403","img/60_30.png","70","image-keyboard-response","31","286381","0.0-6.0-1.12","JOSC","1","m","rechts","24","","","object","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","286883","0.0-6.0-0.13","JOSC","1","m","rechts","24","","fixation","","","",""
"1022","img/120_30.png","70","image-keyboard-response","33","287906","0.0-6.0-1.13","JOSC","1","m","rechts","24","","","object","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","288308","0.0-6.0-0.14","JOSC","1","m","rechts","24","","fixation","","","",""
"912","img/0_270.png","70","image-keyboard-response","35","289221","0.0-6.0-1.14","JOSC","1","m","rechts","24","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","289573","0.0-6.0-0.15","JOSC","1","m","rechts","24","","fixation","","","",""
"1825","img/30_300.png","70","image-keyboard-response","37","291399","0.0-6.0-1.15","JOSC","1","m","rechts","24","","","object","f","30","true"
