"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1387","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","71","html-keyboard-response","0","1392","0.0-0.0","JOSC","2","m","rechts","24","","","","","",""
"6109","","","survey-text","1","7503","0.0-1.0","JOSC","2","m","rechts","24","{""Q0"":""JOSC""}","","","","",""
"5415","","","survey-text","2","12918","0.0-2.0","JOSC","2","m","rechts","24","{""Q0"":""2""}","","","","",""
"4511","","","survey-multi-choice","3","17432","0.0-3.0","JOSC","2","m","rechts","24","{""Q0"":""m"",""Q1"":""rechts""}","","","","",""
"3055","","","survey-text","4","20487","0.0-4.0","JOSC","2","m","rechts","24","{""Q0"":""24""}","","","","",""
"222221","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","242709","0.0-5.0","JOSC","2","m","rechts","24","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","244213","0.0-6.0-0.0","JOSC","2","m","rechts","24","","fixation","","","",""
"1528","img/30_60.png","74","image-keyboard-response","7","245744","0.0-6.0-1.0","JOSC","2","m","rechts","24","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","246196","0.0-6.0-0.1","JOSC","2","m","rechts","24","","fixation","","","",""
"1267","img/90_30.png","74","image-keyboard-response","9","247464","0.0-6.0-1.1","JOSC","2","m","rechts","24","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","247815","0.0-6.0-0.2","JOSC","2","m","rechts","24","","fixation","","","",""
"1408","img/120_30.png","74","image-keyboard-response","11","249226","0.0-6.0-1.2","JOSC","2","m","rechts","24","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","249676","0.0-6.0-0.3","JOSC","2","m","rechts","24","","fixation","","","",""
"1095","img/30_120.png","74","image-keyboard-response","13","250773","0.0-6.0-1.3","JOSC","2","m","rechts","24","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","251274","0.0-6.0-0.4","JOSC","2","m","rechts","24","","fixation","","","",""
"904","img/L120_180.png","70","image-keyboard-response","15","252179","0.0-6.0-1.4","JOSC","2","m","rechts","24","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","252631","0.0-6.0-0.5","JOSC","2","m","rechts","24","","fixation","","","",""
"883","img/L60_180.png","70","image-keyboard-response","17","253515","0.0-6.0-1.5","JOSC","2","m","rechts","24","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","253917","0.0-6.0-0.6","JOSC","2","m","rechts","24","","fixation","","","",""
"816","img/120_90.png","70","image-keyboard-response","19","254735","0.0-6.0-1.6","JOSC","2","m","rechts","24","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","255186","0.0-6.0-0.7","JOSC","2","m","rechts","24","","fixation","","","",""
"1070","img/150_180.png","74","image-keyboard-response","21","256257","0.0-6.0-1.7","JOSC","2","m","rechts","24","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","256608","0.0-6.0-0.8","JOSC","2","m","rechts","24","","fixation","","","",""
"1013","img/0_120.png","74","image-keyboard-response","23","257623","0.0-6.0-1.8","JOSC","2","m","rechts","24","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","258124","0.0-6.0-0.9","JOSC","2","m","rechts","24","","fixation","","","",""
"767","img/0_60.png","74","image-keyboard-response","25","258893","0.0-6.0-1.9","JOSC","2","m","rechts","24","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","259295","0.0-6.0-0.10","JOSC","2","m","rechts","24","","fixation","","","",""
"802","img/0_150.png","74","image-keyboard-response","27","260098","0.0-6.0-1.10","JOSC","2","m","rechts","24","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","260449","0.0-6.0-0.11","JOSC","2","m","rechts","24","","fixation","","","",""
"1190","img/30_90.png","74","image-keyboard-response","29","261642","0.0-6.0-1.11","JOSC","2","m","rechts","24","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","261994","0.0-6.0-0.12","JOSC","2","m","rechts","24","","fixation","","","",""
"1132","img/150_300.png","70","image-keyboard-response","31","263128","0.0-6.0-1.12","JOSC","2","m","rechts","24","","","self","j","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","263429","0.0-6.0-0.13","JOSC","2","m","rechts","24","","fixation","","","",""
"1256","img/L150_180.png","70","image-keyboard-response","33","264687","0.0-6.0-1.13","JOSC","2","m","rechts","24","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","264988","0.0-6.0-0.14","JOSC","2","m","rechts","24","","fixation","","","",""
