"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1180","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","72","html-keyboard-response","0","1184","0.0-0.0","LABU","4","f","rechts","24","","","","","",""
"3004","","","survey-text","1","4190","0.0-1.0","LABU","4","f","rechts","24","{""Q0"":""LABU""}","","","","",""
"2756","","","survey-text","2","6946","0.0-2.0","LABU","4","f","rechts","24","{""Q0"":""4""}","","","","",""
"3238","","","survey-multi-choice","3","10186","0.0-3.0","LABU","4","f","rechts","24","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"2421","","","survey-text","4","12608","0.0-4.0","LABU","4","f","rechts","24","{""Q0"":""24""}","","","","",""
"59475","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","72084","0.0-5.0","LABU","4","f","rechts","24","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","73490","0.0-6.0-0.0","LABU","4","f","rechts","24","","fixation","","","",""
"983","img/90_300.png","74","image-keyboard-response","7","74474","0.0-6.0-1.0","LABU","4","f","rechts","24","","","object","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","74826","0.0-6.0-0.1","LABU","4","f","rechts","24","","fixation","","","",""
"723","img/0_30.png","74","image-keyboard-response","9","75551","0.0-6.0-1.1","LABU","4","f","rechts","24","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","75952","0.0-6.0-0.2","LABU","4","f","rechts","24","","fixation","","","",""
"758","img/30_240.png","70","image-keyboard-response","11","76713","0.0-6.0-1.2","LABU","4","f","rechts","24","","","object","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","77115","0.0-6.0-0.3","LABU","4","f","rechts","24","","fixation","","","",""
"819","img/L60_180.png","74","image-keyboard-response","13","77936","0.0-6.0-1.3","LABU","4","f","rechts","24","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","78386","0.0-6.0-0.4","LABU","4","f","rechts","24","","fixation","","","",""
"703","img/30_270.png","70","image-keyboard-response","15","79090","0.0-6.0-1.4","LABU","4","f","rechts","24","","","object","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","79592","0.0-6.0-0.5","LABU","4","f","rechts","24","","fixation","","","",""
"685","img/90_120.png","74","image-keyboard-response","17","80279","0.0-6.0-1.5","LABU","4","f","rechts","24","","","object","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","80781","0.0-6.0-0.6","LABU","4","f","rechts","24","","fixation","","","",""
"654","img/0_120.png","74","image-keyboard-response","19","81436","0.0-6.0-1.6","LABU","4","f","rechts","24","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","81938","0.0-6.0-0.7","LABU","4","f","rechts","24","","fixation","","","",""
"828","img/90_60.png","70","image-keyboard-response","21","82767","0.0-6.0-1.7","LABU","4","f","rechts","24","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","83218","0.0-6.0-0.8","LABU","4","f","rechts","24","","fixation","","","",""
"690","img/120_330.png","74","image-keyboard-response","23","83910","0.0-6.0-1.8","LABU","4","f","rechts","24","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","84311","0.0-6.0-0.9","LABU","4","f","rechts","24","","fixation","","","",""
"906","img/120_180.png","70","image-keyboard-response","25","85219","0.0-6.0-1.9","LABU","4","f","rechts","24","","","object","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","85570","0.0-6.0-0.10","LABU","4","f","rechts","24","","fixation","","","",""
"784","img/L150_180.png","74","image-keyboard-response","27","86355","0.0-6.0-1.10","LABU","4","f","rechts","24","","","object","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","86807","0.0-6.0-0.11","LABU","4","f","rechts","24","","fixation","","","",""
"683","img/0_90.png","74","image-keyboard-response","29","87491","0.0-6.0-1.11","LABU","4","f","rechts","24","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","87793","0.0-6.0-0.12","LABU","4","f","rechts","24","","fixation","","","",""
"773","img/120_150.png","74","image-keyboard-response","31","88567","0.0-6.0-1.12","LABU","4","f","rechts","24","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","88969","0.0-6.0-0.13","LABU","4","f","rechts","24","","fixation","","","",""
"721","img/90_210.png","70","image-keyboard-response","33","89691","0.0-6.0-1.13","LABU","4","f","rechts","24","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","90093","0.0-6.0-0.14","LABU","4","f","rechts","24","","fixation","","","",""
"801","img/90_30.png","70","image-keyboard-response","35","90895","0.0-6.0-1.14","LABU","4","f","rechts","24","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","91397","0.0-6.0-0.15","LABU","4","f","rechts","24","","fixation","","","",""
"709","img/60_330.png","74","image-keyboard-response","37","92107","0.0-6.0-1.15","LABU","4","f","rechts","24","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","92409","0.0-6.0-0.16","LABU","4","f","rechts","24","","fixation","","","",""
"657","img/0_60.png","74","image-keyboard-response","39","93067","0.0-6.0-1.16","LABU","4","f","rechts","24","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","93419","0.0-6.0-0.17","LABU","4","f","rechts","24","","fixation","","","",""
"690","img/60_30.png","70","image-keyboard-response","41","94109","0.0-6.0-1.17","LABU","4","f","rechts","24","","","object","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","94461","0.0-6.0-0.18","LABU","4","f","rechts","24","","fixation","","","",""
"997","img/30_300.png","70","image-keyboard-response","43","95459","0.0-6.0-1.18","LABU","4","f","rechts","24","","","object","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","95911","0.0-6.0-0.19","LABU","4","f","rechts","24","","fixation","","","",""
"991","img/30_90.png","74","image-keyboard-response","45","96903","0.0-6.0-1.19","LABU","4","f","rechts","24","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","97405","0.0-6.0-0.20","LABU","4","f","rechts","24","","fixation","","","",""
"840","img/60_270.png","70","image-keyboard-response","47","98246","0.0-6.0-1.20","LABU","4","f","rechts","24","","","object","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","98597","0.0-6.0-0.21","LABU","4","f","rechts","24","","fixation","","","",""
"920","img/120_90.png","74","image-keyboard-response","49","99518","0.0-6.0-1.21","LABU","4","f","rechts","24","","","object","f","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","99820","0.0-6.0-0.22","LABU","4","f","rechts","24","","fixation","","","",""
"756","img/L30_180.png","74","image-keyboard-response","51","100577","0.0-6.0-1.22","LABU","4","f","rechts","24","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","100979","0.0-6.0-0.23","LABU","4","f","rechts","24","","fixation","","","",""
"561","img/30_120.png","74","image-keyboard-response","53","101541","0.0-6.0-1.23","LABU","4","f","rechts","24","","","object","j","30","true"
