"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"4185","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","70","html-keyboard-response","0","4188","0.0-0.0","LABU","1","f","rechts","24","","","","","",""
"4089","","","survey-text","1","8278","0.0-1.0","LABU","1","f","rechts","24","{""Q0"":""LABU""}","","","","",""
"9336","","","survey-text","2","17615","0.0-2.0","LABU","1","f","rechts","24","{""Q0"":""1""}","","","","",""
"29028","","","survey-multi-choice","3","46646","0.0-3.0","LABU","1","f","rechts","24","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"3407","","","survey-text","4","50055","0.0-4.0","LABU","1","f","rechts","24","{""Q0"":""24""}","","","","",""
"8407","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","58464","0.0-5.0","LABU","1","f","rechts","24","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","59817","0.0-6.0-0.0","LABU","1","f","rechts","24","","fixation","","","",""
"952","img/150_240.png","74","image-keyboard-response","7","60771","0.0-6.0-1.0","LABU","1","f","rechts","24","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","61173","0.0-6.0-0.1","LABU","1","f","rechts","24","","fixation","","","",""
"888","img/L90_180.png","70","image-keyboard-response","9","62062","0.0-6.0-1.1","LABU","1","f","rechts","24","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","62564","0.0-6.0-0.2","LABU","1","f","rechts","24","","fixation","","","",""
"786","img/30_90.png","70","image-keyboard-response","11","63351","0.0-6.0-1.2","LABU","1","f","rechts","24","","","self","j","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","63653","0.0-6.0-0.3","LABU","1","f","rechts","24","","fixation","","","",""
"1110","img/90_300.png","70","image-keyboard-response","13","64764","0.0-6.0-1.3","LABU","1","f","rechts","24","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","65215","0.0-6.0-0.4","LABU","1","f","rechts","24","","fixation","","","",""
"818","img/0_210.png","70","image-keyboard-response","15","66036","0.0-6.0-1.4","LABU","1","f","rechts","24","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","66437","0.0-6.0-0.5","LABU","1","f","rechts","24","","fixation","","","",""
"1196","img/60_90.png","74","image-keyboard-response","17","67635","0.0-6.0-1.5","LABU","1","f","rechts","24","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","67986","0.0-6.0-0.6","LABU","1","f","rechts","24","","fixation","","","",""
"879","img/90_60.png","74","image-keyboard-response","19","68867","0.0-6.0-1.6","LABU","1","f","rechts","24","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","69218","0.0-6.0-0.7","LABU","1","f","rechts","24","","fixation","","","",""
"1259","img/150_120.png","70","image-keyboard-response","21","70479","0.0-6.0-1.7","LABU","1","f","rechts","24","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","70930","0.0-6.0-0.8","LABU","1","f","rechts","24","","fixation","","","",""
"1178","img/90_210.png","74","image-keyboard-response","23","72110","0.0-6.0-1.8","LABU","1","f","rechts","24","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","72511","0.0-6.0-0.9","LABU","1","f","rechts","24","","fixation","","","",""
"1354","img/30_120.png","70","image-keyboard-response","25","73867","0.0-6.0-1.9","LABU","1","f","rechts","24","","","self","j","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","74368","0.0-6.0-0.10","LABU","1","f","rechts","24","","fixation","","","",""
"900","img/0_30.png","74","image-keyboard-response","27","75270","0.0-6.0-1.10","LABU","1","f","rechts","24","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","75721","0.0-6.0-0.11","LABU","1","f","rechts","24","","fixation","","","",""
"1129","img/60_30.png","74","image-keyboard-response","29","76852","0.0-6.0-1.11","LABU","1","f","rechts","24","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","77254","0.0-6.0-0.12","LABU","1","f","rechts","24","","fixation","","","",""
"715","img/0_120.png","74","image-keyboard-response","31","77971","0.0-6.0-1.12","LABU","1","f","rechts","24","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","78322","0.0-6.0-0.13","LABU","1","f","rechts","24","","fixation","","","",""
"1239","img/120_30.png","70","image-keyboard-response","33","79562","0.0-6.0-1.13","LABU","1","f","rechts","24","","","self","j","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","79914","0.0-6.0-0.14","LABU","1","f","rechts","24","","fixation","","","",""
"1102","img/120_330.png","70","image-keyboard-response","35","81017","0.0-6.0-1.14","LABU","1","f","rechts","24","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","81319","0.0-6.0-0.15","LABU","1","f","rechts","24","","fixation","","","",""
"1016","img/L60_180.png","70","image-keyboard-response","37","82336","0.0-6.0-1.15","LABU","1","f","rechts","24","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","82688","0.0-6.0-0.16","LABU","1","f","rechts","24","","fixation","","","",""
"857","img/0_90.png","74","image-keyboard-response","39","83546","0.0-6.0-1.16","LABU","1","f","rechts","24","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","83998","0.0-6.0-0.17","LABU","1","f","rechts","24","","fixation","","","",""
"1249","img/90_180.png","74","image-keyboard-response","41","85248","0.0-6.0-1.17","LABU","1","f","rechts","24","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","85700","0.0-6.0-0.18","LABU","1","f","rechts","24","","fixation","","","",""
"786","img/120_210.png","74","image-keyboard-response","43","86487","0.0-6.0-1.18","LABU","1","f","rechts","24","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","86889","0.0-6.0-0.19","LABU","1","f","rechts","24","","fixation","","","",""
"872","img/0_270.png","70","image-keyboard-response","45","87762","0.0-6.0-1.19","LABU","1","f","rechts","24","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","88264","0.0-6.0-0.20","LABU","1","f","rechts","24","","fixation","","","",""
"742","img/0_240.png","70","image-keyboard-response","47","89007","0.0-6.0-1.20","LABU","1","f","rechts","24","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","89459","0.0-6.0-0.21","LABU","1","f","rechts","24","","fixation","","","",""
