"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"3806","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","74","html-keyboard-response","0","3808","0.0-0.0","LAJU","1","f","rechts","24","","","","","",""
"3177","","","survey-text","1","6986","0.0-1.0","LAJU","1","f","rechts","24","{""Q0"":""LAJU""}","","","","",""
"951","","","survey-text","2","7938","0.0-2.0","LAJU","1","f","rechts","24","{""Q0"":""1""}","","","","",""
"2255","","","survey-multi-choice","3","10195","0.0-3.0","LAJU","1","f","rechts","24","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"1214","","","survey-text","4","11410","0.0-4.0","LAJU","1","f","rechts","24","{""Q0"":""24""}","","","","",""
"96550","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","107962","0.0-5.0","LAJU","1","f","rechts","24","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","109316","0.0-6.0-0.0","LAJU","1","f","rechts","24","","fixation","","","",""
"2845","img/60_30.png","74","image-keyboard-response","7","112162","0.0-6.0-1.0","LAJU","1","f","rechts","24","","","object","f","60","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","112564","0.0-6.0-0.1","LAJU","1","f","rechts","24","","fixation","","","",""
"null","img/150_270.png","null","image-keyboard-response","9","115567","0.0-6.0-1.1","LAJU","1","f","rechts","24","","","object","j","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","115869","0.0-6.0-0.2","LAJU","1","f","rechts","24","","fixation","","","",""
"1364","img/0_330.png","70","image-keyboard-response","11","117235","0.0-6.0-1.2","LAJU","1","f","rechts","24","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","117586","0.0-6.0-0.3","LAJU","1","f","rechts","24","","fixation","","","",""
"1248","img/90_300.png","74","image-keyboard-response","13","118835","0.0-6.0-1.3","LAJU","1","f","rechts","24","","","object","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","119137","0.0-6.0-0.4","LAJU","1","f","rechts","24","","fixation","","","",""
"1078","img/150_240.png","74","image-keyboard-response","15","120216","0.0-6.0-1.4","LAJU","1","f","rechts","24","","","object","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","120718","0.0-6.0-0.5","LAJU","1","f","rechts","24","","fixation","","","",""
"1348","img/120_150.png","70","image-keyboard-response","17","122067","0.0-6.0-1.5","LAJU","1","f","rechts","24","","","object","j","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","122419","0.0-6.0-0.6","LAJU","1","f","rechts","24","","fixation","","","",""
"2765","img/30_270.png","70","image-keyboard-response","19","125185","0.0-6.0-1.6","LAJU","1","f","rechts","24","","","object","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","125587","0.0-6.0-0.7","LAJU","1","f","rechts","24","","fixation","","","",""
"null","img/L150_180.png","null","image-keyboard-response","21","128590","0.0-6.0-1.7","LAJU","1","f","rechts","24","","","object","j","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","128891","0.0-6.0-0.8","LAJU","1","f","rechts","24","","fixation","","","",""
"null","img/60_270.png","null","image-keyboard-response","23","131894","0.0-6.0-1.8","LAJU","1","f","rechts","24","","","object","f","60","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","132296","0.0-6.0-0.9","LAJU","1","f","rechts","24","","fixation","","","",""
"2308","img/90_120.png","70","image-keyboard-response","25","134605","0.0-6.0-1.9","LAJU","1","f","rechts","24","","","object","j","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","134957","0.0-6.0-0.10","LAJU","1","f","rechts","24","","fixation","","","",""
"null","img/30_60.png","null","image-keyboard-response","27","137960","0.0-6.0-1.10","LAJU","1","f","rechts","24","","","object","j","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","138411","0.0-6.0-0.11","LAJU","1","f","rechts","24","","fixation","","","",""
"null","img/0_90.png","null","image-keyboard-response","29","141414","0.0-6.0-1.11","LAJU","1","f","rechts","24","","","object","j","0","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","141916","0.0-6.0-0.12","LAJU","1","f","rechts","24","","fixation","","","",""
"null","img/90_240.png","null","image-keyboard-response","31","144919","0.0-6.0-1.12","LAJU","1","f","rechts","24","","","object","f","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","145271","0.0-6.0-0.13","LAJU","1","f","rechts","24","","fixation","","","",""
"1725","img/60_210.png","70","image-keyboard-response","33","146997","0.0-6.0-1.13","LAJU","1","f","rechts","24","","","object","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","147298","0.0-6.0-0.14","LAJU","1","f","rechts","24","","fixation","","","",""
"1527","img/60_180.png","70","image-keyboard-response","35","148825","0.0-6.0-1.14","LAJU","1","f","rechts","24","","","object","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","149327","0.0-6.0-0.15","LAJU","1","f","rechts","24","","fixation","","","",""
"2630","img/90_150.png","70","image-keyboard-response","37","151958","0.0-6.0-1.15","LAJU","1","f","rechts","24","","","object","j","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","152410","0.0-6.0-0.16","LAJU","1","f","rechts","24","","fixation","","","",""
"null","img/60_330.png","null","image-keyboard-response","39","155412","0.0-6.0-1.16","LAJU","1","f","rechts","24","","","object","j","60","false"
