"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1461","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","72","html-keyboard-response","0","1465","0.0-0.0","LAJU","1","f","rechts","24","","","","","",""
"2797","","","survey-text","1","4264","0.0-1.0","LAJU","1","f","rechts","24","{""Q0"":""LAJU""}","","","","",""
"1552","","","survey-text","2","5818","0.0-2.0","LAJU","1","f","rechts","24","{""Q0"":""1""}","","","","",""
"4703","","","survey-multi-choice","3","10527","0.0-3.0","LAJU","1","f","rechts","24","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"2487","","","survey-text","4","13016","0.0-4.0","LAJU","1","f","rechts","24","{""Q0"":""24""}","","","","",""
"130739","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","143757","0.0-5.0","LAJU","1","f","rechts","24","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","145159","0.0-6.0-0.0","LAJU","1","f","rechts","24","","fixation","","","",""
"2517","img/120_270.png","74","image-keyboard-response","7","147678","0.0-6.0-1.0","LAJU","1","f","rechts","24","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","148130","0.0-6.0-0.1","LAJU","1","f","rechts","24","","fixation","","","",""
"1737","img/30_180.png","74","image-keyboard-response","9","149868","0.0-6.0-1.1","LAJU","1","f","rechts","24","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","150270","0.0-6.0-0.2","LAJU","1","f","rechts","24","","fixation","","","",""
"1644","img/L150_180.png","70","image-keyboard-response","11","151915","0.0-6.0-1.2","LAJU","1","f","rechts","24","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","152367","0.0-6.0-0.3","LAJU","1","f","rechts","24","","fixation","","","",""
"1263","img/90_180.png","74","image-keyboard-response","13","153630","0.0-6.0-1.3","LAJU","1","f","rechts","24","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","153931","0.0-6.0-0.4","LAJU","1","f","rechts","24","","fixation","","","",""
"2149","img/120_330.png","74","image-keyboard-response","15","156081","0.0-6.0-1.4","LAJU","1","f","rechts","24","","","self","f","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","156483","0.0-6.0-0.5","LAJU","1","f","rechts","24","","fixation","","","",""
