"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1376","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","71","html-keyboard-response","0","1379","0.0-0.0","LIGR","3","f","rechts","24","","","","","",""
"2251","","","survey-text","1","3632","0.0-1.0","LIGR","3","f","rechts","24","{""Q0"":""LIGR""}","","","","",""
"860","","","survey-text","2","4492","0.0-2.0","LIGR","3","f","rechts","24","{""Q0"":""3""}","","","","",""
"2671","","","survey-multi-choice","3","7165","0.0-3.0","LIGR","3","f","rechts","24","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"1902","","","survey-text","4","9068","0.0-4.0","LIGR","3","f","rechts","24","{""Q0"":""24""}","","","","",""
"32440","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","32","html-keyboard-response","5","41509","0.0-5.0","LIGR","3","f","rechts","24","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","42814","0.0-6.0-0.0","LIGR","3","f","rechts","24","","fixation","","","",""
"1450","img/L30_180.png","74","image-keyboard-response","7","44265","0.0-6.0-1.0","LIGR","3","f","rechts","24","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","44717","0.0-6.0-0.1","LIGR","3","f","rechts","24","","fixation","","","",""
"1148","img/150_270.png","74","image-keyboard-response","9","45865","0.0-6.0-1.1","LIGR","3","f","rechts","24","","","object","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","46317","0.0-6.0-0.2","LIGR","3","f","rechts","24","","fixation","","","",""
"1536","img/150_180.png","74","image-keyboard-response","11","47854","0.0-6.0-1.2","LIGR","3","f","rechts","24","","","object","f","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","48255","0.0-6.0-0.3","LIGR","3","f","rechts","24","","fixation","","","",""
"781","img/0_150.png","74","image-keyboard-response","13","49038","0.0-6.0-1.3","LIGR","3","f","rechts","24","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","49489","0.0-6.0-0.4","LIGR","3","f","rechts","24","","fixation","","","",""
"1137","img/150_60.png","70","image-keyboard-response","15","50628","0.0-6.0-1.4","LIGR","3","f","rechts","24","","","object","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","51029","0.0-6.0-0.5","LIGR","3","f","rechts","24","","fixation","","","",""
"793","img/90_60.png","70","image-keyboard-response","17","51824","0.0-6.0-1.5","LIGR","3","f","rechts","24","","","object","f","90","true"
