"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"2538","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","71","html-keyboard-response","0","2541","0.0-0.0","MAGA","3","f","rechts","24","","","","","",""
"2806","","","survey-text","1","5348","0.0-1.0","MAGA","3","f","rechts","24","{""Q0"":""MAGA""}","","","","",""
"1883","","","survey-text","2","7232","0.0-2.0","MAGA","3","f","rechts","24","{""Q0"":""3""}","","","","",""
"2846","","","survey-multi-choice","3","10080","0.0-3.0","MAGA","3","f","rechts","24","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"1875","","","survey-text","4","11956","0.0-4.0","MAGA","3","f","rechts","24","{""Q0"":""24""}","","","","",""
"25376","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","37334","0.0-5.0","MAGA","3","f","rechts","24","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","38837","0.0-6.0-0.0","MAGA","3","f","rechts","24","","fixation","","","",""
"1316","img/60_150.png","74","image-keyboard-response","7","40156","0.0-6.0-1.0","MAGA","3","f","rechts","24","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","40458","0.0-6.0-0.1","MAGA","3","f","rechts","24","","fixation","","","",""
"919","img/120_180.png","70","image-keyboard-response","9","41378","0.0-6.0-1.1","MAGA","3","f","rechts","24","","","object","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","41879","0.0-6.0-0.2","MAGA","3","f","rechts","24","","fixation","","","",""
"690","img/0_330.png","70","image-keyboard-response","11","42570","0.0-6.0-1.2","MAGA","3","f","rechts","24","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","42972","0.0-6.0-0.3","MAGA","3","f","rechts","24","","fixation","","","",""
"1323","img/90_150.png","74","image-keyboard-response","13","44297","0.0-6.0-1.3","MAGA","3","f","rechts","24","","","object","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","44749","0.0-6.0-0.4","MAGA","3","f","rechts","24","","fixation","","","",""
