"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"4369","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","72","html-keyboard-response","0","4372","0.0-0.0","MASC","4","f","rechts","23","","","","","",""
"2540","","","survey-text","1","6914","0.0-1.0","MASC","4","f","rechts","23","{""Q0"":""MASC""}","","","","",""
"2733","","","survey-text","2","9647","0.0-2.0","MASC","4","f","rechts","23","{""Q0"":""4""}","","","","",""
"2662","","","survey-multi-choice","3","12312","0.0-3.0","MASC","4","f","rechts","23","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"1250","","","survey-text","4","13562","0.0-4.0","MASC","4","f","rechts","23","{""Q0"":""23""}","","","","",""
"128258","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","141823","0.0-5.0","MASC","4","f","rechts","23","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","143326","0.0-6.0-0.0","MASC","4","f","rechts","23","","fixation","","","",""
"912","img/L60_180.png","74","image-keyboard-response","7","144240","0.0-6.0-1.0","MASC","4","f","rechts","23","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","144692","0.0-6.0-0.1","MASC","4","f","rechts","23","","fixation","","","",""
"843","img/60_210.png","70","image-keyboard-response","9","145536","0.0-6.0-1.1","MASC","4","f","rechts","23","","","object","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","145938","0.0-6.0-0.2","MASC","4","f","rechts","23","","fixation","","","",""
"799","img/150_120.png","70","image-keyboard-response","11","146738","0.0-6.0-1.2","MASC","4","f","rechts","23","","","object","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","147240","0.0-6.0-0.3","MASC","4","f","rechts","23","","fixation","","","",""
"936","img/60_270.png","74","image-keyboard-response","13","148177","0.0-6.0-1.3","MASC","4","f","rechts","23","","","object","f","60","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","148529","0.0-6.0-0.4","MASC","4","f","rechts","23","","fixation","","","",""
"704","img/0_270.png","70","image-keyboard-response","15","149234","0.0-6.0-1.4","MASC","4","f","rechts","23","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","149586","0.0-6.0-0.5","MASC","4","f","rechts","23","","fixation","","","",""
"830","img/30_90.png","74","image-keyboard-response","17","150417","0.0-6.0-1.5","MASC","4","f","rechts","23","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","150919","0.0-6.0-0.6","MASC","4","f","rechts","23","","fixation","","","",""
"796","img/120_270.png","74","image-keyboard-response","19","151716","0.0-6.0-1.6","MASC","4","f","rechts","23","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","152018","0.0-6.0-0.7","MASC","4","f","rechts","23","","fixation","","","",""
"705","img/0_30.png","74","image-keyboard-response","21","152724","0.0-6.0-1.7","MASC","4","f","rechts","23","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","153026","0.0-6.0-0.8","MASC","4","f","rechts","23","","fixation","","","",""
"732","img/150_270.png","74","image-keyboard-response","23","153759","0.0-6.0-1.8","MASC","4","f","rechts","23","","","object","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","154211","0.0-6.0-0.9","MASC","4","f","rechts","23","","fixation","","","",""
"704","img/90_300.png","74","image-keyboard-response","25","154915","0.0-6.0-1.9","MASC","4","f","rechts","23","","","object","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","155367","0.0-6.0-0.10","MASC","4","f","rechts","23","","fixation","","","",""
"726","img/0_300.png","70","image-keyboard-response","27","156093","0.0-6.0-1.10","MASC","4","f","rechts","23","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","156595","0.0-6.0-0.11","MASC","4","f","rechts","23","","fixation","","","",""
"919","img/120_180.png","70","image-keyboard-response","29","157515","0.0-6.0-1.11","MASC","4","f","rechts","23","","","object","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","157816","0.0-6.0-0.12","MASC","4","f","rechts","23","","fixation","","","",""
