rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,session,subject,sex,handedness,age,responses,test_part,condition,correct_response,angle,correct
880,"<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>",72,html-keyboard-response,0,883,0.0-0.0,2,MASC,f,rechts,23,,,,,,
4350,,,survey-text,1,5234,0.0-1.0,2,MASC,f,rechts,23,"{""Q0"":""2""}",,,,,
13230,,,survey-text,2,18465,0.0-2.0,2,MASC,f,rechts,23,"{""Q0"":""MASC""}",,,,,
4587,,,survey-multi-choice,3,23055,0.0-3.0,2,MASC,f,rechts,23,"{""Q0"":""f"",""Q1"":""rechts""}",,,,,
3500,,,survey-text,4,26556,0.0-4.0,2,MASC,f,rechts,23,"{""Q0"":""23""}",,,,,
178928,"<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>",74,html-keyboard-response,5,205485,0.0-5.0,2,MASC,f,rechts,23,,,,,,
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,6,206939,0.0-6.0-0.0,2,MASC,f,rechts,23,,fixation,,,,
995,img/60_270.png,74,image-keyboard-response,7,207937,0.0-6.0-1.0,2,MASC,f,rechts,23,,,self,f,60,FALSE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,8,208289,0.0-6.0-0.1,2,MASC,f,rechts,23,,fixation,,,,
1169,img/150_90.png,70,image-keyboard-response,9,209459,0.0-6.0-1.1,2,MASC,f,rechts,23,,,self,f,150,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,10,209811,0.0-6.0-0.2,2,MASC,f,rechts,23,,fixation,,,,
1117,img/90_60.png,70,image-keyboard-response,11,210929,0.0-6.0-1.2,2,MASC,f,rechts,23,,,self,j,90,FALSE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,12,211330,0.0-6.0-0.3,2,MASC,f,rechts,23,,fixation,,,,
1290,img/150_120.png,70,image-keyboard-response,13,212622,0.0-6.0-1.3,2,MASC,f,rechts,23,,,self,f,150,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,14,213073,0.0-6.0-0.4,2,MASC,f,rechts,23,,fixation,,,,
1261,img/60_330.png,70,image-keyboard-response,15,214336,0.0-6.0-1.4,2,MASC,f,rechts,23,,,self,f,60,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,16,214787,0.0-6.0-0.5,2,MASC,f,rechts,23,,fixation,,,,
955,img/150_180.png,74,image-keyboard-response,17,215744,0.0-6.0-1.5,2,MASC,f,rechts,23,,,self,j,150,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,18,216045,0.0-6.0-0.6,2,MASC,f,rechts,23,,fixation,,,,
1069,img/90_150.png,70,image-keyboard-response,19,217115,0.0-6.0-1.6,2,MASC,f,rechts,23,,,self,f,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,20,217567,0.0-6.0-0.7,2,MASC,f,rechts,23,,fixation,,,,
719,img/0_60.png,74,image-keyboard-response,21,218287,0.0-6.0-1.7,2,MASC,f,rechts,23,,,self,j,0,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,22,218788,0.0-6.0-0.8,2,MASC,f,rechts,23,,fixation,,,,
601,img/0_150.png,74,image-keyboard-response,23,219391,0.0-6.0-1.8,2,MASC,f,rechts,23,,,self,j,0,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,24,219893,0.0-6.0-0.9,2,MASC,f,rechts,23,,fixation,,,,
984,img/150_60.png,70,image-keyboard-response,25,220879,0.0-6.0-1.9,2,MASC,f,rechts,23,,,self,f,150,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,26,221380,0.0-6.0-0.10,2,MASC,f,rechts,23,,fixation,,,,
1113,img/30_90.png,74,image-keyboard-response,27,222494,0.0-6.0-1.10,2,MASC,f,rechts,23,,,self,j,30,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,28,222846,0.0-6.0-0.11,2,MASC,f,rechts,23,,fixation,,,,
709,img/0_300.png,70,image-keyboard-response,29,223557,0.0-6.0-1.11,2,MASC,f,rechts,23,,,self,f,0,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,30,224058,0.0-6.0-0.12,2,MASC,f,rechts,23,,fixation,,,,
1237,img/L90_180.png,70,image-keyboard-response,31,225296,0.0-6.0-1.12,2,MASC,f,rechts,23,,,self,f,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,32,225748,0.0-6.0-0.13,2,MASC,f,rechts,23,,fixation,,,,
