"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1046","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","72","html-keyboard-response","0","1048","0.0-0.0","MASC","4","f","rechts","23","","","","","",""
"3464","","","survey-text","1","4512","0.0-1.0","MASC","4","f","rechts","23","{""Q0"":""MASC""}","","","","",""
"1920","","","survey-text","2","6434","0.0-2.0","MASC","4","f","rechts","23","{""Q0"":""4""}","","","","",""
"2689","","","survey-multi-choice","3","9125","0.0-3.0","MASC","4","f","rechts","23","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"1205","","","survey-text","4","10331","0.0-4.0","MASC","4","f","rechts","23","{""Q0"":""23""}","","","","",""
"11331","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","21662","0.0-5.0","MASC","4","f","rechts","23","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","23115","0.0-6.0-0.0","MASC","4","f","rechts","23","","fixation","","","",""
"622","img/0_120.png","74","image-keyboard-response","7","23740","0.0-6.0-1.0","MASC","4","f","rechts","23","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","24192","0.0-6.0-0.1","MASC","4","f","rechts","23","","fixation","","","",""
"641","img/0_240.png","70","image-keyboard-response","9","24833","0.0-6.0-1.1","MASC","4","f","rechts","23","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","25185","0.0-6.0-0.2","MASC","4","f","rechts","23","","fixation","","","",""
"597","img/0_30.png","74","image-keyboard-response","11","25784","0.0-6.0-1.2","MASC","4","f","rechts","23","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","26085","0.0-6.0-0.3","MASC","4","f","rechts","23","","fixation","","","",""
"937","img/90_210.png","74","image-keyboard-response","13","27023","0.0-6.0-1.3","MASC","4","f","rechts","23","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","27423","0.0-6.0-0.4","MASC","4","f","rechts","23","","fixation","","","",""
"826","img/30_180.png","74","image-keyboard-response","15","28250","0.0-6.0-1.4","MASC","4","f","rechts","23","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","28701","0.0-6.0-0.5","MASC","4","f","rechts","23","","fixation","","","",""
"892","img/60_30.png","74","image-keyboard-response","17","29596","0.0-6.0-1.5","MASC","4","f","rechts","23","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","29897","0.0-6.0-0.6","MASC","4","f","rechts","23","","fixation","","","",""
"1063","img/90_30.png","74","image-keyboard-response","19","30961","0.0-6.0-1.6","MASC","4","f","rechts","23","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","31313","0.0-6.0-0.7","MASC","4","f","rechts","23","","fixation","","","",""
"834","img/30_60.png","74","image-keyboard-response","21","32148","0.0-6.0-1.7","MASC","4","f","rechts","23","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","32499","0.0-6.0-0.8","MASC","4","f","rechts","23","","fixation","","","",""
"894","img/150_300.png","74","image-keyboard-response","23","33394","0.0-6.0-1.8","MASC","4","f","rechts","23","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","33745","0.0-6.0-0.9","MASC","4","f","rechts","23","","fixation","","","",""
"982","img/30_240.png","70","image-keyboard-response","25","34728","0.0-6.0-1.9","MASC","4","f","rechts","23","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","35230","0.0-6.0-0.10","MASC","4","f","rechts","23","","fixation","","","",""
"1198","img/30_90.png","74","image-keyboard-response","27","36429","0.0-6.0-1.10","MASC","4","f","rechts","23","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","36931","0.0-6.0-0.11","MASC","4","f","rechts","23","","fixation","","","",""
"825","img/90_180.png","74","image-keyboard-response","29","37757","0.0-6.0-1.11","MASC","4","f","rechts","23","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","38059","0.0-6.0-0.12","MASC","4","f","rechts","23","","fixation","","","",""
"765","img/60_180.png","74","image-keyboard-response","31","38826","0.0-6.0-1.12","MASC","4","f","rechts","23","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","39227","0.0-6.0-0.13","MASC","4","f","rechts","23","","fixation","","","",""
"884","img/90_150.png","70","image-keyboard-response","33","40112","0.0-6.0-1.13","MASC","4","f","rechts","23","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","40414","0.0-6.0-0.14","MASC","4","f","rechts","23","","fixation","","","",""
"910","img/120_270.png","74","image-keyboard-response","35","41326","0.0-6.0-1.14","MASC","4","f","rechts","23","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","41627","0.0-6.0-0.15","MASC","4","f","rechts","23","","fixation","","","",""
"686","img/120_180.png","74","image-keyboard-response","37","42313","0.0-6.0-1.15","MASC","4","f","rechts","23","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","42615","0.0-6.0-0.16","MASC","4","f","rechts","23","","fixation","","","",""
"866","img/L60_180.png","70","image-keyboard-response","39","43482","0.0-6.0-1.16","MASC","4","f","rechts","23","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","43934","0.0-6.0-0.17","MASC","4","f","rechts","23","","fixation","","","",""
"766","img/150_240.png","74","image-keyboard-response","41","44702","0.0-6.0-1.17","MASC","4","f","rechts","23","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","45103","0.0-6.0-0.18","MASC","4","f","rechts","23","","fixation","","","",""
"868","img/30_270.png","70","image-keyboard-response","43","45972","0.0-6.0-1.18","MASC","4","f","rechts","23","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","46424","0.0-6.0-0.19","MASC","4","f","rechts","23","","fixation","","","",""
"899","img/120_90.png","70","image-keyboard-response","45","47324","0.0-6.0-1.19","MASC","4","f","rechts","23","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","47726","0.0-6.0-0.20","MASC","4","f","rechts","23","","fixation","","","",""
"726","img/150_60.png","70","image-keyboard-response","47","48453","0.0-6.0-1.20","MASC","4","f","rechts","23","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","48955","0.0-6.0-0.21","MASC","4","f","rechts","23","","fixation","","","",""
"965","img/60_90.png","74","image-keyboard-response","49","49921","0.0-6.0-1.21","MASC","4","f","rechts","23","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","50423","0.0-6.0-0.22","MASC","4","f","rechts","23","","fixation","","","",""
"1073","img/L30_180.png","74","image-keyboard-response","51","51497","0.0-6.0-1.22","MASC","4","f","rechts","23","","","self","f","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","51949","0.0-6.0-0.23","MASC","4","f","rechts","23","","fixation","","","",""
"874","img/30_300.png","70","image-keyboard-response","53","52824","0.0-6.0-1.23","MASC","4","f","rechts","23","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","53176","0.0-6.0-0.24","MASC","4","f","rechts","23","","fixation","","","",""
"856","img/90_240.png","74","image-keyboard-response","55","54033","0.0-6.0-1.24","MASC","4","f","rechts","23","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","56","54435","0.0-6.0-0.25","MASC","4","f","rechts","23","","fixation","","","",""
"1065","img/30_120.png","74","image-keyboard-response","57","55501","0.0-6.0-1.25","MASC","4","f","rechts","23","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","55803","0.0-6.0-0.26","MASC","4","f","rechts","23","","fixation","","","",""
"976","img/120_150.png","70","image-keyboard-response","59","56779","0.0-6.0-1.26","MASC","4","f","rechts","23","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","60","57231","0.0-6.0-0.27","MASC","4","f","rechts","23","","fixation","","","",""
"613","img/L120_180.png","70","image-keyboard-response","61","57844","0.0-6.0-1.27","MASC","4","f","rechts","23","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","62","58346","0.0-6.0-0.28","MASC","4","f","rechts","23","","fixation","","","",""
"747","img/120_210.png","74","image-keyboard-response","63","59094","0.0-6.0-1.28","MASC","4","f","rechts","23","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","59496","0.0-6.0-0.29","MASC","4","f","rechts","23","","fixation","","","",""
"1077","img/90_300.png","70","image-keyboard-response","65","60574","0.0-6.0-1.29","MASC","4","f","rechts","23","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","66","61076","0.0-6.0-0.30","MASC","4","f","rechts","23","","fixation","","","",""
"914","img/150_90.png","70","image-keyboard-response","67","61991","0.0-6.0-1.30","MASC","4","f","rechts","23","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","68","62393","0.0-6.0-0.31","MASC","4","f","rechts","23","","fixation","","","",""
"1070","img/120_30.png","74","image-keyboard-response","69","63464","0.0-6.0-1.31","MASC","4","f","rechts","23","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","70","63915","0.0-6.0-0.32","MASC","4","f","rechts","23","","fixation","","","",""
"674","img/0_150.png","74","image-keyboard-response","71","64590","0.0-6.0-1.32","MASC","4","f","rechts","23","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","72","64942","0.0-6.0-0.33","MASC","4","f","rechts","23","","fixation","","","",""
"1185","img/120_330.png","70","image-keyboard-response","73","66128","0.0-6.0-1.33","MASC","4","f","rechts","23","","","self","f","120","true"
