"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"852","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","70","html-keyboard-response","0","854","0.0-0.0","MEVO","4","f","rechts","24","","","","","",""
"4128","","","survey-text","1","4983","0.0-1.0","MEVO","4","f","rechts","24","{""Q0"":""MEVO""}","","","","",""
"2283","","","survey-text","2","7266","0.0-2.0","MEVO","4","f","rechts","24","{""Q0"":""4""}","","","","",""
"2390","","","survey-multi-choice","3","9658","0.0-3.0","MEVO","4","f","rechts","24","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"1886","","","survey-text","4","11545","0.0-4.0","MEVO","4","f","rechts","24","{""Q0"":""24""}","","","","",""
"7927","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","19473","0.0-5.0","MEVO","4","f","rechts","24","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","20827","0.0-6.0-0.0","MEVO","4","f","rechts","24","","fixation","","","",""
"667","img/0_30.png","74","image-keyboard-response","7","21494","0.0-6.0-1.0","MEVO","4","f","rechts","24","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","21896","0.0-6.0-0.1","MEVO","4","f","rechts","24","","fixation","","","",""
"931","img/30_90.png","74","image-keyboard-response","9","22828","0.0-6.0-1.1","MEVO","4","f","rechts","24","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","23330","0.0-6.0-0.2","MEVO","4","f","rechts","24","","fixation","","","",""
"873","img/30_300.png","74","image-keyboard-response","11","24204","0.0-6.0-1.2","MEVO","4","f","rechts","24","","","object","f","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","24706","0.0-6.0-0.3","MEVO","4","f","rechts","24","","fixation","","","",""
"972","img/150_270.png","74","image-keyboard-response","13","25679","0.0-6.0-1.3","MEVO","4","f","rechts","24","","","object","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","26131","0.0-6.0-0.4","MEVO","4","f","rechts","24","","fixation","","","",""
"1497","img/150_120.png","74","image-keyboard-response","15","27628","0.0-6.0-1.4","MEVO","4","f","rechts","24","","","object","f","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","27980","0.0-6.0-0.5","MEVO","4","f","rechts","24","","fixation","","","",""
"957","img/30_120.png","74","image-keyboard-response","17","28938","0.0-6.0-1.5","MEVO","4","f","rechts","24","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","29440","0.0-6.0-0.6","MEVO","4","f","rechts","24","","fixation","","","",""
"693","img/0_270.png","70","image-keyboard-response","19","30134","0.0-6.0-1.6","MEVO","4","f","rechts","24","","","object","f","0","true"
