"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"4738","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","71","html-keyboard-response","0","4738","0.0-0.0","MEVO","3","f","rechts","24","","","","","",""
"3458","","","survey-text","1","8197","0.0-1.0","MEVO","3","f","rechts","24","{""Q0"":""MEVO""}","","","","",""
"1596","","","survey-text","2","9793","0.0-2.0","MEVO","3","f","rechts","24","{""Q0"":""3""}","","","","",""
"3195","","","survey-multi-choice","3","12989","0.0-3.0","MEVO","3","f","rechts","24","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"2414","","","survey-text","4","15403","0.0-4.0","MEVO","3","f","rechts","24","{""Q0"":""24""}","","","","",""
"23469","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","38874","0.0-5.0","MEVO","3","f","rechts","24","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","40228","0.0-6.0-0.0","MEVO","3","f","rechts","24","","fixation","","","",""
"1196","img/30_240.png","70","image-keyboard-response","7","41426","0.0-6.0-1.0","MEVO","3","f","rechts","24","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","41727","0.0-6.0-0.1","MEVO","3","f","rechts","24","","fixation","","","",""
"1075","img/150_90.png","70","image-keyboard-response","9","42803","0.0-6.0-1.1","MEVO","3","f","rechts","24","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","43305","0.0-6.0-0.2","MEVO","3","f","rechts","24","","fixation","","","",""
"1072","img/90_30.png","74","image-keyboard-response","11","44378","0.0-6.0-1.2","MEVO","3","f","rechts","24","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","44830","0.0-6.0-0.3","MEVO","3","f","rechts","24","","fixation","","","",""
"1094","img/30_180.png","74","image-keyboard-response","13","45925","0.0-6.0-1.3","MEVO","3","f","rechts","24","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","46276","0.0-6.0-0.4","MEVO","3","f","rechts","24","","fixation","","","",""
"995","img/30_270.png","70","image-keyboard-response","15","47272","0.0-6.0-1.4","MEVO","3","f","rechts","24","","","self","f","30","true"
