"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1712","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","13","html-keyboard-response","0","1754","0.0-0.0","MIGE","3","f","links","22","","","","","",""
"13063","","","survey-text","1","14818","0.0-1.0","MIGE","3","f","links","22","{""Q0"":""MIGE""}","","","","",""
"3081","","","survey-text","2","17901","0.0-2.0","MIGE","3","f","links","22","{""Q0"":""3""}","","","","",""
"5945","","","survey-multi-choice","3","23850","0.0-3.0","MIGE","3","f","links","22","{""Q0"":""f"",""Q1"":""links""}","","","","",""
"9077","","","survey-text","4","32928","0.0-4.0","MIGE","3","f","links","22","{""Q0"":""22""}","","","","",""
"110652","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","70","html-keyboard-response","5","143590","0.0-5.0","MIGE","3","f","links","22","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","145133","0.0-6.0-0.0","MIGE","3","f","links","22","","fixation","","","",""
"2712","img/L60_180.png","74","image-keyboard-response","7","147865","0.0-6.0-1.0","MIGE","3","f","links","22","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","148341","0.0-6.0-0.1","MIGE","3","f","links","22","","fixation","","","",""
"860","img/90_30.png","70","image-keyboard-response","9","149220","0.0-6.0-1.1","MIGE","3","f","links","22","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","149622","0.0-6.0-0.2","MIGE","3","f","links","22","","fixation","","","",""
"1413","img/120_180.png","70","image-keyboard-response","11","151056","0.0-6.0-1.2","MIGE","3","f","links","22","","","object","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","151514","0.0-6.0-0.3","MIGE","3","f","links","22","","fixation","","","",""
"1436","img/30_60.png","74","image-keyboard-response","13","152967","0.0-6.0-1.3","MIGE","3","f","links","22","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","153279","0.0-6.0-0.4","MIGE","3","f","links","22","","fixation","","","",""
"1797","img/120_150.png","74","image-keyboard-response","15","155094","0.0-6.0-1.4","MIGE","3","f","links","22","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","155607","0.0-6.0-0.5","MIGE","3","f","links","22","","fixation","","","",""
"1057","img/30_270.png","70","image-keyboard-response","17","156680","0.0-6.0-1.5","MIGE","3","f","links","22","","","object","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","157013","0.0-6.0-0.6","MIGE","3","f","links","22","","fixation","","","",""
"765","img/0_300.png","70","image-keyboard-response","19","157796","0.0-6.0-1.6","MIGE","3","f","links","22","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","158263","0.0-6.0-0.7","MIGE","3","f","links","22","","fixation","","","",""
"782","img/30_240.png","70","image-keyboard-response","21","159063","0.0-6.0-1.7","MIGE","3","f","links","22","","","object","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","159388","0.0-6.0-0.8","MIGE","3","f","links","22","","fixation","","","",""
"761","img/0_210.png","70","image-keyboard-response","23","160168","0.0-6.0-1.8","MIGE","3","f","links","22","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","160481","0.0-6.0-0.9","MIGE","3","f","links","22","","fixation","","","",""
"761","img/0_150.png","74","image-keyboard-response","25","161260","0.0-6.0-1.9","MIGE","3","f","links","22","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","161684","0.0-6.0-0.10","MIGE","3","f","links","22","","fixation","","","",""
"1313","img/60_270.png","70","image-keyboard-response","27","163015","0.0-6.0-1.10","MIGE","3","f","links","22","","","object","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","163372","0.0-6.0-0.11","MIGE","3","f","links","22","","fixation","","","",""
"749","img/0_60.png","74","image-keyboard-response","29","164139","0.0-6.0-1.11","MIGE","3","f","links","22","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","164605","0.0-6.0-0.12","MIGE","3","f","links","22","","fixation","","","",""
"910","img/90_210.png","70","image-keyboard-response","31","165535","0.0-6.0-1.12","MIGE","3","f","links","22","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","165840","0.0-6.0-0.13","MIGE","3","f","links","22","","fixation","","","",""
"734","img/L30_180.png","74","image-keyboard-response","33","166592","0.0-6.0-1.13","MIGE","3","f","links","22","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","166918","0.0-6.0-0.14","MIGE","3","f","links","22","","fixation","","","",""
"2091","img/150_240.png","74","image-keyboard-response","35","169028","0.0-6.0-1.14","MIGE","3","f","links","22","","","object","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","169446","0.0-6.0-0.15","MIGE","3","f","links","22","","fixation","","","",""
"1606","img/90_120.png","74","image-keyboard-response","37","171069","0.0-6.0-1.15","MIGE","3","f","links","22","","","object","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","171492","0.0-6.0-0.16","MIGE","3","f","links","22","","fixation","","","",""
"1064","img/90_180.png","70","image-keyboard-response","39","172577","0.0-6.0-1.16","MIGE","3","f","links","22","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","173087","0.0-6.0-0.17","MIGE","3","f","links","22","","fixation","","","",""
"901","img/30_90.png","74","image-keyboard-response","41","174006","0.0-6.0-1.17","MIGE","3","f","links","22","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","174420","0.0-6.0-0.18","MIGE","3","f","links","22","","fixation","","","",""
"1154","img/90_240.png","70","image-keyboard-response","43","175592","0.0-6.0-1.18","MIGE","3","f","links","22","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","176014","0.0-6.0-0.19","MIGE","3","f","links","22","","fixation","","","",""
"874","img/30_180.png","70","image-keyboard-response","45","176897","0.0-6.0-1.19","MIGE","3","f","links","22","","","object","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","177373","0.0-6.0-0.20","MIGE","3","f","links","22","","fixation","","","",""
"743","img/0_270.png","70","image-keyboard-response","47","178133","0.0-6.0-1.20","MIGE","3","f","links","22","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","178593","0.0-6.0-0.21","MIGE","3","f","links","22","","fixation","","","",""
"796","img/120_330.png","74","image-keyboard-response","49","179406","0.0-6.0-1.21","MIGE","3","f","links","22","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","179719","0.0-6.0-0.22","MIGE","3","f","links","22","","fixation","","","",""
"1164","img/150_180.png","70","image-keyboard-response","51","180902","0.0-6.0-1.22","MIGE","3","f","links","22","","","object","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","181406","0.0-6.0-0.23","MIGE","3","f","links","22","","fixation","","","",""
"604","img/0_30.png","74","image-keyboard-response","53","182027","0.0-6.0-1.23","MIGE","3","f","links","22","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","182391","0.0-6.0-0.24","MIGE","3","f","links","22","","fixation","","","",""
"835","img/90_330.png","74","image-keyboard-response","55","183242","0.0-6.0-1.24","MIGE","3","f","links","22","","","object","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","56","183593","0.0-6.0-0.25","MIGE","3","f","links","22","","fixation","","","",""
"1544","img/L150_180.png","74","image-keyboard-response","57","185155","0.0-6.0-1.25","MIGE","3","f","links","22","","","object","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","185531","0.0-6.0-0.26","MIGE","3","f","links","22","","fixation","","","",""
"796","img/90_300.png","74","image-keyboard-response","59","186346","0.0-6.0-1.26","MIGE","3","f","links","22","","","object","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","60","186749","0.0-6.0-0.27","MIGE","3","f","links","22","","fixation","","","",""
"974","img/90_150.png","74","image-keyboard-response","61","187742","0.0-6.0-1.27","MIGE","3","f","links","22","","","object","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","62","188203","0.0-6.0-0.28","MIGE","3","f","links","22","","fixation","","","",""
"783","img/120_30.png","70","image-keyboard-response","63","189002","0.0-6.0-1.28","MIGE","3","f","links","22","","","object","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","189423","0.0-6.0-0.29","MIGE","3","f","links","22","","fixation","","","",""
"699","img/0_240.png","70","image-keyboard-response","65","190139","0.0-6.0-1.29","MIGE","3","f","links","22","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","66","190642","0.0-6.0-0.30","MIGE","3","f","links","22","","fixation","","","",""
"603","img/0_120.png","74","image-keyboard-response","67","191263","0.0-6.0-1.30","MIGE","3","f","links","22","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","68","191626","0.0-6.0-0.31","MIGE","3","f","links","22","","fixation","","","",""
"564","img/0_90.png","74","image-keyboard-response","69","192209","0.0-6.0-1.31","MIGE","3","f","links","22","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","70","192625","0.0-6.0-0.32","MIGE","3","f","links","22","","fixation","","","",""
"1669","img/150_120.png","70","image-keyboard-response","71","194311","0.0-6.0-1.32","MIGE","3","f","links","22","","","object","f","150","true"
