"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"16049","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","13","html-keyboard-response","0","16085","0.0-0.0","MIGE","2","f","links","22","","","","","",""
"196546","","","survey-text","1","212632","0.0-1.0","MIGE","2","f","links","22","{""Q0"":""MIGE""}","","","","",""
"3528","","","survey-text","2","216164","0.0-2.0","MIGE","2","f","links","22","{""Q0"":""2""}","","","","",""
"2612","","","survey-multi-choice","3","218782","0.0-3.0","MIGE","2","f","links","22","{""Q0"":""f"",""Q1"":""links""}","","","","",""
"4056","","","survey-text","4","222840","0.0-4.0","MIGE","2","f","links","22","{""Q0"":""22""}","","","","",""
"63286","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","32","html-keyboard-response","5","286137","0.0-5.0","MIGE","2","f","links","22","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","287601","0.0-6.0-0.0","MIGE","2","f","links","22","","fixation","","","",""
"null","img/L30_180.png","null","image-keyboard-response","7","290628","0.0-6.0-1.0","MIGE","2","f","links","22","","","self","f","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","291082","0.0-6.0-0.1","MIGE","2","f","links","22","","fixation","","","",""
"1425","img/60_210.png","74","image-keyboard-response","9","292527","0.0-6.0-1.1","MIGE","2","f","links","22","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","292883","0.0-6.0-0.2","MIGE","2","f","links","22","","fixation","","","",""
"2229","img/30_300.png","70","image-keyboard-response","11","295131","0.0-6.0-1.2","MIGE","2","f","links","22","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","295494","0.0-6.0-0.3","MIGE","2","f","links","22","","fixation","","","",""
"2061","img/90_60.png","74","image-keyboard-response","13","297573","0.0-6.0-1.3","MIGE","2","f","links","22","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","298083","0.0-6.0-0.4","MIGE","2","f","links","22","","fixation","","","",""
"707","img/0_30.png","74","image-keyboard-response","15","298810","0.0-6.0-1.4","MIGE","2","f","links","22","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","299165","0.0-6.0-0.5","MIGE","2","f","links","22","","fixation","","","",""
"1744","img/90_30.png","74","image-keyboard-response","17","300926","0.0-6.0-1.5","MIGE","2","f","links","22","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","301230","0.0-6.0-0.6","MIGE","2","f","links","22","","fixation","","","",""
"1737","img/150_180.png","74","image-keyboard-response","19","302984","0.0-6.0-1.6","MIGE","2","f","links","22","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","303403","0.0-6.0-0.7","MIGE","2","f","links","22","","fixation","","","",""
"2423","img/150_120.png","70","image-keyboard-response","21","305844","0.0-6.0-1.7","MIGE","2","f","links","22","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","306293","0.0-6.0-0.8","MIGE","2","f","links","22","","fixation","","","",""
"1714","img/30_60.png","74","image-keyboard-response","23","308025","0.0-6.0-1.8","MIGE","2","f","links","22","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","308544","0.0-6.0-0.9","MIGE","2","f","links","22","","fixation","","","",""
"735","img/0_90.png","74","image-keyboard-response","25","309295","0.0-6.0-1.9","MIGE","2","f","links","22","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","309700","0.0-6.0-0.10","MIGE","2","f","links","22","","fixation","","","",""
