"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"2553","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","70","html-keyboard-response","0","2559","0.0-0.0","REGA","2","f","rechts","23","","","","","",""
"2225","","","survey-text","1","4786","0.0-1.0","REGA","2","f","rechts","23","{""Q0"":""REGA""}","","","","",""
"2076","","","survey-text","2","6863","0.0-2.0","REGA","2","f","rechts","23","{""Q0"":""2""}","","","","",""
"3560","","","survey-multi-choice","3","10426","0.0-3.0","REGA","2","f","rechts","23","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"9039","","","survey-text","4","19466","0.0-4.0","REGA","2","f","rechts","23","{""Q0"":""23""}","","","","",""
"173664","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","68","html-keyboard-response","5","193131","0.0-5.0","REGA","2","f","rechts","23","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","194640","0.0-6.0-0.0","REGA","2","f","rechts","23","","fixation","","","",""
"1394","img/150_180.png","70","image-keyboard-response","7","196037","0.0-6.0-1.0","REGA","2","f","rechts","23","","","object","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","196341","0.0-6.0-0.1","REGA","2","f","rechts","23","","fixation","","","",""
"1735","img/150_240.png","74","image-keyboard-response","9","198076","0.0-6.0-1.1","REGA","2","f","rechts","23","","","object","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","198477","0.0-6.0-0.2","REGA","2","f","rechts","23","","fixation","","","",""
"1163","img/60_150.png","74","image-keyboard-response","11","199640","0.0-6.0-1.2","REGA","2","f","rechts","23","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","199995","0.0-6.0-0.3","REGA","2","f","rechts","23","","fixation","","","",""
"1458","img/30_300.png","74","image-keyboard-response","13","201454","0.0-6.0-1.3","REGA","2","f","rechts","23","","","object","f","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","201759","0.0-6.0-0.4","REGA","2","f","rechts","23","","fixation","","","",""
"2040","img/L150_180.png","74","image-keyboard-response","15","203800","0.0-6.0-1.4","REGA","2","f","rechts","23","","","object","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","204103","0.0-6.0-0.5","REGA","2","f","rechts","23","","fixation","","","",""
"1099","img/60_210.png","70","image-keyboard-response","17","205203","0.0-6.0-1.5","REGA","2","f","rechts","23","","","object","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","205708","0.0-6.0-0.6","REGA","2","f","rechts","23","","fixation","","","",""
