"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1849","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","72","html-keyboard-response","0","1885","0.0-0.0","REGA","3","f","rechts","23","","","","","",""
"4988","","","survey-text","1","6880","0.0-1.0","REGA","3","f","rechts","23","{""Q0"":""REGA""}","","","","",""
"4570","","","survey-text","2","11450","0.0-2.0","REGA","3","f","rechts","23","{""Q0"":""3""}","","","","",""
"10639","","","survey-multi-choice","3","22094","0.0-3.0","REGA","3","f","rechts","23","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"4081","","","survey-text","4","26176","0.0-4.0","REGA","3","f","rechts","23","{""Q0"":""23""}","","","","",""
"9275","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","70","html-keyboard-response","5","35459","0.0-5.0","REGA","3","f","rechts","23","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","36997","0.0-6.0-0.0","REGA","3","f","rechts","23","","fixation","","","",""
"877","img/90_180.png","74","image-keyboard-response","7","37885","0.0-6.0-1.0","REGA","3","f","rechts","23","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","38350","0.0-6.0-0.1","REGA","3","f","rechts","23","","fixation","","","",""
"704","img/L60_180.png","70","image-keyboard-response","9","39072","0.0-6.0-1.1","REGA","3","f","rechts","23","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","39552","0.0-6.0-0.2","REGA","3","f","rechts","23","","fixation","","","",""
"918","img/30_300.png","70","image-keyboard-response","11","40489","0.0-6.0-1.2","REGA","3","f","rechts","23","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","41023","0.0-6.0-0.3","REGA","3","f","rechts","23","","fixation","","","",""
"1202","img/30_240.png","70","image-keyboard-response","13","42242","0.0-6.0-1.3","REGA","3","f","rechts","23","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","42767","0.0-6.0-0.4","REGA","3","f","rechts","23","","fixation","","","",""
"650","img/0_270.png","70","image-keyboard-response","15","43459","0.0-6.0-1.4","REGA","3","f","rechts","23","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","43788","0.0-6.0-0.5","REGA","3","f","rechts","23","","fixation","","","",""
"933","img/90_300.png","70","image-keyboard-response","17","44740","0.0-6.0-1.5","REGA","3","f","rechts","23","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","45149","0.0-6.0-0.6","REGA","3","f","rechts","23","","fixation","","","",""
"678","img/0_240.png","70","image-keyboard-response","19","45845","0.0-6.0-1.6","REGA","3","f","rechts","23","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","46368","0.0-6.0-0.7","REGA","3","f","rechts","23","","fixation","","","",""
"662","img/0_150.png","74","image-keyboard-response","21","47047","0.0-6.0-1.7","REGA","3","f","rechts","23","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","47350","0.0-6.0-0.8","REGA","3","f","rechts","23","","fixation","","","",""
"971","img/90_240.png","74","image-keyboard-response","23","48343","0.0-6.0-1.8","REGA","3","f","rechts","23","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","48694","0.0-6.0-0.9","REGA","3","f","rechts","23","","fixation","","","",""
"796","img/90_210.png","74","image-keyboard-response","25","49510","0.0-6.0-1.9","REGA","3","f","rechts","23","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","50024","0.0-6.0-0.10","REGA","3","f","rechts","23","","fixation","","","",""
"676","img/120_270.png","74","image-keyboard-response","27","50716","0.0-6.0-1.10","REGA","3","f","rechts","23","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","51148","0.0-6.0-0.11","REGA","3","f","rechts","23","","fixation","","","",""
"640","img/0_90.png","74","image-keyboard-response","29","51805","0.0-6.0-1.11","REGA","3","f","rechts","23","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","52273","0.0-6.0-0.12","REGA","3","f","rechts","23","","fixation","","","",""
"908","img/90_60.png","74","image-keyboard-response","31","53199","0.0-6.0-1.12","REGA","3","f","rechts","23","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","53619","0.0-6.0-0.13","REGA","3","f","rechts","23","","fixation","","","",""
"922","img/120_150.png","70","image-keyboard-response","33","54562","0.0-6.0-1.13","REGA","3","f","rechts","23","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","55071","0.0-6.0-0.14","REGA","3","f","rechts","23","","fixation","","","",""
"999","img/90_330.png","70","image-keyboard-response","35","56094","0.0-6.0-1.14","REGA","3","f","rechts","23","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","56446","0.0-6.0-0.15","REGA","3","f","rechts","23","","fixation","","","",""
"955","img/30_90.png","74","image-keyboard-response","37","57420","0.0-6.0-1.15","REGA","3","f","rechts","23","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","57776","0.0-6.0-0.16","REGA","3","f","rechts","23","","fixation","","","",""
"901","img/90_30.png","74","image-keyboard-response","39","58714","0.0-6.0-1.16","REGA","3","f","rechts","23","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","59227","0.0-6.0-0.17","REGA","3","f","rechts","23","","fixation","","","",""
"1043","img/150_60.png","70","image-keyboard-response","41","60287","0.0-6.0-1.17","REGA","3","f","rechts","23","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","60759","0.0-6.0-0.18","REGA","3","f","rechts","23","","fixation","","","",""
"1100","img/30_270.png","70","image-keyboard-response","43","61887","0.0-6.0-1.18","REGA","3","f","rechts","23","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","62257","0.0-6.0-0.19","REGA","3","f","rechts","23","","fixation","","","",""
"847","img/60_150.png","70","image-keyboard-response","45","63124","0.0-6.0-1.19","REGA","3","f","rechts","23","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","63543","0.0-6.0-0.20","REGA","3","f","rechts","23","","fixation","","","",""
"1083","img/60_270.png","70","image-keyboard-response","47","64643","0.0-6.0-1.20","REGA","3","f","rechts","23","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","65152","0.0-6.0-0.21","REGA","3","f","rechts","23","","fixation","","","",""
"879","img/150_300.png","74","image-keyboard-response","49","66051","0.0-6.0-1.21","REGA","3","f","rechts","23","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","66510","0.0-6.0-0.22","REGA","3","f","rechts","23","","fixation","","","",""
"882","img/150_90.png","70","image-keyboard-response","51","67411","0.0-6.0-1.22","REGA","3","f","rechts","23","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","67886","0.0-6.0-0.23","REGA","3","f","rechts","23","","fixation","","","",""
"632","img/0_210.png","70","image-keyboard-response","53","68536","0.0-6.0-1.23","REGA","3","f","rechts","23","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","69042","0.0-6.0-0.24","REGA","3","f","rechts","23","","fixation","","","",""
"748","img/L150_180.png","70","image-keyboard-response","55","69807","0.0-6.0-1.24","REGA","3","f","rechts","23","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","56","70324","0.0-6.0-0.25","REGA","3","f","rechts","23","","fixation","","","",""
"723","img/L120_180.png","70","image-keyboard-response","57","71066","0.0-6.0-1.25","REGA","3","f","rechts","23","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","71493","0.0-6.0-0.26","REGA","3","f","rechts","23","","fixation","","","",""
"863","img/120_180.png","74","image-keyboard-response","59","72373","0.0-6.0-1.26","REGA","3","f","rechts","23","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","60","72885","0.0-6.0-0.27","REGA","3","f","rechts","23","","fixation","","","",""
"851","img/150_180.png","74","image-keyboard-response","61","73755","0.0-6.0-1.27","REGA","3","f","rechts","23","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","62","74217","0.0-6.0-0.28","REGA","3","f","rechts","23","","fixation","","","",""
"622","img/0_60.png","74","image-keyboard-response","63","74858","0.0-6.0-1.28","REGA","3","f","rechts","23","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","75309","0.0-6.0-0.29","REGA","3","f","rechts","23","","fixation","","","",""
"689","img/0_300.png","70","image-keyboard-response","65","76017","0.0-6.0-1.29","REGA","3","f","rechts","23","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","66","76347","0.0-6.0-0.30","REGA","3","f","rechts","23","","fixation","","","",""
"776","img/90_150.png","70","image-keyboard-response","67","77143","0.0-6.0-1.30","REGA","3","f","rechts","23","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","68","77503","0.0-6.0-0.31","REGA","3","f","rechts","23","","fixation","","","",""
"779","img/150_240.png","74","image-keyboard-response","69","78300","0.0-6.0-1.31","REGA","3","f","rechts","23","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","70","78764","0.0-6.0-0.32","REGA","3","f","rechts","23","","fixation","","","",""
"764","img/L90_180.png","70","image-keyboard-response","71","79549","0.0-6.0-1.32","REGA","3","f","rechts","23","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","72","80061","0.0-6.0-0.33","REGA","3","f","rechts","23","","fixation","","","",""
"754","img/120_90.png","70","image-keyboard-response","73","80831","0.0-6.0-1.33","REGA","3","f","rechts","23","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","74","81343","0.0-6.0-0.34","REGA","3","f","rechts","23","","fixation","","","",""
"734","img/150_120.png","70","image-keyboard-response","75","82094","0.0-6.0-1.34","REGA","3","f","rechts","23","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","76","82467","0.0-6.0-0.35","REGA","3","f","rechts","23","","fixation","","","",""
"610","img/0_30.png","74","image-keyboard-response","77","83094","0.0-6.0-1.35","REGA","3","f","rechts","23","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","78","83497","0.0-6.0-0.36","REGA","3","f","rechts","23","","fixation","","","",""
"757","img/60_30.png","74","image-keyboard-response","79","84276","0.0-6.0-1.36","REGA","3","f","rechts","23","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","80","84701","0.0-6.0-0.37","REGA","3","f","rechts","23","","fixation","","","",""
"869","img/30_60.png","74","image-keyboard-response","81","85591","0.0-6.0-1.37","REGA","3","f","rechts","23","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","82","85998","0.0-6.0-0.38","REGA","3","f","rechts","23","","fixation","","","",""
"725","img/30_120.png","74","image-keyboard-response","83","86740","0.0-6.0-1.38","REGA","3","f","rechts","23","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","84","87044","0.0-6.0-0.39","REGA","3","f","rechts","23","","fixation","","","",""
"1026","img/30_180.png","74","image-keyboard-response","85","88089","0.0-6.0-1.39","REGA","3","f","rechts","23","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","86","88547","0.0-6.0-0.40","REGA","3","f","rechts","23","","fixation","","","",""
"796","img/90_120.png","70","image-keyboard-response","87","89360","0.0-6.0-1.40","REGA","3","f","rechts","23","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","88","89719","0.0-6.0-0.41","REGA","3","f","rechts","23","","fixation","","","",""
"907","img/120_210.png","74","image-keyboard-response","89","90643","0.0-6.0-1.41","REGA","3","f","rechts","23","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","90","91156","0.0-6.0-0.42","REGA","3","f","rechts","23","","fixation","","","",""
"808","img/60_90.png","74","image-keyboard-response","91","91981","0.0-6.0-1.42","REGA","3","f","rechts","23","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","92","92500","0.0-6.0-0.43","REGA","3","f","rechts","23","","fixation","","","",""
"1050","img/120_30.png","74","image-keyboard-response","93","93568","0.0-6.0-1.43","REGA","3","f","rechts","23","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","94","93874","0.0-6.0-0.44","REGA","3","f","rechts","23","","fixation","","","",""
"1097","img/60_210.png","74","image-keyboard-response","95","94995","0.0-6.0-1.44","REGA","3","f","rechts","23","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","96","95360","0.0-6.0-0.45","REGA","3","f","rechts","23","","fixation","","","",""
"596","img/0_330.png","70","image-keyboard-response","97","95973","0.0-6.0-1.45","REGA","3","f","rechts","23","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","98","96437","0.0-6.0-0.46","REGA","3","f","rechts","23","","fixation","","","",""
"1074","img/60_330.png","70","image-keyboard-response","99","97528","0.0-6.0-1.46","REGA","3","f","rechts","23","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","100","97858","0.0-6.0-0.47","REGA","3","f","rechts","23","","fixation","","","",""
"811","img/60_180.png","74","image-keyboard-response","101","98686","0.0-6.0-1.47","REGA","3","f","rechts","23","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","102","99111","0.0-6.0-0.48","REGA","3","f","rechts","23","","fixation","","","",""
"1210","img/120_330.png","70","image-keyboard-response","103","100340","0.0-6.0-1.48","REGA","3","f","rechts","23","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","104","100861","0.0-6.0-0.49","REGA","3","f","rechts","23","","fixation","","","",""
"798","img/150_270.png","74","image-keyboard-response","105","101679","0.0-6.0-1.49","REGA","3","f","rechts","23","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","106","102001","0.0-6.0-0.50","REGA","3","f","rechts","23","","fixation","","","",""
