"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1503","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","70","html-keyboard-response","0","1508","0.0-0.0","RHGA","2","f","rechts","19","","","","","",""
"3303","","","survey-text","1","4811","0.0-1.0","RHGA","2","f","rechts","19","{""Q0"":""RHGA""}","","","","",""
"1249","","","survey-text","2","6062","0.0-2.0","RHGA","2","f","rechts","19","{""Q0"":""2""}","","","","",""
"7486","","","survey-multi-choice","3","13551","0.0-3.0","RHGA","2","f","rechts","19","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"4221","","","survey-text","4","17772","0.0-4.0","RHGA","2","f","rechts","19","{""Q0"":""19""}","","","","",""
"13976","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","70","html-keyboard-response","5","31750","0.0-5.0","RHGA","2","f","rechts","19","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","33102","0.0-6.0-0.0","RHGA","2","f","rechts","19","","fixation","","","",""
"887","img/120_270.png","74","image-keyboard-response","7","33990","0.0-6.0-1.0","RHGA","2","f","rechts","19","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","34441","0.0-6.0-0.1","RHGA","2","f","rechts","19","","fixation","","","",""
"913","img/L120_180.png","70","image-keyboard-response","9","35355","0.0-6.0-1.1","RHGA","2","f","rechts","19","","","object","j","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","35656","0.0-6.0-0.2","RHGA","2","f","rechts","19","","fixation","","","",""
"727","img/60_90.png","74","image-keyboard-response","11","36384","0.0-6.0-1.2","RHGA","2","f","rechts","19","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","36784","0.0-6.0-0.3","RHGA","2","f","rechts","19","","fixation","","","",""
"647","img/60_180.png","70","image-keyboard-response","13","37433","0.0-6.0-1.3","RHGA","2","f","rechts","19","","","object","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","37934","0.0-6.0-0.4","RHGA","2","f","rechts","19","","fixation","","","",""
"620","img/60_150.png","74","image-keyboard-response","15","38555","0.0-6.0-1.4","RHGA","2","f","rechts","19","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","38956","0.0-6.0-0.5","RHGA","2","f","rechts","19","","fixation","","","",""
