"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"3375","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","72","html-keyboard-response","0","3377","0.0-0.0","RHGA","3","f","rechts","19","","","","","",""
"13797","","","survey-text","1","17177","0.0-1.0","RHGA","3","f","rechts","19","{""Q0"":""RHGA""}","","","","",""
"2170","","","survey-text","2","19347","0.0-2.0","RHGA","3","f","rechts","19","{""Q0"":""3""}","","","","",""
"27359","","","survey-multi-choice","3","46708","0.0-3.0","RHGA","3","f","rechts","19","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"2695","","","survey-text","4","49405","0.0-4.0","RHGA","3","f","rechts","19","{""Q0"":""19""}","","","","",""
"25274","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","74680","0.0-5.0","RHGA","3","f","rechts","19","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","76033","0.0-6.0-0.0","RHGA","3","f","rechts","19","","fixation","","","",""
"932","img/30_180.png","74","image-keyboard-response","7","76967","0.0-6.0-1.0","RHGA","3","f","rechts","19","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","77468","0.0-6.0-0.1","RHGA","3","f","rechts","19","","fixation","","","",""
"856","img/90_240.png","74","image-keyboard-response","9","78325","0.0-6.0-1.1","RHGA","3","f","rechts","19","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","78727","0.0-6.0-0.2","RHGA","3","f","rechts","19","","fixation","","","",""
"776","img/150_90.png","70","image-keyboard-response","11","79504","0.0-6.0-1.2","RHGA","3","f","rechts","19","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","79855","0.0-6.0-0.3","RHGA","3","f","rechts","19","","fixation","","","",""
"807","img/90_120.png","70","image-keyboard-response","13","80663","0.0-6.0-1.3","RHGA","3","f","rechts","19","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","80964","0.0-6.0-0.4","RHGA","3","f","rechts","19","","fixation","","","",""
"799","img/150_270.png","74","image-keyboard-response","15","81764","0.0-6.0-1.4","RHGA","3","f","rechts","19","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","82165","0.0-6.0-0.5","RHGA","3","f","rechts","19","","fixation","","","",""
"852","img/L60_180.png","70","image-keyboard-response","17","83019","0.0-6.0-1.5","RHGA","3","f","rechts","19","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","83419","0.0-6.0-0.6","RHGA","3","f","rechts","19","","fixation","","","",""
"683","img/120_180.png","74","image-keyboard-response","19","84103","0.0-6.0-1.6","RHGA","3","f","rechts","19","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","84405","0.0-6.0-0.7","RHGA","3","f","rechts","19","","fixation","","","",""
"700","img/120_150.png","70","image-keyboard-response","21","85106","0.0-6.0-1.7","RHGA","3","f","rechts","19","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","85607","0.0-6.0-0.8","RHGA","3","f","rechts","19","","fixation","","","",""
"691","img/0_300.png","70","image-keyboard-response","23","86300","0.0-6.0-1.8","RHGA","3","f","rechts","19","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","86800","0.0-6.0-0.9","RHGA","3","f","rechts","19","","fixation","","","",""
"727","img/L90_180.png","70","image-keyboard-response","25","87528","0.0-6.0-1.9","RHGA","3","f","rechts","19","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","87930","0.0-6.0-0.10","RHGA","3","f","rechts","19","","fixation","","","",""
"677","img/0_60.png","74","image-keyboard-response","27","88607","0.0-6.0-1.10","RHGA","3","f","rechts","19","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","89008","0.0-6.0-0.11","RHGA","3","f","rechts","19","","fixation","","","",""
"673","img/0_210.png","70","image-keyboard-response","29","89682","0.0-6.0-1.11","RHGA","3","f","rechts","19","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","90034","0.0-6.0-0.12","RHGA","3","f","rechts","19","","fixation","","","",""
"935","img/90_60.png","74","image-keyboard-response","31","90970","0.0-6.0-1.12","RHGA","3","f","rechts","19","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","91321","0.0-6.0-0.13","RHGA","3","f","rechts","19","","fixation","","","",""
"703","img/0_270.png","70","image-keyboard-response","33","92025","0.0-6.0-1.13","RHGA","3","f","rechts","19","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","92426","0.0-6.0-0.14","RHGA","3","f","rechts","19","","fixation","","","",""
"665","img/0_120.png","74","image-keyboard-response","35","93092","0.0-6.0-1.14","RHGA","3","f","rechts","19","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","93493","0.0-6.0-0.15","RHGA","3","f","rechts","19","","fixation","","","",""
"691","img/0_90.png","74","image-keyboard-response","37","94185","0.0-6.0-1.15","RHGA","3","f","rechts","19","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","94585","0.0-6.0-0.16","RHGA","3","f","rechts","19","","fixation","","","",""
"856","img/30_270.png","70","image-keyboard-response","39","95442","0.0-6.0-1.16","RHGA","3","f","rechts","19","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","95943","0.0-6.0-0.17","RHGA","3","f","rechts","19","","fixation","","","",""
"735","img/150_120.png","70","image-keyboard-response","41","96679","0.0-6.0-1.17","RHGA","3","f","rechts","19","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","97080","0.0-6.0-0.18","RHGA","3","f","rechts","19","","fixation","","","",""
"653","img/L120_180.png","70","image-keyboard-response","43","97733","0.0-6.0-1.18","RHGA","3","f","rechts","19","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","98034","0.0-6.0-0.19","RHGA","3","f","rechts","19","","fixation","","","",""
"721","img/90_180.png","74","image-keyboard-response","45","98757","0.0-6.0-1.19","RHGA","3","f","rechts","19","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","99258","0.0-6.0-0.20","RHGA","3","f","rechts","19","","fixation","","","",""
"685","img/120_270.png","74","image-keyboard-response","47","99944","0.0-6.0-1.20","RHGA","3","f","rechts","19","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","100395","0.0-6.0-0.21","RHGA","3","f","rechts","19","","fixation","","","",""
"817","img/60_210.png","74","image-keyboard-response","49","101214","0.0-6.0-1.21","RHGA","3","f","rechts","19","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","101514","0.0-6.0-0.22","RHGA","3","f","rechts","19","","fixation","","","",""
"929","img/90_30.png","70","image-keyboard-response","51","102445","0.0-6.0-1.22","RHGA","3","f","rechts","19","","","self","j","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","102845","0.0-6.0-0.23","RHGA","3","f","rechts","19","","fixation","","","",""
"1066","img/30_60.png","74","image-keyboard-response","53","103912","0.0-6.0-1.23","RHGA","3","f","rechts","19","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","104413","0.0-6.0-0.24","RHGA","3","f","rechts","19","","fixation","","","",""
"804","img/90_330.png","70","image-keyboard-response","55","105219","0.0-6.0-1.24","RHGA","3","f","rechts","19","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","56","105620","0.0-6.0-0.25","RHGA","3","f","rechts","19","","fixation","","","",""
"790","img/60_180.png","74","image-keyboard-response","57","106411","0.0-6.0-1.25","RHGA","3","f","rechts","19","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","106812","0.0-6.0-0.26","RHGA","3","f","rechts","19","","fixation","","","",""
"658","img/150_240.png","74","image-keyboard-response","59","107472","0.0-6.0-1.26","RHGA","3","f","rechts","19","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","60","107773","0.0-6.0-0.27","RHGA","3","f","rechts","19","","fixation","","","",""
"824","img/30_300.png","70","image-keyboard-response","61","108598","0.0-6.0-1.27","RHGA","3","f","rechts","19","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","62","108999","0.0-6.0-0.28","RHGA","3","f","rechts","19","","fixation","","","",""
"1113","img/30_90.png","74","image-keyboard-response","63","110113","0.0-6.0-1.28","RHGA","3","f","rechts","19","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","110515","0.0-6.0-0.29","RHGA","3","f","rechts","19","","fixation","","","",""
"920","img/60_90.png","74","image-keyboard-response","65","111436","0.0-6.0-1.29","RHGA","3","f","rechts","19","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","66","111887","0.0-6.0-0.30","RHGA","3","f","rechts","19","","fixation","","","",""
"738","img/0_150.png","74","image-keyboard-response","67","112626","0.0-6.0-1.30","RHGA","3","f","rechts","19","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","68","112927","0.0-6.0-0.31","RHGA","3","f","rechts","19","","fixation","","","",""
"804","img/0_30.png","74","image-keyboard-response","69","113732","0.0-6.0-1.31","RHGA","3","f","rechts","19","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","70","114084","0.0-6.0-0.32","RHGA","3","f","rechts","19","","fixation","","","",""
"950","img/150_60.png","70","image-keyboard-response","71","115035","0.0-6.0-1.32","RHGA","3","f","rechts","19","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","72","115387","0.0-6.0-0.33","RHGA","3","f","rechts","19","","fixation","","","",""
"737","img/L150_180.png","70","image-keyboard-response","73","116125","0.0-6.0-1.33","RHGA","3","f","rechts","19","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","74","116526","0.0-6.0-0.34","RHGA","3","f","rechts","19","","fixation","","","",""
"796","img/60_150.png","70","image-keyboard-response","75","117323","0.0-6.0-1.34","RHGA","3","f","rechts","19","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","76","117725","0.0-6.0-0.35","RHGA","3","f","rechts","19","","fixation","","","",""
"1135","img/60_330.png","70","image-keyboard-response","77","118861","0.0-6.0-1.35","RHGA","3","f","rechts","19","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","78","119262","0.0-6.0-0.36","RHGA","3","f","rechts","19","","fixation","","","",""
"850","img/90_300.png","70","image-keyboard-response","79","120113","0.0-6.0-1.36","RHGA","3","f","rechts","19","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","80","120414","0.0-6.0-0.37","RHGA","3","f","rechts","19","","fixation","","","",""
"839","img/30_240.png","70","image-keyboard-response","81","121254","0.0-6.0-1.37","RHGA","3","f","rechts","19","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","82","121706","0.0-6.0-0.38","RHGA","3","f","rechts","19","","fixation","","","",""
"780","img/90_150.png","70","image-keyboard-response","83","122487","0.0-6.0-1.38","RHGA","3","f","rechts","19","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","84","122938","0.0-6.0-0.39","RHGA","3","f","rechts","19","","fixation","","","",""
"819","img/30_120.png","70","image-keyboard-response","85","123758","0.0-6.0-1.39","RHGA","3","f","rechts","19","","","self","j","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","86","124059","0.0-6.0-0.40","RHGA","3","f","rechts","19","","fixation","","","",""
"1102","img/L30_180.png","70","image-keyboard-response","87","125163","0.0-6.0-1.40","RHGA","3","f","rechts","19","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","88","125663","0.0-6.0-0.41","RHGA","3","f","rechts","19","","fixation","","","",""
"732","img/150_180.png","74","image-keyboard-response","89","126396","0.0-6.0-1.41","RHGA","3","f","rechts","19","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","90","126797","0.0-6.0-0.42","RHGA","3","f","rechts","19","","fixation","","","",""
"666","img/120_210.png","74","image-keyboard-response","91","127464","0.0-6.0-1.42","RHGA","3","f","rechts","19","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","92","127765","0.0-6.0-0.43","RHGA","3","f","rechts","19","","fixation","","","",""
"724","img/150_300.png","74","image-keyboard-response","93","128491","0.0-6.0-1.43","RHGA","3","f","rechts","19","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","94","128792","0.0-6.0-0.44","RHGA","3","f","rechts","19","","fixation","","","",""
"775","img/90_210.png","74","image-keyboard-response","95","129568","0.0-6.0-1.44","RHGA","3","f","rechts","19","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","96","130069","0.0-6.0-0.45","RHGA","3","f","rechts","19","","fixation","","","",""
"632","img/0_330.png","70","image-keyboard-response","97","130702","0.0-6.0-1.45","RHGA","3","f","rechts","19","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","98","131103","0.0-6.0-0.46","RHGA","3","f","rechts","19","","fixation","","","",""
"587","img/0_240.png","70","image-keyboard-response","99","131691","0.0-6.0-1.46","RHGA","3","f","rechts","19","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","100","132192","0.0-6.0-0.47","RHGA","3","f","rechts","19","","fixation","","","",""
"1077","img/120_330.png","74","image-keyboard-response","101","133271","0.0-6.0-1.47","RHGA","3","f","rechts","19","","","self","f","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","102","133621","0.0-6.0-0.48","RHGA","3","f","rechts","19","","fixation","","","",""
"2015","img/60_30.png","74","image-keyboard-response","103","135637","0.0-6.0-1.48","RHGA","3","f","rechts","19","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","104","136039","0.0-6.0-0.49","RHGA","3","f","rechts","19","","fixation","","","",""
"867","img/120_30.png","74","image-keyboard-response","105","136906","0.0-6.0-1.49","RHGA","3","f","rechts","19","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","106","137207","0.0-6.0-0.50","RHGA","3","f","rechts","19","","fixation","","","",""
"1066","img/120_90.png","70","image-keyboard-response","107","138273","0.0-6.0-1.50","RHGA","3","f","rechts","19","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","108","138674","0.0-6.0-0.51","RHGA","3","f","rechts","19","","fixation","","","",""
"1250","img/60_270.png","70","image-keyboard-response","109","139925","0.0-6.0-1.51","RHGA","3","f","rechts","19","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","110","140276","0.0-6.0-0.52","RHGA","3","f","rechts","19","","fixation","","","",""
"928","img/30_120.png","70","image-keyboard-response","111","141204","0.0-6.0-1.52","RHGA","3","f","rechts","19","","","self","j","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","112","141605","0.0-6.0-0.53","RHGA","3","f","rechts","19","","fixation","","","",""
"921","img/120_270.png","74","image-keyboard-response","113","142526","0.0-6.0-1.53","RHGA","3","f","rechts","19","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","114","142877","0.0-6.0-0.54","RHGA","3","f","rechts","19","","fixation","","","",""
"752","img/90_180.png","74","image-keyboard-response","115","143629","0.0-6.0-1.54","RHGA","3","f","rechts","19","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","116","144030","0.0-6.0-0.55","RHGA","3","f","rechts","19","","fixation","","","",""
