"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"5192","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","72","html-keyboard-response","0","5194","0.0-0.0","SAST","3","f","links","18","","","","","",""
"4683","","","survey-text","1","9877","0.0-1.0","SAST","3","f","links","18","{""Q0"":""SAST""}","","","","",""
"2402","","","survey-text","2","12279","0.0-2.0","SAST","3","f","links","18","{""Q0"":""3""}","","","","",""
"3755","","","survey-multi-choice","3","16037","0.0-3.0","SAST","3","f","links","18","{""Q0"":""f"",""Q1"":""links""}","","","","",""
"2595","","","survey-text","4","18632","0.0-4.0","SAST","3","f","links","18","{""Q0"":""18""}","","","","",""
"29902","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","48535","0.0-5.0","SAST","3","f","links","18","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","49990","0.0-6.0-0.0","SAST","3","f","links","18","","fixation","","","",""
"776","img/120_180.png","70","image-keyboard-response","7","50769","0.0-6.0-1.0","SAST","3","f","links","18","","","self","j","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","51121","0.0-6.0-0.1","SAST","3","f","links","18","","fixation","","","",""
"929","img/60_180.png","70","image-keyboard-response","9","52052","0.0-6.0-1.1","SAST","3","f","links","18","","","self","j","60","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","52353","0.0-6.0-0.2","SAST","3","f","links","18","","fixation","","","",""
"1073","img/L120_180.png","74","image-keyboard-response","11","53427","0.0-6.0-1.2","SAST","3","f","links","18","","","self","f","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","53728","0.0-6.0-0.3","SAST","3","f","links","18","","fixation","","","",""
"678","img/30_240.png","70","image-keyboard-response","13","54408","0.0-6.0-1.3","SAST","3","f","links","18","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","54809","0.0-6.0-0.4","SAST","3","f","links","18","","fixation","","","",""
"1002","img/L150_180.png","74","image-keyboard-response","15","55813","0.0-6.0-1.4","SAST","3","f","links","18","","","self","f","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","56114","0.0-6.0-0.5","SAST","3","f","links","18","","fixation","","","",""
"1063","img/150_60.png","74","image-keyboard-response","17","57177","0.0-6.0-1.5","SAST","3","f","links","18","","","self","f","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","57629","0.0-6.0-0.6","SAST","3","f","links","18","","fixation","","","",""
"772","img/0_240.png","70","image-keyboard-response","19","58403","0.0-6.0-1.6","SAST","3","f","links","18","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","58704","0.0-6.0-0.7","SAST","3","f","links","18","","fixation","","","",""
"704","img/0_60.png","74","image-keyboard-response","21","59410","0.0-6.0-1.7","SAST","3","f","links","18","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","59711","0.0-6.0-0.8","SAST","3","f","links","18","","fixation","","","",""
"882","img/150_90.png","74","image-keyboard-response","23","60594","0.0-6.0-1.8","SAST","3","f","links","18","","","self","f","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","61096","0.0-6.0-0.9","SAST","3","f","links","18","","fixation","","","",""
"847","img/90_300.png","70","image-keyboard-response","25","61944","0.0-6.0-1.9","SAST","3","f","links","18","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","62296","0.0-6.0-0.10","SAST","3","f","links","18","","fixation","","","",""
"715","img/L90_180.png","74","image-keyboard-response","27","63012","0.0-6.0-1.10","SAST","3","f","links","18","","","self","f","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","63314","0.0-6.0-0.11","SAST","3","f","links","18","","fixation","","","",""
"959","img/150_180.png","70","image-keyboard-response","29","64274","0.0-6.0-1.11","SAST","3","f","links","18","","","self","j","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","64676","0.0-6.0-0.12","SAST","3","f","links","18","","fixation","","","",""
"746","img/30_270.png","70","image-keyboard-response","31","65423","0.0-6.0-1.12","SAST","3","f","links","18","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","65775","0.0-6.0-0.13","SAST","3","f","links","18","","fixation","","","",""
"775","img/90_150.png","74","image-keyboard-response","33","66551","0.0-6.0-1.13","SAST","3","f","links","18","","","self","f","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","66853","0.0-6.0-0.14","SAST","3","f","links","18","","fixation","","","",""
"906","img/120_150.png","74","image-keyboard-response","35","67760","0.0-6.0-1.14","SAST","3","f","links","18","","","self","f","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","68262","0.0-6.0-0.15","SAST","3","f","links","18","","fixation","","","",""
"988","img/30_180.png","70","image-keyboard-response","37","69251","0.0-6.0-1.15","SAST","3","f","links","18","","","self","j","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","69703","0.0-6.0-0.16","SAST","3","f","links","18","","fixation","","","",""
"875","img/L60_180.png","74","image-keyboard-response","39","70579","0.0-6.0-1.16","SAST","3","f","links","18","","","self","f","60","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","71031","0.0-6.0-0.17","SAST","3","f","links","18","","fixation","","","",""
"1098","img/120_270.png","70","image-keyboard-response","41","72130","0.0-6.0-1.17","SAST","3","f","links","18","","","self","j","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","72432","0.0-6.0-0.18","SAST","3","f","links","18","","fixation","","","",""
"1006","img/0_270.png","74","image-keyboard-response","43","73439","0.0-6.0-1.18","SAST","3","f","links","18","","","self","f","0","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","73841","0.0-6.0-0.19","SAST","3","f","links","18","","fixation","","","",""
"1061","img/0_210.png","70","image-keyboard-response","45","74902","0.0-6.0-1.19","SAST","3","f","links","18","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","75254","0.0-6.0-0.20","SAST","3","f","links","18","","fixation","","","",""
"958","img/90_330.png","70","image-keyboard-response","47","76213","0.0-6.0-1.20","SAST","3","f","links","18","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","76515","0.0-6.0-0.21","SAST","3","f","links","18","","fixation","","","",""
"1069","img/30_300.png","70","image-keyboard-response","49","77585","0.0-6.0-1.21","SAST","3","f","links","18","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","77887","0.0-6.0-0.22","SAST","3","f","links","18","","fixation","","","",""
"930","img/60_330.png","70","image-keyboard-response","51","78818","0.0-6.0-1.22","SAST","3","f","links","18","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","79219","0.0-6.0-0.23","SAST","3","f","links","18","","fixation","","","",""
"734","img/0_330.png","70","image-keyboard-response","53","79954","0.0-6.0-1.23","SAST","3","f","links","18","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","80356","0.0-6.0-0.24","SAST","3","f","links","18","","fixation","","","",""
"700","img/0_120.png","74","image-keyboard-response","55","81057","0.0-6.0-1.24","SAST","3","f","links","18","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","56","81409","0.0-6.0-0.25","SAST","3","f","links","18","","fixation","","","",""
"858","img/90_120.png","74","image-keyboard-response","57","82268","0.0-6.0-1.25","SAST","3","f","links","18","","","self","f","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","82720","0.0-6.0-0.26","SAST","3","f","links","18","","fixation","","","",""
"1092","img/30_120.png","74","image-keyboard-response","59","83812","0.0-6.0-1.26","SAST","3","f","links","18","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","60","84263","0.0-6.0-0.27","SAST","3","f","links","18","","fixation","","","",""
"900","img/120_330.png","70","image-keyboard-response","61","85164","0.0-6.0-1.27","SAST","3","f","links","18","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","62","85666","0.0-6.0-0.28","SAST","3","f","links","18","","fixation","","","",""
"1084","img/150_240.png","70","image-keyboard-response","63","86750","0.0-6.0-1.28","SAST","3","f","links","18","","","self","j","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","87102","0.0-6.0-0.29","SAST","3","f","links","18","","fixation","","","",""
"670","img/0_150.png","74","image-keyboard-response","65","87772","0.0-6.0-1.29","SAST","3","f","links","18","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","66","88124","0.0-6.0-0.30","SAST","3","f","links","18","","fixation","","","",""
"992","img/120_90.png","74","image-keyboard-response","67","89116","0.0-6.0-1.30","SAST","3","f","links","18","","","self","f","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","68","89517","0.0-6.0-0.31","SAST","3","f","links","18","","fixation","","","",""
"852","img/120_210.png","70","image-keyboard-response","69","90370","0.0-6.0-1.31","SAST","3","f","links","18","","","self","j","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","70","90872","0.0-6.0-0.32","SAST","3","f","links","18","","fixation","","","",""
"998","img/30_60.png","74","image-keyboard-response","71","91870","0.0-6.0-1.32","SAST","3","f","links","18","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","72","92322","0.0-6.0-0.33","SAST","3","f","links","18","","fixation","","","",""
"1242","img/60_270.png","70","image-keyboard-response","73","93566","0.0-6.0-1.33","SAST","3","f","links","18","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","74","93917","0.0-6.0-0.34","SAST","3","f","links","18","","fixation","","","",""
"962","img/0_90.png","74","image-keyboard-response","75","94880","0.0-6.0-1.34","SAST","3","f","links","18","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","76","95381","0.0-6.0-0.35","SAST","3","f","links","18","","fixation","","","",""
"1074","img/60_150.png","74","image-keyboard-response","77","96456","0.0-6.0-1.35","SAST","3","f","links","18","","","self","f","60","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","78","96808","0.0-6.0-0.36","SAST","3","f","links","18","","fixation","","","",""
"1064","img/90_30.png","74","image-keyboard-response","79","97873","0.0-6.0-1.36","SAST","3","f","links","18","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","80","98275","0.0-6.0-0.37","SAST","3","f","links","18","","fixation","","","",""
"894","img/60_30.png","74","image-keyboard-response","81","99171","0.0-6.0-1.37","SAST","3","f","links","18","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","82","99672","0.0-6.0-0.38","SAST","3","f","links","18","","fixation","","","",""
"969","img/0_300.png","70","image-keyboard-response","83","100643","0.0-6.0-1.38","SAST","3","f","links","18","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","84","100994","0.0-6.0-0.39","SAST","3","f","links","18","","fixation","","","",""
"1107","img/150_300.png","70","image-keyboard-response","85","102102","0.0-6.0-1.39","SAST","3","f","links","18","","","self","j","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","86","102404","0.0-6.0-0.40","SAST","3","f","links","18","","fixation","","","",""
"1254","img/150_120.png","74","image-keyboard-response","87","103659","0.0-6.0-1.40","SAST","3","f","links","18","","","self","f","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","88","104061","0.0-6.0-0.41","SAST","3","f","links","18","","fixation","","","",""
"896","img/60_210.png","70","image-keyboard-response","89","104959","0.0-6.0-1.41","SAST","3","f","links","18","","","self","j","60","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","90","105410","0.0-6.0-0.42","SAST","3","f","links","18","","fixation","","","",""
"794","img/30_90.png","74","image-keyboard-response","91","106206","0.0-6.0-1.42","SAST","3","f","links","18","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","92","106507","0.0-6.0-0.43","SAST","3","f","links","18","","fixation","","","",""
"828","img/90_210.png","70","image-keyboard-response","93","107337","0.0-6.0-1.43","SAST","3","f","links","18","","","self","j","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","94","107638","0.0-6.0-0.44","SAST","3","f","links","18","","fixation","","","",""
"921","img/L30_180.png","74","image-keyboard-response","95","108562","0.0-6.0-1.44","SAST","3","f","links","18","","","self","f","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","96","109013","0.0-6.0-0.45","SAST","3","f","links","18","","fixation","","","",""
"787","img/90_180.png","70","image-keyboard-response","97","109801","0.0-6.0-1.45","SAST","3","f","links","18","","","self","j","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","98","110102","0.0-6.0-0.46","SAST","3","f","links","18","","fixation","","","",""
"854","img/0_30.png","74","image-keyboard-response","99","110957","0.0-6.0-1.46","SAST","3","f","links","18","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","100","111359","0.0-6.0-0.47","SAST","3","f","links","18","","fixation","","","",""
"777","img/90_240.png","70","image-keyboard-response","101","112137","0.0-6.0-1.47","SAST","3","f","links","18","","","self","j","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","102","112639","0.0-6.0-0.48","SAST","3","f","links","18","","fixation","","","",""
"820","img/60_90.png","74","image-keyboard-response","103","113460","0.0-6.0-1.48","SAST","3","f","links","18","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","104","113762","0.0-6.0-0.49","SAST","3","f","links","18","","fixation","","","",""
"1064","img/150_270.png","70","image-keyboard-response","105","114827","0.0-6.0-1.49","SAST","3","f","links","18","","","self","j","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","106","115129","0.0-6.0-0.50","SAST","3","f","links","18","","fixation","","","",""
"932","img/120_30.png","74","image-keyboard-response","107","116062","0.0-6.0-1.50","SAST","3","f","links","18","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","108","116464","0.0-6.0-0.51","SAST","3","f","links","18","","fixation","","","",""
"907","img/90_60.png","74","image-keyboard-response","109","117372","0.0-6.0-1.51","SAST","3","f","links","18","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","110","117674","0.0-6.0-0.52","SAST","3","f","links","18","","fixation","","","",""
"865","img/60_270.png","70","image-keyboard-response","111","118540","0.0-6.0-1.52","SAST","3","f","links","18","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","112","118842","0.0-6.0-0.53","SAST","3","f","links","18","","fixation","","","",""
"907","img/30_60.png","74","image-keyboard-response","113","119749","0.0-6.0-1.53","SAST","3","f","links","18","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","114","120251","0.0-6.0-0.54","SAST","3","f","links","18","","fixation","","","",""
"1066","img/150_180.png","70","image-keyboard-response","115","121318","0.0-6.0-1.54","SAST","3","f","links","18","","","self","j","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","116","121820","0.0-6.0-0.55","SAST","3","f","links","18","","fixation","","","",""
"672","img/0_120.png","74","image-keyboard-response","117","122492","0.0-6.0-1.55","SAST","3","f","links","18","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","118","122993","0.0-6.0-0.56","SAST","3","f","links","18","","fixation","","","",""
"770","img/60_90.png","74","image-keyboard-response","119","123764","0.0-6.0-1.56","SAST","3","f","links","18","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","120","124266","0.0-6.0-0.57","SAST","3","f","links","18","","fixation","","","",""
"1075","img/L90_180.png","74","image-keyboard-response","121","125341","0.0-6.0-1.57","SAST","3","f","links","18","","","self","f","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","122","125742","0.0-6.0-0.58","SAST","3","f","links","18","","fixation","","","",""
"1091","img/150_90.png","70","image-keyboard-response","123","126834","0.0-6.0-1.58","SAST","3","f","links","18","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","124","127286","0.0-6.0-0.59","SAST","3","f","links","18","","fixation","","","",""
"649","img/90_60.png","74","image-keyboard-response","125","127935","0.0-6.0-1.59","SAST","3","f","links","18","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","126","128236","0.0-6.0-0.60","SAST","3","f","links","18","","fixation","","","",""
"1103","img/120_210.png","70","image-keyboard-response","127","129340","0.0-6.0-1.60","SAST","3","f","links","18","","","self","j","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","128","129792","0.0-6.0-0.61","SAST","3","f","links","18","","fixation","","","",""
"923","img/30_180.png","70","image-keyboard-response","129","130715","0.0-6.0-1.61","SAST","3","f","links","18","","","self","j","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","130","131117","0.0-6.0-0.62","SAST","3","f","links","18","","fixation","","","",""
"847","img/120_150.png","74","image-keyboard-response","131","131964","0.0-6.0-1.62","SAST","3","f","links","18","","","self","f","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","132","132316","0.0-6.0-0.63","SAST","3","f","links","18","","fixation","","","",""
"934","img/150_300.png","70","image-keyboard-response","133","133250","0.0-6.0-1.63","SAST","3","f","links","18","","","self","j","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","134","133552","0.0-6.0-0.64","SAST","3","f","links","18","","fixation","","","",""
"1211","img/60_30.png","74","image-keyboard-response","135","134763","0.0-6.0-1.64","SAST","3","f","links","18","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","136","135215","0.0-6.0-0.65","SAST","3","f","links","18","","fixation","","","",""
"766","img/0_240.png","70","image-keyboard-response","137","135981","0.0-6.0-1.65","SAST","3","f","links","18","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","138","136482","0.0-6.0-0.66","SAST","3","f","links","18","","fixation","","","",""
"976","img/L60_180.png","74","image-keyboard-response","139","137458","0.0-6.0-1.66","SAST","3","f","links","18","","","self","f","60","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","140","137910","0.0-6.0-0.67","SAST","3","f","links","18","","fixation","","","",""
"821","img/90_330.png","70","image-keyboard-response","141","138732","0.0-6.0-1.67","SAST","3","f","links","18","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","142","139133","0.0-6.0-0.68","SAST","3","f","links","18","","fixation","","","",""
"936","img/150_270.png","70","image-keyboard-response","143","140070","0.0-6.0-1.68","SAST","3","f","links","18","","","self","j","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","144","140471","0.0-6.0-0.69","SAST","3","f","links","18","","fixation","","","",""
"772","img/30_270.png","70","image-keyboard-response","145","141243","0.0-6.0-1.69","SAST","3","f","links","18","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","146","141595","0.0-6.0-0.70","SAST","3","f","links","18","","fixation","","","",""
"673","img/30_120.png","74","image-keyboard-response","147","142269","0.0-6.0-1.70","SAST","3","f","links","18","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","148","142620","0.0-6.0-0.71","SAST","3","f","links","18","","fixation","","","",""
"766","img/0_60.png","74","image-keyboard-response","149","143388","0.0-6.0-1.71","SAST","3","f","links","18","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","150","143839","0.0-6.0-0.72","SAST","3","f","links","18","","fixation","","","",""
"829","img/L150_180.png","74","image-keyboard-response","151","144669","0.0-6.0-1.72","SAST","3","f","links","18","","","self","f","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","152","145071","0.0-6.0-0.73","SAST","3","f","links","18","","fixation","","","",""
"932","img/60_150.png","74","image-keyboard-response","153","146003","0.0-6.0-1.73","SAST","3","f","links","18","","","self","f","60","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","154","146454","0.0-6.0-0.74","SAST","3","f","links","18","","fixation","","","",""
"1069","img/120_270.png","70","image-keyboard-response","155","147524","0.0-6.0-1.74","SAST","3","f","links","18","","","self","j","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","156","147825","0.0-6.0-0.75","SAST","3","f","links","18","","fixation","","","",""
"847","img/90_210.png","70","image-keyboard-response","157","148673","0.0-6.0-1.75","SAST","3","f","links","18","","","self","j","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","158","148974","0.0-6.0-0.76","SAST","3","f","links","18","","fixation","","","",""
"1084","img/60_210.png","70","image-keyboard-response","159","150060","0.0-6.0-1.76","SAST","3","f","links","18","","","self","j","60","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","160","150561","0.0-6.0-0.77","SAST","3","f","links","18","","fixation","","","",""
"768","img/90_240.png","70","image-keyboard-response","161","151331","0.0-6.0-1.77","SAST","3","f","links","18","","","self","j","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","162","151632","0.0-6.0-0.78","SAST","3","f","links","18","","fixation","","","",""
"948","img/150_240.png","70","image-keyboard-response","163","152582","0.0-6.0-1.78","SAST","3","f","links","18","","","self","j","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","164","153083","0.0-6.0-0.79","SAST","3","f","links","18","","fixation","","","",""
"823","img/0_270.png","70","image-keyboard-response","165","153907","0.0-6.0-1.79","SAST","3","f","links","18","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","166","154409","0.0-6.0-0.80","SAST","3","f","links","18","","fixation","","","",""
"942","img/90_120.png","74","image-keyboard-response","167","155353","0.0-6.0-1.80","SAST","3","f","links","18","","","self","f","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","168","155854","0.0-6.0-0.81","SAST","3","f","links","18","","fixation","","","",""
"986","img/60_180.png","70","image-keyboard-response","169","156842","0.0-6.0-1.81","SAST","3","f","links","18","","","self","j","60","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","170","157143","0.0-6.0-0.82","SAST","3","f","links","18","","fixation","","","",""
"929","img/L120_180.png","74","image-keyboard-response","171","158073","0.0-6.0-1.82","SAST","3","f","links","18","","","self","f","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","172","158425","0.0-6.0-0.83","SAST","3","f","links","18","","fixation","","","",""
"1132","img/0_300.png","74","image-keyboard-response","173","159558","0.0-6.0-1.83","SAST","3","f","links","18","","","self","f","0","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","174","159860","0.0-6.0-0.84","SAST","3","f","links","18","","fixation","","","",""
"985","img/90_300.png","70","image-keyboard-response","175","160846","0.0-6.0-1.84","SAST","3","f","links","18","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","176","161148","0.0-6.0-0.85","SAST","3","f","links","18","","fixation","","","",""
