"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1262","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","13","html-keyboard-response","0","1288","0.0-0.0","SOBA","3","f","rechts","21","","","","","",""
"15812","","","survey-text","1","17102","0.0-1.0","SOBA","3","f","rechts","21","{""Q0"":""SOBA""}","","","","",""
"3053","","","survey-text","2","20158","0.0-2.0","SOBA","3","f","rechts","21","{""Q0"":""3""}","","","","",""
"3359","","","survey-multi-choice","3","23522","0.0-3.0","SOBA","3","f","rechts","21","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"16490","","","survey-text","4","40014","0.0-4.0","SOBA","3","f","rechts","21","{""Q0"":""21""}","","","","",""
"69066","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","32","html-keyboard-response","5","109088","0.0-5.0","SOBA","3","f","rechts","21","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","110425","0.0-6.0-0.0","SOBA","3","f","rechts","21","","fixation","","","",""
"1634","img/90_180.png","70","image-keyboard-response","7","112079","0.0-6.0-1.0","SOBA","3","f","rechts","21","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","112532","0.0-6.0-0.1","SOBA","3","f","rechts","21","","fixation","","","",""
"1448","img/90_30.png","70","image-keyboard-response","9","113998","0.0-6.0-1.1","SOBA","3","f","rechts","21","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","114308","0.0-6.0-0.2","SOBA","3","f","rechts","21","","fixation","","","",""
"1078","img/0_300.png","70","image-keyboard-response","11","115403","0.0-6.0-1.2","SOBA","3","f","rechts","21","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","115909","0.0-6.0-0.3","SOBA","3","f","rechts","21","","fixation","","","",""
"1467","img/60_150.png","74","image-keyboard-response","13","117383","0.0-6.0-1.3","SOBA","3","f","rechts","21","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","117839","0.0-6.0-0.4","SOBA","3","f","rechts","21","","fixation","","","",""
"1631","img/30_300.png","70","image-keyboard-response","15","119488","0.0-6.0-1.4","SOBA","3","f","rechts","21","","","object","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","119940","0.0-6.0-0.5","SOBA","3","f","rechts","21","","fixation","","","",""
"1072","img/0_60.png","74","image-keyboard-response","17","121029","0.0-6.0-1.5","SOBA","3","f","rechts","21","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","121538","0.0-6.0-0.6","SOBA","3","f","rechts","21","","fixation","","","",""
"1622","img/L150_180.png","74","image-keyboard-response","19","123178","0.0-6.0-1.6","SOBA","3","f","rechts","21","","","object","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","123634","0.0-6.0-0.7","SOBA","3","f","rechts","21","","fixation","","","",""
"1731","img/120_210.png","70","image-keyboard-response","21","125384","0.0-6.0-1.7","SOBA","3","f","rechts","21","","","object","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","125851","0.0-6.0-0.8","SOBA","3","f","rechts","21","","fixation","","","",""
"1648","img/120_150.png","74","image-keyboard-response","23","127520","0.0-6.0-1.8","SOBA","3","f","rechts","21","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","127975","0.0-6.0-0.9","SOBA","3","f","rechts","21","","fixation","","","",""
"1486","img/120_270.png","74","image-keyboard-response","25","129479","0.0-6.0-1.9","SOBA","3","f","rechts","21","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","129984","0.0-6.0-0.10","SOBA","3","f","rechts","21","","fixation","","","",""
"1795","img/90_120.png","74","image-keyboard-response","27","131796","0.0-6.0-1.10","SOBA","3","f","rechts","21","","","object","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","132320","0.0-6.0-0.11","SOBA","3","f","rechts","21","","fixation","","","",""
"1583","img/60_90.png","74","image-keyboard-response","29","133922","0.0-6.0-1.11","SOBA","3","f","rechts","21","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","134388","0.0-6.0-0.12","SOBA","3","f","rechts","21","","fixation","","","",""
"1259","img/30_120.png","74","image-keyboard-response","31","135666","0.0-6.0-1.12","SOBA","3","f","rechts","21","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","136173","0.0-6.0-0.13","SOBA","3","f","rechts","21","","fixation","","","",""
"1521","img/30_60.png","74","image-keyboard-response","33","137712","0.0-6.0-1.13","SOBA","3","f","rechts","21","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","138168","0.0-6.0-0.14","SOBA","3","f","rechts","21","","fixation","","","",""
"1526","img/120_90.png","70","image-keyboard-response","35","139713","0.0-6.0-1.14","SOBA","3","f","rechts","21","","","object","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","140128","0.0-6.0-0.15","SOBA","3","f","rechts","21","","fixation","","","",""
