"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1135","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","13","html-keyboard-response","0","1155","0.0-0.0","SOBA","1","f","rechts","21","","","","","",""
"3484","","","survey-text","1","4641","0.0-1.0","SOBA","1","f","rechts","21","{""Q0"":""SOBA""}","","","","",""
"2589","","","survey-text","2","7232","0.0-2.0","SOBA","1","f","rechts","21","{""Q0"":""1""}","","","","",""
"5752","","","survey-multi-choice","3","12992","0.0-3.0","SOBA","1","f","rechts","21","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"3015","","","survey-text","4","16007","0.0-4.0","SOBA","1","f","rechts","21","{""Q0"":""21""}","","","","",""
"34844","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","32","html-keyboard-response","5","50859","0.0-5.0","SOBA","1","f","rechts","21","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","52243","0.0-6.0-0.0","SOBA","1","f","rechts","21","","fixation","","","",""
"2438","img/30_270.png","70","image-keyboard-response","7","54702","0.0-6.0-1.0","SOBA","1","f","rechts","21","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","55152","0.0-6.0-0.1","SOBA","1","f","rechts","21","","fixation","","","",""
"2380","img/150_120.png","70","image-keyboard-response","9","57549","0.0-6.0-1.1","SOBA","1","f","rechts","21","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","58015","0.0-6.0-0.2","SOBA","1","f","rechts","21","","fixation","","","",""
"2281","img/30_240.png","70","image-keyboard-response","11","60316","0.0-6.0-1.2","SOBA","1","f","rechts","21","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","60688","0.0-6.0-0.3","SOBA","1","f","rechts","21","","fixation","","","",""
"1563","img/30_60.png","74","image-keyboard-response","13","62269","0.0-6.0-1.3","SOBA","1","f","rechts","21","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","62778","0.0-6.0-0.4","SOBA","1","f","rechts","21","","fixation","","","",""
"1048","img/0_330.png","70","image-keyboard-response","15","63845","0.0-6.0-1.4","SOBA","1","f","rechts","21","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","64309","0.0-6.0-0.5","SOBA","1","f","rechts","21","","fixation","","","",""
"1858","img/90_60.png","74","image-keyboard-response","17","66186","0.0-6.0-1.5","SOBA","1","f","rechts","21","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","66700","0.0-6.0-0.6","SOBA","1","f","rechts","21","","fixation","","","",""
"1389","img/60_90.png","74","image-keyboard-response","19","68109","0.0-6.0-1.6","SOBA","1","f","rechts","21","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","68575","0.0-6.0-0.7","SOBA","1","f","rechts","21","","fixation","","","",""
"1734","img/60_30.png","74","image-keyboard-response","21","70326","0.0-6.0-1.7","SOBA","1","f","rechts","21","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","70730","0.0-6.0-0.8","SOBA","1","f","rechts","21","","fixation","","","",""
"1721","img/L120_180.png","70","image-keyboard-response","23","72472","0.0-6.0-1.8","SOBA","1","f","rechts","21","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","72890","0.0-6.0-0.9","SOBA","1","f","rechts","21","","fixation","","","",""
"1421","img/90_120.png","70","image-keyboard-response","25","74330","0.0-6.0-1.9","SOBA","1","f","rechts","21","","","self","f","90","true"
