"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"2149","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","70","html-keyboard-response","0","2152","0.0-0.0","SORE","4","f","rechts","24","","","","","",""
"3696","","","survey-text","1","5849","0.0-1.0","SORE","4","f","rechts","24","{""Q0"":""SORE""}","","","","",""
"1852","","","survey-text","2","7703","0.0-2.0","SORE","4","f","rechts","24","{""Q0"":""4""}","","","","",""
"3322","","","survey-multi-choice","3","11028","0.0-3.0","SORE","4","f","rechts","24","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"1979","","","survey-text","4","13008","0.0-4.0","SORE","4","f","rechts","24","{""Q0"":""24""}","","","","",""
"13296","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","32","html-keyboard-response","5","26306","0.0-5.0","SORE","4","f","rechts","24","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","27610","0.0-6.0-0.0","SORE","4","f","rechts","24","","fixation","","","",""
"1079","img/0_240.png","70","image-keyboard-response","7","28692","0.0-6.0-1.0","SORE","4","f","rechts","24","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","29044","0.0-6.0-0.1","SORE","4","f","rechts","24","","fixation","","","",""
"800","img/L150_180.png","74","image-keyboard-response","9","29845","0.0-6.0-1.1","SORE","4","f","rechts","24","","","object","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","30197","0.0-6.0-0.2","SORE","4","f","rechts","24","","fixation","","","",""
"849","img/60_180.png","70","image-keyboard-response","11","31048","0.0-6.0-1.2","SORE","4","f","rechts","24","","","object","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","31549","0.0-6.0-0.3","SORE","4","f","rechts","24","","fixation","","","",""
"778","img/0_90.png","74","image-keyboard-response","13","32329","0.0-6.0-1.3","SORE","4","f","rechts","24","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","32679","0.0-6.0-0.4","SORE","4","f","rechts","24","","fixation","","","",""
"785","img/150_240.png","74","image-keyboard-response","15","33467","0.0-6.0-1.4","SORE","4","f","rechts","24","","","object","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","33918","0.0-6.0-0.5","SORE","4","f","rechts","24","","fixation","","","",""
"795","img/120_150.png","70","image-keyboard-response","17","34715","0.0-6.0-1.5","SORE","4","f","rechts","24","","","object","j","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","35016","0.0-6.0-0.6","SORE","4","f","rechts","24","","fixation","","","",""
