"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1299","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","72","html-keyboard-response","0","1299","0.0-0.0","SORE","3","f","rechts","24","","","","","",""
"6072","","","survey-text","1","7373","0.0-1.0","SORE","3","f","rechts","24","{""Q0"":""SORE""}","","","","",""
"11461","","","survey-text","2","18836","0.0-2.0","SORE","3","f","rechts","24","{""Q0"":""3""}","","","","",""
"10906","","","survey-multi-choice","3","29744","0.0-3.0","SORE","3","f","rechts","24","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"3897","","","survey-text","4","33642","0.0-4.0","SORE","3","f","rechts","24","{""Q0"":""24""}","","","","",""
"132279","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","32","html-keyboard-response","5","165921","0.0-5.0","SORE","3","f","rechts","24","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","167375","0.0-6.0-0.0","SORE","3","f","rechts","24","","fixation","","","",""
"801","img/0_60.png","74","image-keyboard-response","7","168177","0.0-6.0-1.0","SORE","3","f","rechts","24","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","168479","0.0-6.0-0.1","SORE","3","f","rechts","24","","fixation","","","",""
"1543","img/30_120.png","74","image-keyboard-response","9","170023","0.0-6.0-1.1","SORE","3","f","rechts","24","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","170325","0.0-6.0-0.2","SORE","3","f","rechts","24","","fixation","","","",""
"1050","img/150_240.png","74","image-keyboard-response","11","171376","0.0-6.0-1.2","SORE","3","f","rechts","24","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","171778","0.0-6.0-0.3","SORE","3","f","rechts","24","","fixation","","","",""
"1047","img/30_300.png","70","image-keyboard-response","13","172827","0.0-6.0-1.3","SORE","3","f","rechts","24","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","173228","0.0-6.0-0.4","SORE","3","f","rechts","24","","fixation","","","",""
"1937","img/120_330.png","74","image-keyboard-response","15","175166","0.0-6.0-1.4","SORE","3","f","rechts","24","","","self","f","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","175518","0.0-6.0-0.5","SORE","3","f","rechts","24","","fixation","","","",""
"1064","img/150_300.png","74","image-keyboard-response","17","176583","0.0-6.0-1.5","SORE","3","f","rechts","24","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","176985","0.0-6.0-0.6","SORE","3","f","rechts","24","","fixation","","","",""
"1065","img/60_150.png","70","image-keyboard-response","19","178051","0.0-6.0-1.6","SORE","3","f","rechts","24","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","178452","0.0-6.0-0.7","SORE","3","f","rechts","24","","fixation","","","",""
"858","img/0_90.png","74","image-keyboard-response","21","179311","0.0-6.0-1.7","SORE","3","f","rechts","24","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","179763","0.0-6.0-0.8","SORE","3","f","rechts","24","","fixation","","","",""
"969","img/120_270.png","74","image-keyboard-response","23","180733","0.0-6.0-1.8","SORE","3","f","rechts","24","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","181085","0.0-6.0-0.9","SORE","3","f","rechts","24","","fixation","","","",""
"1092","img/90_150.png","70","image-keyboard-response","25","182178","0.0-6.0-1.9","SORE","3","f","rechts","24","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","182528","0.0-6.0-0.10","SORE","3","f","rechts","24","","fixation","","","",""
"1081","img/120_150.png","70","image-keyboard-response","27","183610","0.0-6.0-1.10","SORE","3","f","rechts","24","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","184060","0.0-6.0-0.11","SORE","3","f","rechts","24","","fixation","","","",""
"868","img/0_270.png","70","image-keyboard-response","29","184929","0.0-6.0-1.11","SORE","3","f","rechts","24","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","185230","0.0-6.0-0.12","SORE","3","f","rechts","24","","fixation","","","",""
"979","img/120_90.png","70","image-keyboard-response","31","186210","0.0-6.0-1.12","SORE","3","f","rechts","24","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","186661","0.0-6.0-0.13","SORE","3","f","rechts","24","","fixation","","","",""
"892","img/150_270.png","74","image-keyboard-response","33","187554","0.0-6.0-1.13","SORE","3","f","rechts","24","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","188056","0.0-6.0-0.14","SORE","3","f","rechts","24","","fixation","","","",""
"1058","img/90_210.png","74","image-keyboard-response","35","189115","0.0-6.0-1.14","SORE","3","f","rechts","24","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","189616","0.0-6.0-0.15","SORE","3","f","rechts","24","","fixation","","","",""
"989","img/0_240.png","70","image-keyboard-response","37","190606","0.0-6.0-1.15","SORE","3","f","rechts","24","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","190957","0.0-6.0-0.16","SORE","3","f","rechts","24","","fixation","","","",""
"1072","img/30_240.png","74","image-keyboard-response","39","192030","0.0-6.0-1.16","SORE","3","f","rechts","24","","","self","f","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","192332","0.0-6.0-0.17","SORE","3","f","rechts","24","","fixation","","","",""
"1303","img/90_60.png","74","image-keyboard-response","41","193636","0.0-6.0-1.17","SORE","3","f","rechts","24","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","193988","0.0-6.0-0.18","SORE","3","f","rechts","24","","fixation","","","",""
"1225","img/150_60.png","70","image-keyboard-response","43","195215","0.0-6.0-1.18","SORE","3","f","rechts","24","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","195616","0.0-6.0-0.19","SORE","3","f","rechts","24","","fixation","","","",""
"1003","img/120_210.png","74","image-keyboard-response","45","196621","0.0-6.0-1.19","SORE","3","f","rechts","24","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","197121","0.0-6.0-0.20","SORE","3","f","rechts","24","","fixation","","","",""
"1053","img/120_180.png","74","image-keyboard-response","47","198175","0.0-6.0-1.20","SORE","3","f","rechts","24","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","198477","0.0-6.0-0.21","SORE","3","f","rechts","24","","fixation","","","",""
"1006","img/0_150.png","74","image-keyboard-response","49","199484","0.0-6.0-1.21","SORE","3","f","rechts","24","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","199986","0.0-6.0-0.22","SORE","3","f","rechts","24","","fixation","","","",""
"945","img/60_180.png","74","image-keyboard-response","51","200933","0.0-6.0-1.22","SORE","3","f","rechts","24","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","201334","0.0-6.0-0.23","SORE","3","f","rechts","24","","fixation","","","",""
"1125","img/60_330.png","70","image-keyboard-response","53","202460","0.0-6.0-1.23","SORE","3","f","rechts","24","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","202912","0.0-6.0-0.24","SORE","3","f","rechts","24","","fixation","","","",""
"840","img/30_180.png","74","image-keyboard-response","55","203753","0.0-6.0-1.24","SORE","3","f","rechts","24","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","56","204255","0.0-6.0-0.25","SORE","3","f","rechts","24","","fixation","","","",""
"1374","img/60_30.png","74","image-keyboard-response","57","205630","0.0-6.0-1.25","SORE","3","f","rechts","24","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","205932","0.0-6.0-0.26","SORE","3","f","rechts","24","","fixation","","","",""
"1150","img/60_270.png","74","image-keyboard-response","59","207083","0.0-6.0-1.26","SORE","3","f","rechts","24","","","self","f","60","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","60","207485","0.0-6.0-0.27","SORE","3","f","rechts","24","","fixation","","","",""
"1082","img/L30_180.png","70","image-keyboard-response","61","208568","0.0-6.0-1.27","SORE","3","f","rechts","24","","","self","f","30","true"
