"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"2961","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","13","html-keyboard-response","0","2995","0.0-0.0","VASC","4","f","rechts","21","","","","","",""
"8703","","","survey-text","1","11701","0.0-1.0","VASC","4","f","rechts","21","{""Q0"":""VASC""}","","","","",""
"5024","","","survey-text","2","16726","0.0-2.0","VASC","4","f","rechts","21","{""Q0"":""4""}","","","","",""
"6297","","","survey-multi-choice","3","23028","0.0-3.0","VASC","4","f","rechts","21","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"3485","","","survey-text","4","26514","0.0-4.0","VASC","4","f","rechts","21","{""Q0"":""21""}","","","","",""
"70209","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","13","html-keyboard-response","5","96731","0.0-5.0","VASC","4","f","rechts","21","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","98198","0.0-6.0-0.0","VASC","4","f","rechts","21","","fixation","","","",""
"2102","img/150_120.png","70","image-keyboard-response","7","100320","0.0-6.0-1.0","VASC","4","f","rechts","21","","","object","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","100788","0.0-6.0-0.1","VASC","4","f","rechts","21","","fixation","","","",""
"930","img/60_150.png","74","image-keyboard-response","9","101735","0.0-6.0-1.1","VASC","4","f","rechts","21","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","102241","0.0-6.0-0.2","VASC","4","f","rechts","21","","fixation","","","",""
"817","img/90_300.png","74","image-keyboard-response","11","103076","0.0-6.0-1.2","VASC","4","f","rechts","21","","","object","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","103444","0.0-6.0-0.3","VASC","4","f","rechts","21","","fixation","","","",""
"1222","img/L30_180.png","74","image-keyboard-response","13","104683","0.0-6.0-1.3","VASC","4","f","rechts","21","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","105146","0.0-6.0-0.4","VASC","4","f","rechts","21","","fixation","","","",""
