"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1982","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","13","html-keyboard-response","0","2017","0.0-0.0","VIDE","1","m","rechts","23","","","","","",""
"11952","","","survey-text","1","13971","0.0-1.0","VIDE","1","m","rechts","23","{""Q0"":""VIDE""}","","","","",""
"5800","","","survey-text","2","19772","0.0-2.0","VIDE","1","m","rechts","23","{""Q0"":""1""}","","","","",""
"5306","","","survey-multi-choice","3","25084","0.0-3.0","VIDE","1","m","rechts","23","{""Q0"":""m"",""Q1"":""rechts""}","","","","",""
"3249","","","survey-text","4","28335","0.0-4.0","VIDE","1","m","rechts","23","{""Q0"":""23""}","","","","",""
"33421","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","70","html-keyboard-response","5","61764","0.0-5.0","VIDE","1","m","rechts","23","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","63152","0.0-6.0-0.0","VIDE","1","m","rechts","23","","fixation","","","",""
"1562","img/120_210.png","74","image-keyboard-response","7","64724","0.0-6.0-1.0","VIDE","1","m","rechts","23","","","object","f","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","65252","0.0-6.0-0.1","VIDE","1","m","rechts","23","","fixation","","","",""
"2715","img/60_330.png","74","image-keyboard-response","9","67987","0.0-6.0-1.1","VIDE","1","m","rechts","23","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","68515","0.0-6.0-0.2","VIDE","1","m","rechts","23","","fixation","","","",""
"2242","img/30_240.png","70","image-keyboard-response","11","70775","0.0-6.0-1.2","VIDE","1","m","rechts","23","","","object","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","71131","0.0-6.0-0.3","VIDE","1","m","rechts","23","","fixation","","","",""
"2809","img/60_30.png","70","image-keyboard-response","13","73950","0.0-6.0-1.3","VIDE","1","m","rechts","23","","","object","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","74413","0.0-6.0-0.4","VIDE","1","m","rechts","23","","fixation","","","",""
"2685","img/120_150.png","74","image-keyboard-response","15","77118","0.0-6.0-1.4","VIDE","1","m","rechts","23","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","77538","0.0-6.0-0.5","VIDE","1","m","rechts","23","","fixation","","","",""
"1338","img/0_300.png","70","image-keyboard-response","17","78893","0.0-6.0-1.5","VIDE","1","m","rechts","23","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","79413","0.0-6.0-0.6","VIDE","1","m","rechts","23","","fixation","","","",""
"2167","img/30_90.png","74","image-keyboard-response","19","81598","0.0-6.0-1.6","VIDE","1","m","rechts","23","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","82110","0.0-6.0-0.7","VIDE","1","m","rechts","23","","fixation","","","",""
"1503","img/120_270.png","74","image-keyboard-response","21","83630","0.0-6.0-1.7","VIDE","1","m","rechts","23","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","83984","0.0-6.0-0.8","VIDE","1","m","rechts","23","","fixation","","","",""
"1489","img/30_180.png","70","image-keyboard-response","23","85486","0.0-6.0-1.8","VIDE","1","m","rechts","23","","","object","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","86015","0.0-6.0-0.9","VIDE","1","m","rechts","23","","fixation","","","",""
"1726","img/L60_180.png","74","image-keyboard-response","25","87759","0.0-6.0-1.9","VIDE","1","m","rechts","23","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","88170","0.0-6.0-0.10","VIDE","1","m","rechts","23","","fixation","","","",""
"1176","img/0_150.png","74","image-keyboard-response","27","89356","0.0-6.0-1.10","VIDE","1","m","rechts","23","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","89717","0.0-6.0-0.11","VIDE","1","m","rechts","23","","fixation","","","",""
"1626","img/120_90.png","70","image-keyboard-response","29","91360","0.0-6.0-1.11","VIDE","1","m","rechts","23","","","object","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","91720","0.0-6.0-0.12","VIDE","1","m","rechts","23","","fixation","","","",""
"1195","img/0_270.png","70","image-keyboard-response","31","92932","0.0-6.0-1.12","VIDE","1","m","rechts","23","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","93391","0.0-6.0-0.13","VIDE","1","m","rechts","23","","fixation","","","",""
