"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"5476","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","32","html-keyboard-response","0","5514","0.0-0.0","VIDE","3","m","rechts","23","","","","","",""
"5347","","","survey-text","1","10865","0.0-1.0","VIDE","3","m","rechts","23","{""Q0"":""VIDE""}","","","","",""
"6107","","","survey-text","2","16973","0.0-2.0","VIDE","3","m","rechts","23","{""Q0"":""3""}","","","","",""
"6767","","","survey-multi-choice","3","23747","0.0-3.0","VIDE","3","m","rechts","23","{""Q0"":""m"",""Q1"":""rechts""}","","","","",""
"2775","","","survey-text","4","26526","0.0-4.0","VIDE","3","m","rechts","23","{""Q0"":""23""}","","","","",""
"44188","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","70724","0.0-5.0","VIDE","3","m","rechts","23","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","72157","0.0-6.0-0.0","VIDE","3","m","rechts","23","","fixation","","","",""
"1222","img/120_270.png","74","image-keyboard-response","7","73400","0.0-6.0-1.0","VIDE","3","m","rechts","23","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","73881","0.0-6.0-0.1","VIDE","3","m","rechts","23","","fixation","","","",""
"656","img/0_30.png","74","image-keyboard-response","9","74555","0.0-6.0-1.1","VIDE","3","m","rechts","23","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","75085","0.0-6.0-0.2","VIDE","3","m","rechts","23","","fixation","","","",""
"632","img/150_180.png","74","image-keyboard-response","11","75735","0.0-6.0-1.2","VIDE","3","m","rechts","23","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","76147","0.0-6.0-0.3","VIDE","3","m","rechts","23","","fixation","","","",""
"819","img/150_240.png","74","image-keyboard-response","13","76982","0.0-6.0-1.3","VIDE","3","m","rechts","23","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","77287","0.0-6.0-0.4","VIDE","3","m","rechts","23","","fixation","","","",""
"1221","img/150_60.png","70","image-keyboard-response","15","78526","0.0-6.0-1.4","VIDE","3","m","rechts","23","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","78881","0.0-6.0-0.5","VIDE","3","m","rechts","23","","fixation","","","",""
"910","img/90_30.png","74","image-keyboard-response","17","79809","0.0-6.0-1.5","VIDE","3","m","rechts","23","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","80180","0.0-6.0-0.6","VIDE","3","m","rechts","23","","fixation","","","",""
"883","img/120_150.png","70","image-keyboard-response","19","81080","0.0-6.0-1.6","VIDE","3","m","rechts","23","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","81397","0.0-6.0-0.7","VIDE","3","m","rechts","23","","fixation","","","",""
"1127","img/30_240.png","74","image-keyboard-response","21","82543","0.0-6.0-1.7","VIDE","3","m","rechts","23","","","self","f","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","82852","0.0-6.0-0.8","VIDE","3","m","rechts","23","","fixation","","","",""
"968","img/150_300.png","74","image-keyboard-response","23","83838","0.0-6.0-1.8","VIDE","3","m","rechts","23","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","84241","0.0-6.0-0.9","VIDE","3","m","rechts","23","","fixation","","","",""
"781","img/60_180.png","74","image-keyboard-response","25","85040","0.0-6.0-1.9","VIDE","3","m","rechts","23","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","85350","0.0-6.0-0.10","VIDE","3","m","rechts","23","","fixation","","","",""
"1065","img/60_30.png","74","image-keyboard-response","27","86434","0.0-6.0-1.10","VIDE","3","m","rechts","23","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","86851","0.0-6.0-0.11","VIDE","3","m","rechts","23","","fixation","","","",""
"1286","img/90_240.png","74","image-keyboard-response","29","88155","0.0-6.0-1.11","VIDE","3","m","rechts","23","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","88508","0.0-6.0-0.12","VIDE","3","m","rechts","23","","fixation","","","",""
"800","img/L30_180.png","70","image-keyboard-response","31","89327","0.0-6.0-1.12","VIDE","3","m","rechts","23","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","89837","0.0-6.0-0.13","VIDE","3","m","rechts","23","","fixation","","","",""
"710","img/0_240.png","70","image-keyboard-response","33","90564","0.0-6.0-1.13","VIDE","3","m","rechts","23","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","90868","0.0-6.0-0.14","VIDE","3","m","rechts","23","","fixation","","","",""
"1013","img/30_180.png","74","image-keyboard-response","35","91902","0.0-6.0-1.14","VIDE","3","m","rechts","23","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","92369","0.0-6.0-0.15","VIDE","3","m","rechts","23","","fixation","","","",""
"913","img/90_120.png","70","image-keyboard-response","37","93297","0.0-6.0-1.15","VIDE","3","m","rechts","23","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","93648","0.0-6.0-0.16","VIDE","3","m","rechts","23","","fixation","","","",""
"853","img/30_90.png","74","image-keyboard-response","39","94525","0.0-6.0-1.16","VIDE","3","m","rechts","23","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","94835","0.0-6.0-0.17","VIDE","3","m","rechts","23","","fixation","","","",""
