"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1153","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","13","html-keyboard-response","0","1195","0.0-0.0","ZDER","4","m","rechts","52","","","","","",""
"4918","","","survey-text","1","6118","0.0-1.0","ZDER","4","m","rechts","52","{""Q0"":""ZDER""}","","","","",""
"3354","","","survey-text","2","9474","0.0-2.0","ZDER","4","m","rechts","52","{""Q0"":""4""}","","","","",""
"2502","","","survey-multi-choice","3","11980","0.0-3.0","ZDER","4","m","rechts","52","{""Q0"":""m"",""Q1"":""rechts""}","","","","",""
"2950","","","survey-text","4","14933","0.0-4.0","ZDER","4","m","rechts","52","{""Q0"":""52""}","","","","",""
"7122","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","70","html-keyboard-response","5","22063","0.0-5.0","ZDER","4","m","rechts","52","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","23501","0.0-6.0-0.0","ZDER","4","m","rechts","52","","fixation","","","",""
"1524","img/120_210.png","70","image-keyboard-response","7","25033","0.0-6.0-1.0","ZDER","4","m","rechts","52","","","object","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","25357","0.0-6.0-0.1","ZDER","4","m","rechts","52","","fixation","","","",""
"935","img/150_270.png","74","image-keyboard-response","9","26310","0.0-6.0-1.1","ZDER","4","m","rechts","52","","","object","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","26716","0.0-6.0-0.2","ZDER","4","m","rechts","52","","fixation","","","",""
"1005","img/60_150.png","74","image-keyboard-response","11","27741","0.0-6.0-1.2","ZDER","4","m","rechts","52","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","28045","0.0-6.0-0.3","ZDER","4","m","rechts","52","","fixation","","","",""
"1139","img/120_150.png","74","image-keyboard-response","13","29201","0.0-6.0-1.3","ZDER","4","m","rechts","52","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","29560","0.0-6.0-0.4","ZDER","4","m","rechts","52","","fixation","","","",""
"836","img/0_210.png","70","image-keyboard-response","15","30416","0.0-6.0-1.4","ZDER","4","m","rechts","52","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","30934","0.0-6.0-0.5","ZDER","4","m","rechts","52","","fixation","","","",""
"1039","img/L150_180.png","74","image-keyboard-response","17","31993","0.0-6.0-1.5","ZDER","4","m","rechts","52","","","object","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","32421","0.0-6.0-0.6","ZDER","4","m","rechts","52","","fixation","","","",""
"1648","img/150_240.png","74","image-keyboard-response","19","34084","0.0-6.0-1.6","ZDER","4","m","rechts","52","","","object","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","34561","0.0-6.0-0.7","ZDER","4","m","rechts","52","","fixation","","","",""
"844","img/0_120.png","74","image-keyboard-response","21","35423","0.0-6.0-1.7","ZDER","4","m","rechts","52","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","35933","0.0-6.0-0.8","ZDER","4","m","rechts","52","","fixation","","","",""
"947","img/L120_180.png","74","image-keyboard-response","23","36898","0.0-6.0-1.8","ZDER","4","m","rechts","52","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","37309","0.0-6.0-0.9","ZDER","4","m","rechts","52","","fixation","","","",""
"1078","img/120_270.png","74","image-keyboard-response","25","38404","0.0-6.0-1.9","ZDER","4","m","rechts","52","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","38812","0.0-6.0-0.10","ZDER","4","m","rechts","52","","fixation","","","",""
"1239","img/L30_180.png","74","image-keyboard-response","27","40068","0.0-6.0-1.10","ZDER","4","m","rechts","52","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","40422","0.0-6.0-0.11","ZDER","4","m","rechts","52","","fixation","","","",""
"1249","img/120_330.png","74","image-keyboard-response","29","41687","0.0-6.0-1.11","ZDER","4","m","rechts","52","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","42202","0.0-6.0-0.12","ZDER","4","m","rechts","52","","fixation","","","",""
"927","img/120_180.png","70","image-keyboard-response","31","43150","0.0-6.0-1.12","ZDER","4","m","rechts","52","","","object","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","43655","0.0-6.0-0.13","ZDER","4","m","rechts","52","","fixation","","","",""
"1009","img/60_210.png","70","image-keyboard-response","33","44682","0.0-6.0-1.13","ZDER","4","m","rechts","52","","","object","f","60","true"
