"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1168","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","13","html-keyboard-response","0","1206","0.0-0.0","ZDER","4","m","rechts","52","","","","","",""
"3222","","","survey-text","1","4430","0.0-1.0","ZDER","4","m","rechts","52","{""Q0"":""ZDER""}","","","","",""
"2305","","","survey-text","2","6736","0.0-2.0","ZDER","4","m","rechts","52","{""Q0"":""4""}","","","","",""
"4659","","","survey-multi-choice","3","11402","0.0-3.0","ZDER","4","m","rechts","52","{""Q0"":""m"",""Q1"":""rechts""}","","","","",""
"2442","","","survey-text","4","13845","0.0-4.0","ZDER","4","m","rechts","52","{""Q0"":""52""}","","","","",""
"8286","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","70","html-keyboard-response","5","22154","0.0-5.0","ZDER","4","m","rechts","52","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","23587","0.0-6.0-0.0","ZDER","4","m","rechts","52","","fixation","","","",""
"1216","img/0_60.png","74","image-keyboard-response","7","24824","0.0-6.0-1.0","ZDER","4","m","rechts","52","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","25336","0.0-6.0-0.1","ZDER","4","m","rechts","52","","fixation","","","",""
"1355","img/90_300.png","70","image-keyboard-response","9","26711","0.0-6.0-1.1","ZDER","4","m","rechts","52","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","27118","0.0-6.0-0.2","ZDER","4","m","rechts","52","","fixation","","","",""
"1348","img/L150_180.png","70","image-keyboard-response","11","28477","0.0-6.0-1.2","ZDER","4","m","rechts","52","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","29011","0.0-6.0-0.3","ZDER","4","m","rechts","52","","fixation","","","",""
"961","img/0_300.png","70","image-keyboard-response","13","29984","0.0-6.0-1.3","ZDER","4","m","rechts","52","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","30291","0.0-6.0-0.4","ZDER","4","m","rechts","52","","fixation","","","",""
"1036","img/90_240.png","74","image-keyboard-response","15","31343","0.0-6.0-1.4","ZDER","4","m","rechts","52","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","31759","0.0-6.0-0.5","ZDER","4","m","rechts","52","","fixation","","","",""
"839","img/150_240.png","74","image-keyboard-response","17","32616","0.0-6.0-1.5","ZDER","4","m","rechts","52","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","33135","0.0-6.0-0.6","ZDER","4","m","rechts","52","","fixation","","","",""
"880","img/60_210.png","74","image-keyboard-response","19","34035","0.0-6.0-1.6","ZDER","4","m","rechts","52","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","34347","0.0-6.0-0.7","ZDER","4","m","rechts","52","","fixation","","","",""
"1100","img/120_330.png","70","image-keyboard-response","21","35464","0.0-6.0-1.7","ZDER","4","m","rechts","52","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","35815","0.0-6.0-0.8","ZDER","4","m","rechts","52","","fixation","","","",""
"1064","img/L90_180.png","70","image-keyboard-response","23","36902","0.0-6.0-1.8","ZDER","4","m","rechts","52","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","37316","0.0-6.0-0.9","ZDER","4","m","rechts","52","","fixation","","","",""
"986","img/90_30.png","74","image-keyboard-response","25","38321","0.0-6.0-1.9","ZDER","4","m","rechts","52","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","38749","0.0-6.0-0.10","ZDER","4","m","rechts","52","","fixation","","","",""
"923","img/30_60.png","74","image-keyboard-response","27","39690","0.0-6.0-1.10","ZDER","4","m","rechts","52","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","40108","0.0-6.0-0.11","ZDER","4","m","rechts","52","","fixation","","","",""
"1087","img/90_330.png","70","image-keyboard-response","29","41201","0.0-6.0-1.11","ZDER","4","m","rechts","52","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","41517","0.0-6.0-0.12","ZDER","4","m","rechts","52","","fixation","","","",""
"1295","img/L60_180.png","70","image-keyboard-response","31","42832","0.0-6.0-1.12","ZDER","4","m","rechts","52","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","43252","0.0-6.0-0.13","ZDER","4","m","rechts","52","","fixation","","","",""
"1014","img/150_120.png","70","image-keyboard-response","33","44283","0.0-6.0-1.13","ZDER","4","m","rechts","52","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","44595","0.0-6.0-0.14","ZDER","4","m","rechts","52","","fixation","","","",""
"1129","img/120_270.png","74","image-keyboard-response","35","45745","0.0-6.0-1.14","ZDER","4","m","rechts","52","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","46252","0.0-6.0-0.15","ZDER","4","m","rechts","52","","fixation","","","",""
"723","img/0_30.png","74","image-keyboard-response","37","46993","0.0-6.0-1.15","ZDER","4","m","rechts","52","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","47455","0.0-6.0-0.16","ZDER","4","m","rechts","52","","fixation","","","",""
"891","img/60_180.png","74","image-keyboard-response","39","48366","0.0-6.0-1.16","ZDER","4","m","rechts","52","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","48737","0.0-6.0-0.17","ZDER","4","m","rechts","52","","fixation","","","",""
"1221","img/90_60.png","74","image-keyboard-response","41","49975","0.0-6.0-1.17","ZDER","4","m","rechts","52","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","50481","0.0-6.0-0.18","ZDER","4","m","rechts","52","","fixation","","","",""
"1197","img/150_180.png","74","image-keyboard-response","43","51697","0.0-6.0-1.18","ZDER","4","m","rechts","52","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","52005","0.0-6.0-0.19","ZDER","4","m","rechts","52","","fixation","","","",""
"957","img/90_210.png","74","image-keyboard-response","45","52979","0.0-6.0-1.19","ZDER","4","m","rechts","52","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","53287","0.0-6.0-0.20","ZDER","4","m","rechts","52","","fixation","","","",""
"1396","img/30_90.png","74","image-keyboard-response","47","54701","0.0-6.0-1.20","ZDER","4","m","rechts","52","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","55161","0.0-6.0-0.21","ZDER","4","m","rechts","52","","fixation","","","",""
"1740","img/120_30.png","74","image-keyboard-response","49","56906","0.0-6.0-1.21","ZDER","4","m","rechts","52","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","57317","0.0-6.0-0.22","ZDER","4","m","rechts","52","","fixation","","","",""
"909","img/120_180.png","74","image-keyboard-response","51","58243","0.0-6.0-1.22","ZDER","4","m","rechts","52","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","58755","0.0-6.0-0.23","ZDER","4","m","rechts","52","","fixation","","","",""
"750","img/0_150.png","74","image-keyboard-response","53","59528","0.0-6.0-1.23","ZDER","4","m","rechts","52","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","60035","0.0-6.0-0.24","ZDER","4","m","rechts","52","","fixation","","","",""
"867","img/150_60.png","74","image-keyboard-response","55","60922","0.0-6.0-1.24","ZDER","4","m","rechts","52","","","self","f","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","56","61334","0.0-6.0-0.25","ZDER","4","m","rechts","52","","fixation","","","",""
"1709","img/120_210.png","74","image-keyboard-response","57","63061","0.0-6.0-1.25","ZDER","4","m","rechts","52","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","63582","0.0-6.0-0.26","ZDER","4","m","rechts","52","","fixation","","","",""
"921","img/0_240.png","70","image-keyboard-response","59","64522","0.0-6.0-1.26","ZDER","4","m","rechts","52","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","60","64880","0.0-6.0-0.27","ZDER","4","m","rechts","52","","fixation","","","",""
"1156","img/30_120.png","74","image-keyboard-response","61","66053","0.0-6.0-1.27","ZDER","4","m","rechts","52","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","62","66364","0.0-6.0-0.28","ZDER","4","m","rechts","52","","fixation","","","",""
"1209","img/60_330.png","70","image-keyboard-response","63","67594","0.0-6.0-1.28","ZDER","4","m","rechts","52","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","67958","0.0-6.0-0.29","ZDER","4","m","rechts","52","","fixation","","","",""
"913","img/0_330.png","70","image-keyboard-response","65","68888","0.0-6.0-1.29","ZDER","4","m","rechts","52","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","66","69412","0.0-6.0-0.30","ZDER","4","m","rechts","52","","fixation","","","",""
"1056","img/60_150.png","70","image-keyboard-response","67","70485","0.0-6.0-1.30","ZDER","4","m","rechts","52","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","68","70952","0.0-6.0-0.31","ZDER","4","m","rechts","52","","fixation","","","",""
"1024","img/150_270.png","74","image-keyboard-response","69","71992","0.0-6.0-1.31","ZDER","4","m","rechts","52","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","70","72469","0.0-6.0-0.32","ZDER","4","m","rechts","52","","fixation","","","",""
"1113","img/30_270.png","70","image-keyboard-response","71","73600","0.0-6.0-1.32","ZDER","4","m","rechts","52","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","72","73906","0.0-6.0-0.33","ZDER","4","m","rechts","52","","fixation","","","",""
"1103","img/60_30.png","74","image-keyboard-response","73","75028","0.0-6.0-1.33","ZDER","4","m","rechts","52","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","74","75333","0.0-6.0-0.34","ZDER","4","m","rechts","52","","fixation","","","",""
"1031","img/90_120.png","70","image-keyboard-response","75","76369","0.0-6.0-1.34","ZDER","4","m","rechts","52","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","76","76849","0.0-6.0-0.35","ZDER","4","m","rechts","52","","fixation","","","",""
"1333","img/30_240.png","70","image-keyboard-response","77","78200","0.0-6.0-1.35","ZDER","4","m","rechts","52","","","self","f","30","true"
